# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	54
2	3
6	7
8	9
10	11
16	17
24	25
28	29
30	31
32	33
36	37
38	39
40	41
42	43
60	61
62	63
66	67
72	73
74	75
76	77
78	79
80	81
86	87
90	91
94	95
98	99
100	101
102	103
104	105
106	107
108	109
114	115
122	123
124	125
126	127
134	135
136	137
142	143
150	151
156	157
160	161
166	167
168	169
172	173
174	175
176	177
178	179
180	181
184	185
186	187
190	191
192	193
194	195
196	197
198	199
