# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	54
0	1
14	15
18	19
20	21
22	23
24	25
26	27
30	31
38	39
40	41
42	43
44	45
46	47
50	51
54	55
58	59
60	61
62	63
64	65
68	69
70	71
74	75
76	77
84	85
86	87
92	93
94	95
96	97
104	105
108	109
110	111
112	113
116	117
120	121
122	123
126	127
128	129
134	135
136	137
138	139
140	141
142	143
150	151
154	155
158	159
164	165
166	167
170	171
172	173
182	183
184	185
188	189
196	197
198	199
