invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T11:00:58.654304+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	timed_out	300.10452170000644	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T20:37:36.796271+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	timed_out	301.6525266999997	300.0	300.0	0	2	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
3	2026-08-12T21:12:19.250072+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	timed_out	300.27620610000304	300.0	300.0	0	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:47:03.446297+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	timed_out	300.3426167000034	300.0	300.0	0	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:21:14.118468+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	timed_out	300.3520390999984	300.0	300.0	0	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:52:53.583158+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	timed_out	297.2951108999987	300.0	297.272089699989	0	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T22:56:10.974817+00:00	98d4b1fe4c1394b175976e805a3e32a25a1601cb028c1e7f42f4b1c3c721572c	exhausted	0.0	300.0	0.0	0	6	CumulativeSpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
