scenario_id	mode	replicate_index	status	elapsed_seconds	error
recent_denovo	selected	12	completed	91.6609948649998	
recent_denovo	selected	13	completed	94.02389951300006	
recent_denovo	selected	14	completed	91.73870846999989	
recent_denovo	selected	15	completed	90.94635413700007	
recent_denovo	selected	16	completed	93.57968193899978	
recent_denovo	selected	17	completed	90.63107321300004	
recent_denovo	selected	18	completed	92.79980796400014	
recent_denovo	selected	19	completed	89.44752032999986	
recent_denovo	selected	20	completed	99.17755450200002	
recent_denovo	selected	21	completed	97.21680733899984	
recent_denovo	selected	22	completed	97.59727932099986	
recent_denovo	selected	23	completed	100.96822216500004	
recent_denovo	selected	24	completed	100.01975886599985	
recent_denovo	selected	25	completed	100.63016745699997	
recent_denovo	selected	26	completed	95.29826183800014	
recent_denovo	selected	27	completed	98.1069847650001	
recent_denovo	selected	28	completed	102.2853702819998	
recent_denovo	selected	29	completed	96.96440241699975	
recent_denovo	selected	30	completed	98.63407477099963	
recent_denovo	selected	31	completed	97.57476666299999	
recent_denovo	selected	32	completed	96.91668498599984	
recent_denovo	selected	33	completed	97.3627556649999	
recent_denovo	selected	34	completed	98.14678090400002	
recent_denovo	selected	35	completed	96.99895880300028	
recent_denovo	selected	36	completed	96.87709340599986	
recent_denovo	selected	37	completed	96.07846995	
recent_denovo	selected	38	completed	97.08529419700017	
recent_denovo	selected	39	completed	97.49146673299992	
recent_denovo	selected	40	completed	99.53324275700015	
recent_denovo	selected	41	completed	98.1006445779999	
recent_denovo	selected	42	completed	97.22812178599997	
recent_denovo	selected	43	completed	97.78487678900001	
recent_denovo	selected	44	completed	99.70903743100007	
recent_denovo	selected	45	completed	97.5576315520002	
recent_denovo	selected	46	completed	96.85397974800026	
recent_denovo	selected	47	completed	100.77566240199985	
recent_denovo	selected	48	completed	97.67615257900025	
recent_denovo	selected	49	completed	99.52878218599972	
recent_denovo	selected	50	completed	95.711535981	
recent_denovo	selected	51	completed	96.08389967099993	
recent_denovo	selected	52	completed	99.05954210200025	
recent_denovo	selected	53	completed	99.69782489099998	
recent_denovo	selected	54	completed	96.94333568799993	
recent_denovo	selected	55	completed	98.12399939899979	
recent_denovo	selected	56	completed	99.905560917	
recent_denovo	selected	57	completed	95.42749807300015	
recent_denovo	selected	58	completed	96.75523420399986	
recent_denovo	selected	59	completed	99.22678271400036	
recent_denovo	selected	60	completed	99.67753979700001	
recent_denovo	selected	61	completed	96.23047099699988	
recent_denovo	selected	62	completed	91.68073984700004	
recent_denovo	selected	63	completed	90.48043585000005	
recent_denovo	selected	64	completed	95.86865815599958	
recent_denovo	selected	65	completed	92.23136259099965	
recent_denovo	selected	66	completed	93.5340293610002	
recent_denovo	selected	67	completed	96.93115675400031	
recent_denovo	selected	68	completed	96.48380096900019	
recent_denovo	selected	69	completed	95.38306465799997	
recent_denovo	selected	70	completed	98.88043587600032	
recent_denovo	selected	71	completed	101.36012075899998	
recent_denovo	selected	72	completed	99.01015073999997	
recent_denovo	selected	73	completed	97.79681576800022	
recent_denovo	selected	74	completed	97.31650151900021	
recent_denovo	selected	75	completed	95.25072621399977	
recent_denovo	selected	76	completed	98.96994648700002	
recent_denovo	selected	77	completed	97.87578675699979	
recent_denovo	selected	78	completed	96.38047675400003	
recent_denovo	selected	79	completed	97.58741169299992	
recent_denovo	selected	80	completed	98.41434882900012	
recent_denovo	selected	81	completed	99.10160193399997	
recent_denovo	selected	82	completed	96.08458825299977	
recent_denovo	selected	83	completed	94.88534832999994	
recent_denovo	selected	84	completed	95.3451627280001	
recent_denovo	selected	85	completed	99.648843854	
recent_denovo	selected	86	completed	94.75468786300007	
recent_denovo	selected	87	completed	93.81394845099976	
recent_denovo	selected	88	completed	94.2103199799999	
recent_denovo	selected	89	completed	95.68008658200006	
recent_denovo	selected	90	completed	100.10264259799987	
recent_denovo	selected	91	completed	93.97891534900009	
recent_denovo	selected	92	completed	92.79202938799972	
recent_denovo	selected	93	completed	96.67162841800018	
recent_denovo	selected	94	completed	95.04287734900026	
recent_denovo	selected	95	completed	94.22406534099991	
recent_denovo	selected	96	completed	98.48367197200014	
recent_denovo	selected	97	completed	94.62762605299986	
recent_denovo	selected	98	completed	98.16697792000014	
recent_denovo	selected	99	completed	98.69924170099966	
postintro_denovo	selected	0	completed	97.9483001640001	
postintro_denovo	selected	1	completed	103.62442818399995	
postintro_denovo	selected	2	completed	113.73389952900015	
postintro_denovo	selected	3	completed	103.9725680749998	
postintro_denovo	selected	4	completed	98.45521183099981	
postintro_denovo	selected	5	completed	100.79418023400012	
postintro_denovo	selected	6	completed	98.04834682	
postintro_denovo	selected	7	completed	101.27467005000017	
postintro_denovo	selected	8	completed	105.18394857800013	
postintro_denovo	selected	9	completed	97.34485233899977	
postintro_denovo	selected	10	completed	98.57208305099994	
postintro_denovo	selected	11	completed	101.44525381899984	
postintro_denovo	selected	12	completed	112.996744993	
