source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,mass_5000,0.01,5010000,10000,100,83,0.83,1000,13,0.013
truth,mass_5000,0.01,5020000,20000,100,72,0.72,1000,12,0.012
truth,mass_5000,0.01,5050000,50000,100,60,0.6,1000,11,0.011
truth,mass_5000,0.01,5100000,100000,100,37,0.37,1000,7,0.007
truth,mass_5000,0.01,5200000,200000,100,13,0.13,1000,6,0.006
truth,mass_5000,0.01,5500000,500000,100,2,0.02,1000,12,0.012
truth,mass_5000,0.01,6000000,1000000,100,2,0.02,1000,12,0.012
truth,mass_5000,0.01,7000000,2000000,100,0,0.0,1000,8,0.008
truth,mass_5000,0.05,3000000,-2000000,100,5,0.05,1000,37,0.037
truth,mass_5000,0.05,4000000,-1000000,100,5,0.05,1000,41,0.041
truth,mass_5000,0.05,4500000,-500000,100,17,0.17,1000,42,0.042
truth,mass_5000,0.05,4800000,-200000,100,29,0.29,1000,42,0.042
truth,mass_5000,0.05,4900000,-100000,100,50,0.5,1000,41,0.041
truth,mass_5000,0.05,4950000,-50000,100,73,0.73,1000,39,0.039
truth,mass_5000,0.05,4980000,-20000,100,92,0.92,1000,44,0.044
truth,mass_5000,0.05,4990000,-10000,100,93,0.93,1000,43,0.043
truth,mass_5000,0.05,5000000,0,100,100,1.0,1000,45,0.045
truth,mass_5000,0.05,5010000,10000,100,94,0.94,1000,43,0.043
truth,mass_5000,0.05,5020000,20000,100,88,0.88,1000,44,0.044
truth,mass_5000,0.05,5050000,50000,100,79,0.79,1000,42,0.042
truth,mass_5000,0.05,5100000,100000,100,59,0.59,1000,45,0.045
truth,mass_5000,0.05,5200000,200000,100,36,0.36,1000,47,0.047
truth,mass_5000,0.05,5500000,500000,100,17,0.17,1000,39,0.039
truth,mass_5000,0.05,6000000,1000000,100,13,0.13,1000,49,0.049
truth,mass_5000,0.05,7000000,2000000,100,4,0.04,1000,42,0.042
truth,all_10000,0.01,3000000,-2000000,100,0,0.0,1000,9,0.009
truth,all_10000,0.01,4000000,-1000000,100,0,0.0,1000,7,0.007
truth,all_10000,0.01,4500000,-500000,100,5,0.05,1000,11,0.011
truth,all_10000,0.01,4800000,-200000,100,3,0.03,1000,14,0.014
truth,all_10000,0.01,4900000,-100000,100,1,0.01,1000,8,0.008
truth,all_10000,0.01,4950000,-50000,100,1,0.01,1000,9,0.009
truth,all_10000,0.01,4980000,-20000,100,0,0.0,1000,11,0.011
truth,all_10000,0.01,4990000,-10000,100,0,0.0,1000,13,0.013
truth,all_10000,0.01,5000000,0,100,0,0.0,1000,12,0.012
truth,all_10000,0.01,5010000,10000,100,0,0.0,1000,12,0.012
truth,all_10000,0.01,5020000,20000,100,0,0.0,1000,8,0.008
truth,all_10000,0.01,5050000,50000,100,1,0.01,1000,10,0.01
truth,all_10000,0.01,5100000,100000,100,1,0.01,1000,8,0.008
truth,all_10000,0.01,5200000,200000,100,1,0.01,1000,12,0.012
truth,all_10000,0.01,5500000,500000,100,2,0.02,1000,9,0.009
truth,all_10000,0.01,6000000,1000000,100,0,0.0,1000,10,0.01
