# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	20
0	1
6	7
8	9
10	11
42	43
46	47
54	55
78	79
92	93
98	99
102	103
104	105
112	113
118	119
128	129
136	137
142	143
144	145
158	159
166	167
