source	position_0based	position_1based	genotype_class	n_pairs	generation_time_years	threshold_years	threshold_generations	p_tmrca_lt_threshold	mean_p_tmrca_lt_threshold	frac_recent	mean_tmrca_generations	median_tmrca_generations	mean_tmrca_years	median_tmrca_years	scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency	origin_age_generations
tree_truth	5000000.0	5000001.0	overall	100	25.0	1000.0	40.0	0.0	0.0	0.0	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	4500.0	180.0	0.0	0.0	0.0	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	10000.0	400.0	0.01	0.01	0.01	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	20000.0	800.0	0.1	0.1	0.1	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	30000.0	1200.0	0.28	0.28	0.28	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	40000.0	1600.0	0.28	0.28	0.28	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	overall	100	25.0	50000.0	2000.0	0.28	0.28	0.28	22299.179114420494	5280.0	557479.4778605124	132000.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	1000.0	40.0	0.0	0.0	0.0	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	4500.0	180.0	0.0	0.0	0.0	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	10000.0	400.0	0.0	0.0	0.0	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	20000.0	800.0	0.0	0.0	0.0	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	30000.0	1200.0	0.0869565217391304	0.0869565217391304	0.0869565217391304	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	40000.0	1600.0	0.0869565217391304	0.0869565217391304	0.0869565217391304	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	hom_ref	23	25.0	50000.0	2000.0	0.0869565217391304	0.0869565217391304	0.0869565217391304	42381.92085144388	69779.55227563147	1059548.021286097	1744488.8068907869	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	heterozygous	51	25.0	1000.0	40.0	0.0	0.0	0.0	24190.661408996875	8910.0	604766.5352249219	222750.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	heterozygous	51	25.0	4500.0	180.0	0.0	0.0	0.0	24190.661408996875	8910.0	604766.5352249219	222750.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
tree_truth	5000000.0	5000001.0	heterozygous	51	25.0	10000.0	400.0	0.0	0.0	0.0	24190.661408996875	8910.0	604766.5352249219	222750.0	no_introgression_de_novo	no_introgression	no_intro_s0p010_q025_age1275g	0.01	q025	0.5	1275.0
