seed	source_group	source_role	source_record	original_status	prearchive_v2_exclusion_status
1768686	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw018	complete;evaluable=True	omitted
3062832	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw001	complete	omitted
11685003	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.400000__q5__draw018	complete;evaluable=True	already_reserved
21944744	obsolete_selected_rep008	simulation_seed	attempt=43	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
26816574	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw007	complete	omitted
30159325	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw008	complete;evaluable=True	omitted
31774533	obsolete_selected_rep008	simulation_seed	attempt=34	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
33104408	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw018	complete;evaluable=True	already_reserved
34337093	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw000	complete;evaluable=True	already_reserved
46865119	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw001	complete;evaluable=True	omitted
75003572	obsolete_selected_rep008	simulation_seed	attempt=71	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
75438093	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw001	complete	omitted
77574539	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw003	complete	omitted
84671457	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.250000__q5__draw013	complete;evaluable=True	already_reserved
86079873	obsolete_selected_rep008	simulation_seed	attempt=38	complete;accepted=False;rejection=focal_mutation_absent_at_present	already_reserved
91099300	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw004	complete	omitted
109057931	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw008	complete;evaluable=True	omitted
112286590	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw001;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw001	complete;complete	omitted
115549739	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.150000__q5__draw009	complete;evaluable=True	already_reserved
