region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	2605000	2615000	2.605	2.615	1	0.04950495049504951	0.0175
2	2625000	2875000	2.625	2.875	25	0.009900990099009901	0.0215
3	2885000	5685000	2.885	5.685	280	0.009900990099009901	0.0715
4	5695000	5715000	5.695	5.715	2	0.0297029702970297	0.017
5	5765000	5785000	5.765	5.785	2	0.039603960396039604	0.017
6	5995000	6055000	5.995	6.055	6	0.0297029702970297	0.019
7	6095000	6115000	6.095	6.115	2	0.0297029702970297	0.0175
8	7225000	7255000	7.225	7.255	3	0.04950495049504951	0.017
9	7275000	7285000	7.275	7.285	1	0.039603960396039604	0.017
10	7825000	7875000	7.825	7.875	5	0.0297029702970297	0.017
11	7935000	7945000	7.935	7.945	1	0.039603960396039604	0.0165
12	9085000	9105000	9.085	9.105	2	0.0297029702970297	0.017
13	9125000	9135000	9.125	9.135	1	0.04950495049504951	0.016
14	9145000	9195000	9.145	9.195	5	0.0297029702970297	0.0175
15	9555000	9625000	9.555	9.625	7	0.009900990099009901	0.0185
16	9635000	9675000	9.635	9.675	4	0.0297029702970297	0.0165
