replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	22	0
1	3	0
2	3	0
3	99	0
4	1	0
5	10	0
6	35	0
7	20	0
8	25	0
9	105	0
10	52	28
11	25	0
12	6	0
13	11	0
14	87	0
15	28	15
16	10	8
17	138	0
18	22	0
19	100	0
20	27	6
21	15	0
22	1	0
23	11	0
24	45	0
25	78	0
26	52	34
27	0	0
28	118	0
29	6	0
30	52	7
31	4	2
32	3	0
33	25	18
34	118	39
35	56	21
36	1	0
37	48	0
38	15	0
39	2	0
40	123	71
41	15	4
42	24	0
43	30	0
44	101	10
45	13	0
46	3	0
47	14	0
48	3	2
49	28	0
50	0	0
51	30	0
52	26	0
53	34	0
54	1	0
55	0	0
56	28	16
57	6	0
58	28	4
59	91	0
60	7	0
61	40	0
62	74	0
63	26	0
64	78	0
65	50	0
66	36	0
67	12	0
68	57	2
69	2	0
70	9	0
71	3	0
72	0	0
73	17	0
74	14	0
75	16	0
76	29	0
77	59	0
78	14	0
79	10	0
80	7	7
81	14	0
82	88	19
83	9	0
84	52	0
85	36	16
86	46	0
87	9	0
88	25	0
89	20	0
90	57	0
91	50	0
92	53	0
93	18	0
94	25	0
95	28	0
96	10	0
97	40	10
98	28	0
99	37	11
