position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	0.0015	0.0029950000000000003	0.003	0.001	0.005	94	100	0.9405940594059405	1.0
10000.0	2000	0.005	0.0057399999999999994	0.0055	0.003	0.009262499999999995	69	100	0.693069306930693	0.8663366336633663
20000.0	2000	0.005	0.0062050000000000004	0.00625	0.003	0.0095	77	100	0.7722772277227723	0.9204734537816118
30000.0	2000	0.0055	0.006549999999999999	0.0065	0.003	0.010762499999999996	76	100	0.7623762376237624	0.909756846806399
40000.0	2000	0.0055	0.006809999999999999	0.007	0.0032375	0.010762499999999996	80	100	0.801980198019802	0.937988535695675
50000.0	2000	0.0055	0.007085	0.007	0.0034750000000000002	0.011	81	100	0.8118811881188119	0.9418575268199674
60000.0	2000	0.0055	0.00745	0.0075	0.0037375	0.011262499999999995	85	100	0.8514851485148515	0.9709066687740611
70000.0	2000	0.0065	0.00781	0.0075	0.004	0.011524999999999992	79	100	0.7920792079207921	0.9340556697179152
80000.0	2000	0.0065	0.008029999999999999	0.008	0.004	0.012	80	100	0.801980198019802	0.937988535695675
90000.0	2000	0.006	0.00832	0.008	0.0047374999999999995	0.012	89	100	0.8910891089108911	0.9934103778270804
100000.0	2000	0.0055	0.008639999999999998	0.0085	0.0047374999999999995	0.0125	94	100	0.9405940594059405	1.0
110000.0	2000	0.0055	0.008964999999999999	0.009	0.005	0.013262499999999995	95	100	0.9504950495049505	1.0
120000.0	2000	0.0055	0.009309999999999999	0.009	0.0052375	0.0135	97	100	0.9702970297029703	1.0
130000.0	2000	0.0065	0.009604999999999999	0.0095	0.0052375	0.014	95	100	0.9504950495049505	1.0
140000.0	2000	0.0065	0.00981	0.01	0.0055	0.0145	96	100	0.9603960396039604	1.0
150000.0	2000	0.007	0.010029999999999999	0.01	0.006	0.014524999999999991	94	100	0.9405940594059405	1.0
160000.0	2000	0.007	0.010264999999999998	0.01	0.0062375	0.014762499999999996	95	100	0.9504950495049505	1.0
170000.0	2000	0.007	0.010399999999999998	0.0105	0.0062375	0.014762499999999996	96	100	0.9603960396039604	1.0
180000.0	2000	0.007	0.010494999999999999	0.0105	0.0062375	0.0155	96	100	0.9603960396039604	1.0
