# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	15
8	9
20	21
38	39
40	41
48	49
82	83
90	91
100	101
104	105
116	117
126	127
136	137
150	151
174	175
192	193
