# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	21
4	5
8	9
10	11
12	13
20	21
30	31
32	33
42	43
56	57
62	63
64	65
66	67
76	77
86	87
92	93
96	97
98	99
106	107
114	115
132	133
174	175
