# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	17
0	1
4	5
12	13
34	35
56	57
62	63
64	65
66	67
70	71
78	79
82	83
88	89
100	101
102	103
108	109
168	169
194	195
