invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T10:35:10.615104+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	timed_out	300.1718082000152	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T12:18:43.911826+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	timed_out	300.0932673999923	300.0	300.0	0	2	SpecificationTimeout	legacy_unknown	legacy_unknown
3	2026-08-12T21:06:26.174396+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	timed_out	301.44987980000224	300.0	300.0	0	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:41:25.339569+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	timed_out	300.2415039000007	300.0	300.0	0	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:12:06.264301+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	timed_out	301.5388280000043	300.0	300.0	0	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:45:37.879536+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	timed_out	296.5520638999951	300.0	296.50471269998525	1	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T22:56:08.404780+00:00	760e9d604796e4756eadb4d26d68cd6764445a563fa5c53b9374b09f7fa41012	exhausted	0.0	300.0	0.0	1	6	CumulativeSpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
