# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_alt
# n_pairs	60
0	1
2	3
4	5
10	11
12	13
14	15
16	17
18	19
20	21
22	23
24	25
26	27
28	29
34	35
40	41
42	43
46	47
48	49
50	51
52	53
56	57
62	63
66	67
68	69
72	73
76	77
80	81
82	83
88	89
90	91
96	97
98	99
106	107
108	109
110	111
122	123
124	125
128	129
130	131
138	139
140	141
142	143
144	145
148	149
150	151
158	159
160	161
164	165
166	167
168	169
170	171
172	173
174	175
176	177
180	181
184	185
188	189
190	191
192	193
198	199
