statistic	recent_call	statistic_column	statistic_label	center_position_0based	center_selected	center_null_mean	center_null_median	center_null_ci95_lower	center_null_ci95_upper	center_neutral_exceedances	center_monte_carlo_p_upper	profile_truth_bias	profile_truth_mae	profile_truth_rmse	profile_truth_correlation	n_pointwise_p_lt_0_05_windows	n_bh_q_lt_0_05_windows	n_significant_regions
soft_probability		mean_p_tmrca_lt_threshold	Mean posterior P(TMRCA < 4,500 years)	5000000	0.06562090659	0.022702838930200003	0.02182072223	0.0148937419095	0.03573020285799999	0	0.009900990099009901	0.0128757891904209	0.0139717743093065	0.015436801943051111	0.8979040964679034	2499	0	54
posterior_mean_call	mean	frac_recent_4500	Fraction: posterior mean TMRCA < 4,500 years	5000000	0.05	0.007715	0.0075	0.0045	0.012762499999999996	0	0.009900990099009901	-0.00172135	0.0034701500000000004	0.006792324712497189	0.9575768306246335	3457	2905	20
posterior_median_call	median	frac_recent_4500	Fraction: posterior median TMRCA < 4,500 years	5000000	0.0685	0.011259999999999997	0.01125	0.0062375	0.0165	0	0.009900990099009901	0.00300975	0.004869849999999999	0.006098505964578538	0.9676048393211056	3487	2788	38
