# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	24
0	1
4	5
6	7
20	21
46	47
50	51
62	63
64	65
76	77
80	81
82	83
94	95
100	101
106	107
110	111
112	113
116	117
128	129
130	131
144	145
148	149
154	155
158	159
172	173
