specification_id	error_type	error	decoder_validation_mode	expected_decoder_sha256	status
intro_s0p001_af10			recorded_decode_contract		complete
intro_s0p001_af20			recorded_decode_contract		complete
intro_s0p001_af30			recorded_decode_contract		not_simulated
intro_s0p001_af40			recorded_decode_contract		complete
intro_s0p001_af50			recorded_decode_contract		not_simulated
intro_s0p001_af60			recorded_decode_contract		not_simulated
intro_s0p001_af70			recorded_decode_contract		not_simulated
intro_s0p001_af80			recorded_decode_contract		not_simulated
intro_s0p001_af90			recorded_decode_contract		not_simulated
intro_s0p005_af10			recorded_decode_contract		complete
intro_s0p005_af20			recorded_decode_contract		complete
intro_s0p005_af30			recorded_decode_contract		complete
intro_s0p005_af40			recorded_decode_contract		complete
intro_s0p005_af50			recorded_decode_contract		complete
intro_s0p005_af60			recorded_decode_contract		complete
intro_s0p005_af70			recorded_decode_contract		complete
intro_s0p005_af80			recorded_decode_contract		complete
intro_s0p005_af90			recorded_decode_contract		not_simulated
intro_s0p010_af10			recorded_decode_contract		complete
intro_s0p010_af20			recorded_decode_contract		not_simulated
intro_s0p010_af30			recorded_decode_contract		not_simulated
intro_s0p010_af40			recorded_decode_contract		complete
intro_s0p010_af50			recorded_decode_contract		not_simulated
intro_s0p010_af60			recorded_decode_contract		not_simulated
intro_s0p010_af70			recorded_decode_contract		not_simulated
intro_s0p010_af80			recorded_decode_contract		not_simulated
intro_s0p010_af90			recorded_decode_contract		not_simulated
