source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,subset,n,power,fdr_mean,fdr_pooled,f1_mean,fp_mean,any_call,focal_significant,tp_total,fp_total,power_50000,overlap_power_50000,overlap_fdr_50000,power_100000,overlap_power_100000,overlap_fdr_100000,power_250000,overlap_power_250000,overlap_fdr_250000,power_500000,overlap_power_500000,overlap_fdr_500000
decoded,5000,0.001,10000,1,3,selected,all,100,0.0,0.11,1.0,0.0,0.18,0.11,0.01,0,18,0.0,0.02,0.09666666666666666,0.0,0.02,0.09666666666666666,0.03,0.04,0.07666666666666666,0.04,0.04,0.07666666666666666
decoded,5000,0.001,10000,1,3,selected,nonfixed,99,0.0,0.1111111111111111,1.0,0.0,0.18181818181818182,0.1111111111111111,0.010101010101010102,0,18,0.0,0.020202020202020204,0.09764309764309764,0.0,0.020202020202020204,0.09764309764309764,0.030303030303030304,0.04040404040404041,0.07744107744107744,0.04040404040404041,0.04040404040404041,0.07744107744107744
decoded,5000,0.001,10000,1,5,neutral,all,1000,0.0,0.065,1.0,0.0,0.072,0.065,0.001,0,72,0.0,0.0,0.065,0.0,0.0,0.065,0.0,0.0,0.065,0.0,0.0,0.065
decoded,5000,0.001,10000,1,5,selected,all,100,0.0,0.09,1.0,0.0,0.12,0.09,0.01,0,12,0.0,0.02,0.075,0.0,0.02,0.075,0.02,0.03,0.065,0.03,0.03,0.065
decoded,5000,0.001,10000,1,5,selected,nonfixed,99,0.0,0.09090909090909091,1.0,0.0,0.12121212121212122,0.09090909090909091,0.010101010101010102,0,12,0.0,0.020202020202020204,0.07575757575757576,0.0,0.020202020202020204,0.07575757575757576,0.020202020202020204,0.030303030303030304,0.06565656565656566,0.030303030303030304,0.030303030303030304,0.06565656565656566
decoded,5000,0.001,10000,1,10,neutral,all,1000,0.0,0.035,1.0,0.0,0.036,0.035,0.001,0,36,0.0,0.0,0.035,0.0,0.0,0.035,0.0,0.0,0.035,0.0,0.0,0.035
decoded,5000,0.001,10000,1,10,selected,all,100,0.0,0.07,1.0,0.0,0.07,0.07,0.01,0,7,0.0,0.02,0.05,0.0,0.02,0.05,0.02,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,10000,1,10,selected,nonfixed,99,0.0,0.0707070707070707,1.0,0.0,0.0707070707070707,0.0707070707070707,0.010101010101010102,0,7,0.0,0.020202020202020204,0.050505050505050504,0.0,0.020202020202020204,0.050505050505050504,0.020202020202020204,0.030303030303030304,0.04040404040404041,0.030303030303030304,0.030303030303030304,0.04040404040404041
decoded,5000,0.001,10000,1,20,neutral,all,1000,0.0,0.008,1.0,0.0,0.008,0.008,0.001,0,8,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.008
decoded,5000,0.001,10000,1,20,selected,all,100,0.0,0.02,1.0,0.0,0.02,0.02,0.01,0,2,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
decoded,5000,0.001,10000,1,20,selected,nonfixed,99,0.0,0.020202020202020204,1.0,0.0,0.020202020202020204,0.020202020202020204,0.010101010101010102,0,2,0.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102
decoded,5000,0.001,20000,0,1,neutral,all,1000,0.0,0.1,1.0,0.0,0.139,0.1,0.001,0,139,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1
decoded,5000,0.001,20000,0,1,selected,all,100,0.0,0.12,1.0,0.0,0.22,0.12,0.01,0,22,0.0,0.02,0.10666666666666666,0.0,0.02,0.10666666666666666,0.03,0.04,0.08666666666666666,0.04,0.04,0.08666666666666666
decoded,5000,0.001,20000,0,1,selected,nonfixed,99,0.0,0.12121212121212122,1.0,0.0,0.2222222222222222,0.12121212121212122,0.010101010101010102,0,22,0.0,0.020202020202020204,0.10774410774410774,0.0,0.020202020202020204,0.10774410774410774,0.030303030303030304,0.04040404040404041,0.08754208754208753,0.04040404040404041,0.04040404040404041,0.08754208754208753
decoded,5000,0.001,20000,0,3,neutral,all,1000,0.0,0.061,1.0,0.0,0.068,0.061,0.001,0,68,0.0,0.0,0.061,0.0,0.0,0.061,0.0,0.0,0.061,0.0,0.0,0.061
decoded,5000,0.001,20000,0,3,selected,all,100,0.0,0.09,1.0,0.0,0.12,0.09,0.01,0,12,0.0,0.02,0.075,0.0,0.02,0.075,0.02,0.03,0.065,0.03,0.03,0.065
decoded,5000,0.001,20000,0,3,selected,nonfixed,99,0.0,0.09090909090909091,1.0,0.0,0.12121212121212122,0.09090909090909091,0.010101010101010102,0,12,0.0,0.020202020202020204,0.07575757575757576,0.0,0.020202020202020204,0.07575757575757576,0.020202020202020204,0.030303030303030304,0.06565656565656566,0.030303030303030304,0.030303030303030304,0.06565656565656566
decoded,5000,0.001,20000,0,5,neutral,all,1000,0.0,0.036,1.0,0.0,0.038,0.036,0.001,0,38,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.036,0.0,0.0,0.036
decoded,5000,0.001,20000,0,5,selected,all,100,0.0,0.07,1.0,0.0,0.07,0.07,0.01,0,7,0.0,0.02,0.05,0.0,0.02,0.05,0.02,0.03,0.04,0.03,0.03,0.04
decoded,5000,0.001,20000,0,5,selected,nonfixed,99,0.0,0.0707070707070707,1.0,0.0,0.0707070707070707,0.0707070707070707,0.010101010101010102,0,7,0.0,0.020202020202020204,0.050505050505050504,0.0,0.020202020202020204,0.050505050505050504,0.020202020202020204,0.030303030303030304,0.04040404040404041,0.030303030303030304,0.030303030303030304,0.04040404040404041
