source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6
decoded,5000,0.001,50000,1,5,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.01
decoded,5000,0.001,50000,1,10,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,10,selected,0.0,0.0,0.01,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.001,50000,1,20,selected,0.0,0.0,0.0,0.0,0.0,0.0,0.0
decoded,5000,0.01,10000,0,1,neutral,0.011,0.017,0.044,0.081,0.138,0.279,0.926
decoded,5000,0.01,10000,0,1,selected,0.05,0.07,0.23,0.2,0.13,0.24,1.07
decoded,5000,0.01,10000,0,3,neutral,0.006,0.008,0.026,0.035,0.078,0.154,0.509
decoded,5000,0.01,10000,0,3,selected,0.02,0.05,0.15,0.1,0.07,0.12,0.52
decoded,5000,0.01,10000,0,5,neutral,0.003,0.006,0.02,0.02,0.056,0.117,0.376
decoded,5000,0.01,10000,0,5,selected,0.01,0.03,0.14,0.08,0.05,0.06,0.42
decoded,5000,0.01,10000,0,10,neutral,0.001,0.003,0.013,0.013,0.036,0.071,0.191
decoded,5000,0.01,10000,0,10,selected,0.0,0.0,0.11,0.03,0.04,0.03,0.25
decoded,5000,0.01,10000,0,20,neutral,0.0,0.002,0.005,0.005,0.014,0.024,0.063
decoded,5000,0.01,10000,0,20,selected,0.0,0.0,0.06,0.01,0.01,0.01,0.11
decoded,5000,0.01,10000,1,1,neutral,0.01,0.013,0.036,0.062,0.115,0.231,0.754
decoded,5000,0.01,10000,1,1,selected,0.04,0.07,0.2,0.14,0.12,0.17,0.89
decoded,5000,0.01,10000,1,3,neutral,0.005,0.007,0.023,0.031,0.074,0.147,0.484
decoded,5000,0.01,10000,1,3,selected,0.01,0.05,0.15,0.08,0.07,0.1,0.52
decoded,5000,0.01,10000,1,5,neutral,0.002,0.006,0.02,0.018,0.058,0.114,0.385
decoded,5000,0.01,10000,1,5,selected,0.01,0.03,0.14,0.07,0.06,0.07,0.43
decoded,5000,0.01,10000,1,10,neutral,0.001,0.004,0.015,0.014,0.037,0.074,0.203
