source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,1380000.0,neutral,40000,1000,0.17570766000000002,0.001368644221457618
decoded,1380000.0,neutral,50000,1000,0.21366409,0.0016520059610265233
decoded,1380000.0,selected,5000,99,0.004657171717171717,7.237070450409684e-05
decoded,1380000.0,selected,10000,99,0.021167676767676766,0.00041452085251941746
decoded,1380000.0,selected,20000,99,0.07488262626262626,0.001705385853952361
decoded,1380000.0,selected,30000,99,0.12836444444444445,0.0032984719612829307
decoded,1380000.0,selected,40000,99,0.17310020202020204,0.00442727279283591
decoded,1380000.0,selected,50000,99,0.20844747474747477,0.005223047416149582
decoded,1430000.0,neutral,5000,1000,0.0047239000000000005,2.4468880565242783e-05
decoded,1430000.0,neutral,10000,1000,0.021278889999999998,0.00013002310516125882
decoded,1430000.0,neutral,20000,1000,0.07576491999999999,0.0005375479628888998
decoded,1430000.0,neutral,30000,1000,0.1295144,0.0009703317327138754
decoded,1430000.0,neutral,40000,1000,0.17496434,0.0013202018298108195
decoded,1430000.0,neutral,50000,1000,0.21301561,0.0015987279700906752
decoded,1430000.0,selected,5000,99,0.004635353535353536,7.176490988564628e-05
decoded,1430000.0,selected,10000,99,0.02079070707070707,0.00035726852774608793
decoded,1430000.0,selected,20000,99,0.07240616161616162,0.00153222046078452
decoded,1430000.0,selected,30000,99,0.1222079797979798,0.0027809798743666974
decoded,1430000.0,selected,40000,99,0.16374787878787875,0.0036892195298587737
decoded,1430000.0,selected,50000,99,0.19885333333333333,0.0043984114512135115
decoded,1480000.0,neutral,5000,1000,0.00473259,2.447596913229311e-05
decoded,1480000.0,neutral,10000,1000,0.02124815,0.0001287435551026943
decoded,1480000.0,neutral,20000,1000,0.07574870999999998,0.0005724927333736785
decoded,1480000.0,neutral,30000,1000,0.13083943,0.0010259248939679566
decoded,1480000.0,neutral,40000,1000,0.17748859,0.0013993540892064734
decoded,1480000.0,neutral,50000,1000,0.21608923,0.0017008693559097867
decoded,1480000.0,selected,5000,99,0.00462969696969697,7.089024481437763e-05
decoded,1480000.0,selected,10000,99,0.020646767676767673,0.00034890755764582
decoded,1480000.0,selected,20000,99,0.07176757575757577,0.0013750667613027982
decoded,1480000.0,selected,30000,99,0.12250353535353536,0.0025608256683645044
decoded,1480000.0,selected,40000,99,0.1657451515151515,0.0035686402228104434
decoded,1480000.0,selected,50000,99,0.20242898989898991,0.004327037833315669
decoded,1530000.0,neutral,5000,1000,0.00472884,2.4455644193783426e-05
decoded,1530000.0,neutral,10000,1000,0.02122975,0.00012893414462876446
decoded,1530000.0,neutral,20000,1000,0.07608693999999999,0.0005836317738813437
decoded,1530000.0,neutral,30000,1000,0.13127462000000004,0.0010676241023316584
decoded,1530000.0,neutral,40000,1000,0.17775858,0.0014549199437860582
decoded,1530000.0,neutral,50000,1000,0.21633028999999998,0.0017528951414139675
decoded,1530000.0,selected,5000,99,0.004677676767676768,7.111226187202543e-05
decoded,1530000.0,selected,10000,99,0.021102929292929295,0.0003559142576849707
decoded,1530000.0,selected,20000,99,0.07496141414141413,0.0015412035725606856
decoded,1530000.0,selected,30000,99,0.12760161616161617,0.002652176240505197
