replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	309	32
1	374	25
2	292	31
3	334	23
4	192	0
5	666	0
6	239	13
7	294	19
8	265	44
9	328	29
10	367	33
11	189	15
12	472	192
13	152	11
14	861	127
15	180	0
16	194	34
17	447	34
18	231	18
19	460	1
20	770	59
21	498	15
22	1157	61
23	585	9
24	511	73
25	342	27
26	411	35
27	313	40
28	249	48
29	823	159
30	218	17
31	475	69
32	293	47
33	287	31
34	203	7
35	386	4
36	361	2
37	687	101
38	228	33
39	400	35
40	193	24
41	352	16
42	518	3
43	704	47
44	374	2
45	536	178
46	360	15
47	251	120
48	231	68
49	397	0
50	480	24
51	276	61
52	106	63
53	373	3
54	295	28
55	123	21
56	486	118
57	468	33
58	809	44
59	472	0
60	366	0
61	360	0
62	657	7
63	349	37
64	323	64
65	944	38
66	275	57
67	459	73
68	348	43
69	389	54
70	408	17
71	245	22
72	254	14
73	482	114
74	498	34
75	196	29
76	152	24
77	533	35
78	263	73
79	191	0
80	416	26
81	372	0
82	595	0
83	395	34
84	231	20
85	149	12
86	690	94
87	515	39
88	293	70
89	400	29
90	371	82
91	467	40
92	332	14
93	342	29
94	164	2
95	397	0
96	680	83
97	398	18
98	775	254
99	475	2
