attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds
0	910241	False	lost	0.0	4.190002800896764e-05	0.540086799999699
1	910251	False	lost	0.0	8.410000009462237e-05	0.6094779999693856
2	910261	False	lost	0.0	4.75000124424696e-05	0.6503746000234969
3	910271	False	lost	0.0	0.00015109998639672995	0.5528689000057057
4	910281	False	lost	0.0	4.740001168102026e-05	0.57465579995187
5	910291	False	lost	0.0	5.229999078437686e-05	0.5873926000203937
6	910301	False	lost	0.0	4.880002234131098e-05	0.5434454000205733
7	910311	False	lost	0.0	4.279997665435076e-05	0.6048906000214629
8	910321	False	lost	0.0	6.910000229254365e-05	0.5909183999756351
9	910331	False	lost	0.0	5.779997445642948e-05	0.5573468000511639
10	910341	False	lost	0.0	4.5199994929134846e-05	0.5468009999603964
11	910351	False	lost	0.0	4.0000013541430235e-05	0.5900976000120863
12	910361	False	lost	0.0	4.96999709866941e-05	0.5713432999909855
13	910371	False	lost	0.0	5.91999851167202e-05	0.5997568999882787
14	910381	False	lost	0.0	4.689994966611266e-05	0.5623825000366196
15	910391	False	lost	0.0	3.709999145939946e-05	0.5579902000026777
16	910401	False	lost	0.0	3.549997927621007e-05	0.806711700046435
17	910411	False	lost	0.0	7.150002056732774e-05	0.5737415000330657
18	910421	False	lost	0.0	4.810001701116562e-05	0.5339695000438951
19	910431	False	lost	0.0	3.659998765215278e-05	0.4278031999710947
20	910441	False	lost	0.0	4.630000330507755e-05	0.5316574000171386
21	910451	False	lost	0.0	7.06000137142837e-05	0.5487458999850787
22	910461	False	lost	0.0	6.180000491440296e-05	0.537226999993436
23	910471	False	lost	0.0	5.2499992307275534e-05	0.5285206999978982
24	910481	False	lost	0.0	5.360000068321824e-05	0.5691771999699995
25	910491	False	lost	0.0	0.0002381000085733831	0.5475771999917924
26	910501	False	lost	0.0	5.0499977078288794e-05	0.8657065999577753
27	910511	False	lost	0.0	3.8700003642588854e-05	0.5192889999598265
28	910521	False	lost	0.0	5.6500022765249014e-05	0.5314634999958798
29	910531	False	lost	0.0	3.890000516548753e-05	0.4770940999733284
30	910541	False	lost	0.0	7.690000347793102e-05	0.533640000037849
31	910551	False	segregating	0.055125	4.2000028770416975e-05	2.288645099964924
32	910561	False	lost	0.0	6.600003689527512e-05	0.592869599990081
33	910571	False	lost	0.0	3.3800024539232254e-05	0.4898113000090234
34	910581	False	lost	0.0	3.560003824532032e-05	0.5418791000265628
35	910591	False	lost	0.0	3.689998993650079e-05	0.4903993000043556
36	910601	False	lost	0.0	0.00042400002712383866	0.5219320000032894
37	910611	False	lost	0.0	4.310003714635968e-05	0.5025939000188373
38	910621	False	lost	0.0	4.870002157986164e-05	0.542351600015536
39	910631	False	lost	0.0	5.600001895800233e-05	0.808897299983073
40	910641	False	lost	0.0	5.5500015150755644e-05	0.5408007000223733
41	910651	False	lost	0.0	0.00043020001612603664	0.8397066000034101
42	910661	False	lost	0.0	5.0099974032491446e-05	0.5491484000231139
43	910671	False	lost	0.0	5.3499999921768904e-05	0.552047599980142
44	910681	False	lost	0.0	4.5300053898245096e-05	0.5493757000076585
45	910691	False	segregating	0.2032	4.819995956495404e-05	2.5081812999560498
46	910701	False	lost	0.0	5.089998012408614e-05	0.5939370999694802
47	910711	False	lost	0.0	4.449998959898949e-05	0.562951100000646
48	910721	False	lost	0.0	0.00021119997836649418	0.6052841999917291
49	910731	False	lost	0.0	3.42000275850296e-05	0.5968042999738827
50	910741	False	lost	0.0	4.4599990360438824e-05	0.6059568999917246
51	910751	False	lost	0.0	3.759999526664615e-05	0.7507239999831654
52	910761	False	lost	0.0	3.670004662126303e-05	0.6734871999942698
53	910771	False	lost	0.0	3.8700003642588854e-05	0.5096779000014067
54	910781	False	lost	0.0	3.3400021493434906e-05	0.5154416000004858
55	910791	False	lost	0.0	5.0399976316839457e-05	0.5537828000378795
56	910801	False	lost	0.0	3.619998460635543e-05	0.5374948999960907
57	910811	False	lost	0.0	0.0002229000092484057	0.5315269000129774
58	910821	False	lost	0.0	3.300001844763756e-05	0.4745934000238776
59	910831	False	lost	0.0	4.6600005589425564e-05	0.5847692000097595
60	910841	False	lost	0.0	4.109996370971203e-05	0.5625816999818198
61	910851	False	segregating	0.008825	4.499999340623617e-05	2.792392400035169
62	910861	False	lost	0.0	4.5199994929134846e-05	0.5268620999995619
63	910871	False	lost	0.0	5.329999839887023e-05	0.5551360999816097
64	910881	False	lost	0.0	5.4500007536262274e-05	0.5774579999851994
65	910891	False	lost	0.0	4.1300023440271616e-05	0.5734132000361569
66	910901	False	lost	0.0	3.539997851476073e-05	0.5171260999632068
67	910911	False	lost	0.0	7.890001870691776e-05	0.5295787999639288
68	910921	False	lost	0.0	6.290001329034567e-05	0.5287384000257589
69	910931	False	lost	0.0	4.800001624971628e-05	0.5154149999725632
70	910941	False	lost	0.0	4.5300053898245096e-05	0.5205762999830768
71	910951	False	lost	0.0	4.529999569058418e-05	0.7773644999833778
72	910961	False	segregating	0.134275	4.569999873638153e-05	2.718204000033438
73	910971	False	lost	0.0	4.050001734867692e-05	0.5339697999879718
74	910981	False	lost	0.0	4.229997284710407e-05	0.4822639999911189
75	910991	False	lost	0.0	6.240000948309898e-05	0.5039629000239074
76	911001	False	segregating	0.026725	5.530001362785697e-05	2.745405599998776
77	911011	False	lost	0.0	4.060001811012626e-05	0.42239699995843694
78	911021	False	lost	0.0	4.0199956856667995e-05	0.5357170999632217
79	911031	False	lost	0.0	4.510005237534642e-05	0.497882199997548
80	911041	False	lost	0.0	5.64999645575881e-05	0.5476268999627791
81	911051	False	lost	0.0	5.889998283237219e-05	0.5583266000030562
82	911061	False	lost	0.0	4.309997893869877e-05	0.5549534999881871
83	911071	False	lost	0.0	3.6699988413602114e-05	0.5377520000329241
84	911081	False	lost	0.0	4.6600005589425564e-05	0.816595199983567
85	911091	False	lost	0.0	3.950000973418355e-05	0.6188615999999456
86	911101	False	lost	0.0	3.519997699186206e-05	0.5838979000109248
87	911111	False	segregating	0.040575	4.079996142536402e-05	2.8040758999995887
88	911121	False	lost	0.0	5.2099989261478186e-05	0.603597900015302
89	911131	False	lost	0.0	4.040001658722758e-05	0.5628718999796547
90	911141	False	segregating	0.086625	3.9199949242174625e-05	2.842942400020547
91	911151	False	lost	0.0	6.280001252889633e-05	0.7837059000157751
92	911161	False	lost	0.0	4.96999709866941e-05	0.5407334000337869
93	911171	False	lost	0.0	4.2199972085654736e-05	0.5309732999885455
94	911181	False	lost	0.0	4.1899969801306725e-05	0.5786078000091948
95	911191	False	segregating	0.03265	5.740002961829305e-05	2.908021599985659
96	911201	False	lost	0.0	2.859998494386673e-05	0.5257898999843746
97	911211	False	lost	0.0	3.600004129111767e-05	0.47567190002882853
98	911221	False	segregating	0.007625	4.279997665435076e-05	2.912847800005693
99	911231	False	lost	0.0	5.229999078437686e-05	0.4887709000031464
100	911241	False	lost	0.0	4.210002953186631e-05	1.1111496000085026
101	911251	False	lost	0.0	4.0300015825778246e-05	0.5266327999997884
102	911261	False	lost	0.0	5.2799994591623545e-05	0.8660459999809973
103	911271	False	lost	0.0	4.549999721348286e-05	1.1029216999886557
104	911281	False	lost	0.0	4.499999340623617e-05	0.5627187000354752
105	911291	False	lost	0.0	0.0002998000127263367	0.5807963999686763
106	911301	False	lost	0.0	4.47999918833375e-05	0.5623752000392415
107	911311	False	lost	0.0	3.560003824532032e-05	0.5366312999976799
108	911321	False	lost	0.0	4.4599990360438824e-05	0.5625475000124425
109	911331	False	lost	0.0	4.299997817724943e-05	0.5181407000054605
110	911341	False	lost	0.0	5.1499984692782164e-05	0.8725693000014871
111	911351	False	lost	0.0	3.689998993650079e-05	0.531233899993822
112	911361	False	lost	0.0	3.920000744983554e-05	0.5330497000250034
113	911371	False	lost	0.0	6.389996269717813e-05	0.563485499995295
114	911381	False	lost	0.0	3.91000066883862e-05	0.5833290999871679
115	911391	False	lost	0.0	3.3299962524324656e-05	0.512950100004673
116	911401	False	segregating	0.014625	3.559998003765941e-05	2.41411379998317
117	911411	False	lost	0.0	5.0399976316839457e-05	0.5182078999932855
118	911421	False	lost	0.0	0.00022159999934956431	0.5070388000458479
119	911431	False	lost	0.0	0.00010980002116411924	0.5099671999923885
120	911441	False	lost	0.0	8.590001380071044e-05	0.5333400999661535
121	911451	False	lost	0.0	4.850002005696297e-05	0.8151025999686681
122	911461	False	lost	0.0	4.4599990360438824e-05	0.5266582000185736
123	911471	False	segregating	0.069075	5.779997445642948e-05	2.616325600014534
124	911481	False	lost	0.0	4.910002462565899e-05	0.5319664999842644
125	911491	False	lost	0.0	5.0799979362636805e-05	0.5352658000192605
126	911501	False	lost	0.0	5.540001438930631e-05	0.5636091000051238
127	911511	False	lost	0.0	4.640000406652689e-05	0.5810002000071108
128	911521	False	lost	0.0	4.1899969801306725e-05	0.530838800012134
129	911531	False	lost	0.0	3.5800039768218994e-05	0.964078499993775
130	911541	False	lost	0.0	3.600004129111767e-05	0.5201674000127241
131	911551	False	lost	0.0	3.860000288113952e-05	0.532524399983231
132	911561	False	lost	0.0	0.0005181000451557338	0.5726267999853007
133	911571	False	lost	0.0	3.609998384490609e-05	0.5600238000042737
134	911581	False	lost	0.0	3.9700011257082224e-05	0.5465381999965757
135	911591	False	lost	0.0	4.060001811012626e-05	0.7384758000262082
136	911601	False	lost	0.0	4.369998350739479e-05	0.5334353999933228
137	911611	False	lost	0.0	4.469999112188816e-05	0.5317894000327215
138	911621	False	lost	0.0	3.5100034438073635e-05	0.4980768000241369
139	911631	False	lost	0.0	3.860000288113952e-05	0.5106137999682687
140	911641	False	lost	0.0	0.0001993000041693449	0.5337742999545299
141	911651	False	segregating	0.02295	5.70000265724957e-05	2.3886354999849573
142	911661	False	lost	0.0	0.00011449999874457717	0.5220951000228524
143	911671	False	lost	0.0	3.290001768618822e-05	0.5642584000015631
