source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,all_5000,0.01,850000,-4150000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,860000,-4140000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,870000,-4130000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,880000,-4120000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,890000,-4110000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,900000,-4100000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,910000,-4090000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,920000,-4080000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,930000,-4070000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,940000,-4060000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,950000,-4050000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,960000,-4040000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,970000,-4030000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,980000,-4020000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,990000,-4010000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1000000,-4000000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1010000,-3990000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,1020000,-3980000,100,0,0.0,1000,12,0.012
truth,all_5000,0.01,1030000,-3970000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1040000,-3960000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1050000,-3950000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1060000,-3940000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1070000,-3930000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1080000,-3920000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1090000,-3910000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1100000,-3900000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1110000,-3890000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1120000,-3880000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,1130000,-3870000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,1140000,-3860000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,1150000,-3850000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1160000,-3840000,100,1,0.01,1000,5,0.005
truth,all_5000,0.01,1170000,-3830000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,1180000,-3820000,100,1,0.01,1000,6,0.006
truth,all_5000,0.01,1190000,-3810000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1200000,-3800000,100,1,0.01,1000,8,0.008
truth,all_5000,0.01,1210000,-3790000,100,1,0.01,1000,11,0.011
truth,all_5000,0.01,1220000,-3780000,100,1,0.01,1000,10,0.01
truth,all_5000,0.01,1230000,-3770000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1240000,-3760000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1250000,-3750000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1260000,-3740000,100,1,0.01,1000,9,0.009
truth,all_5000,0.01,1270000,-3730000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1280000,-3720000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1290000,-3710000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,1300000,-3700000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,1310000,-3690000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1320000,-3680000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1330000,-3670000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1340000,-3660000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1350000,-3650000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,1360000,-3640000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1370000,-3630000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1380000,-3620000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,1390000,-3610000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1400000,-3600000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,1410000,-3590000,100,0,0.0,1000,13,0.013
truth,all_5000,0.01,1420000,-3580000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1430000,-3570000,100,0,0.0,1000,11,0.011
truth,all_5000,0.01,1440000,-3560000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1450000,-3550000,100,0,0.0,1000,10,0.01
truth,all_5000,0.01,1460000,-3540000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1470000,-3530000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1480000,-3520000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1490000,-3510000,100,0,0.0,1000,9,0.009
truth,all_5000,0.01,1500000,-3500000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1510000,-3490000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1520000,-3480000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1530000,-3470000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1540000,-3460000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1550000,-3450000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1560000,-3440000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1570000,-3430000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1580000,-3420000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1590000,-3410000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1600000,-3400000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1610000,-3390000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1620000,-3380000,100,0,0.0,1000,7,0.007
truth,all_5000,0.01,1630000,-3370000,100,0,0.0,1000,6,0.006
truth,all_5000,0.01,1640000,-3360000,100,0,0.0,1000,5,0.005
truth,all_5000,0.01,1650000,-3350000,100,0,0.0,1000,8,0.008
truth,all_5000,0.01,1660000,-3340000,100,1,0.01,1000,7,0.007
truth,all_5000,0.01,1670000,-3330000,100,0,0.0,1000,6,0.006
