endpoint,method,alpha,s,selected_regions,selected_called,power,wilson_low,wilson_high,neutral_regions,neutral_called,local_fpr
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.001,100,3,0.03,0.010254524024038925,0.0845193642905276,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.002,100,6,0.06,0.027786123963188192,0.1247681544589592,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.003,100,22,0.22,0.150012823846054,0.31070353514985793,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.004,100,39,0.39,0.3001687400639441,0.4879698295415926,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.005,100,58,0.58,0.4820648670304296,0.6720161732564526,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.006,100,59,0.59,0.4920143005341078,0.6813268697886348,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.007,100,57,0.57,0.47215389549212305,0.6626670147588988,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.008,100,48,0.48,0.384645517580519,0.5768342223477603,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.009,100,38,0.38,0.29097599252478734,0.47790244704488916,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.01,0.01,100,34,0.34,0.25461520797348164,0.43722271145275377,1000,13,0.013
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.001,100,9,0.09,0.04807254000256516,0.1622621285271631,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.002,100,19,0.19,0.12514751509768735,0.27778845379064376,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.003,100,37,0.37,0.28182360534324524,0.4677947041905709,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.004,100,60,0.6,0.5020025867910618,0.6905987135675411,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.005,100,81,0.81,0.7222115462093562,0.8748524849023126,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.006,100,70,0.7,0.6041514536665332,0.7810511470506724,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.007,100,77,0.77,0.6784561697712622,0.8415673411969654,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.008,100,63,0.63,0.5322052958094291,0.7181763946567546,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.009,100,56,0.56,0.4622810465167699,0.6532797336983921,1000,50,0.05
focal_100kb_window,focal_100kb_extreme_fraction,0.05,0.01,100,47,0.47,0.3751081795934127,0.5671114302990063,1000,50,0.05
positional,nearest_core_abs_ihs,0.01,0.001,100,1,0.01,0.0017674320641406505,0.054486196178705315,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.002,100,3,0.03,0.010254524024038925,0.0845193642905276,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.003,100,19,0.19,0.12514751509768735,0.27778845379064376,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.004,100,31,0.31,0.22779697212376038,0.40626055719489407,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.005,100,50,0.5,0.4038315303659956,0.5961684696340044,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.006,100,44,0.44,0.34672026630160796,0.5377189534832302,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.007,100,36,0.36,0.2727122040140433,0.4576459754839126,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.008,100,28,0.28,0.20139685211186212,0.3748802870992116,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.009,100,15,0.15,0.0930598528365663,0.23283559590832364,1000,7,0.007
positional,nearest_core_abs_ihs,0.01,0.01,100,6,0.06,0.027786123963188192,0.1247681544589592,1000,7,0.007
positional,nearest_core_abs_ihs,0.05,0.001,100,11,0.11,0.06254196357064568,0.18631296503080313,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.002,100,12,0.12,0.06999406437019488,0.19812099426711421,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.003,100,33,0.33,0.24563122734128034,0.4269465620490947,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.004,100,55,0.55,0.45244602997442135,0.6438546202048803,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.005,100,67,0.67,0.5730534379509052,0.7543687726587197,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.006,100,63,0.63,0.5322052958094291,0.7181763946567546,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.007,100,43,0.43,0.33733298524110106,0.5278461045078768,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.008,100,31,0.31,0.22779697212376038,0.40626055719489407,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.009,100,27,0.27,0.1926958414957634,0.36432116767944994,1000,48,0.048
positional,nearest_core_abs_ihs,0.05,0.01,100,14,0.14,0.08526343659939134,0.22137188210963837,1000,48,0.048
