source,method,fold,alpha,calibration_positions,strict_score_threshold
decoded,mass_50000,2,0.05,400,0.02
decoded,mass_50000,3,0.01,400,0.0586
decoded,mass_50000,3,0.05,400,0.0129
decoded,mass_50000,4,0.01,400,0.0709
decoded,mass_50000,4,0.05,400,0.0123
truth,af,0,0.01,400,0.3425
truth,af,0,0.05,400,0.1825
truth,af,1,0.01,400,0.31
truth,af,1,0.05,400,0.1825
truth,af,2,0.01,400,0.3175
truth,af,2,0.05,400,0.1725
truth,af,3,0.01,400,0.3175
truth,af,3,0.05,400,0.1375
truth,af,4,0.01,400,0.33
truth,af,4,0.05,400,0.1325
truth,all_10000,0,0.01,400,0.01
truth,all_10000,0,0.05,400,0.0095
truth,all_10000,1,0.01,400,0.0103
truth,all_10000,1,0.05,400,0.0094
truth,all_10000,2,0.01,400,0.0102
truth,all_10000,2,0.05,400,0.0094
truth,all_10000,3,0.01,400,0.0109
truth,all_10000,3,0.05,400,0.0098
truth,all_10000,4,0.01,400,0.0109
truth,all_10000,4,0.05,400,0.0098
truth,all_20000,0,0.01,400,0.073
truth,all_20000,0,0.05,400,0.0606
truth,all_20000,1,0.01,400,0.08
truth,all_20000,1,0.05,400,0.0614
truth,all_20000,2,0.01,400,0.08
truth,all_20000,2,0.05,400,0.0603
truth,all_20000,3,0.01,400,0.0724
truth,all_20000,3,0.05,400,0.0591
truth,all_20000,4,0.01,400,0.0686
truth,all_20000,4,0.05,400,0.0601
truth,all_30000,0,0.01,400,0.1976
truth,all_30000,0,0.05,400,0.1465
truth,all_30000,1,0.01,400,0.186
truth,all_30000,1,0.05,400,0.1455
truth,all_30000,2,0.01,400,0.1797
truth,all_30000,2,0.05,400,0.1421
truth,all_30000,3,0.01,400,0.1737
truth,all_30000,3,0.05,400,0.1462
truth,all_30000,4,0.01,400,0.1769
truth,all_30000,4,0.05,400,0.1446
truth,all_40000,0,0.01,400,0.298
truth,all_40000,0,0.05,400,0.2242
truth,all_40000,1,0.01,400,0.3345
truth,all_40000,1,0.05,400,0.247
truth,all_40000,2,0.01,400,0.3292
truth,all_40000,2,0.05,400,0.269
truth,all_40000,3,0.01,400,0.3069
truth,all_40000,3,0.05,400,0.2394
truth,all_40000,4,0.01,400,0.2987
truth,all_40000,4,0.05,400,0.229
truth,all_5000,0,0.01,400,0.0043
truth,all_5000,0,0.05,400,0.0037
truth,all_5000,1,0.01,400,0.0043
truth,all_5000,1,0.05,400,0.0038
truth,all_5000,2,0.01,400,0.004
truth,all_5000,2,0.05,400,0.0037
truth,all_5000,3,0.01,400,0.0041
truth,all_5000,3,0.05,400,0.0038
truth,all_5000,4,0.01,400,0.0042
truth,all_5000,4,0.05,400,0.0037
truth,all_50000,0,0.01,400,0.39
truth,all_50000,0,0.05,400,0.3044
truth,all_50000,1,0.01,400,0.3919
truth,all_50000,1,0.05,400,0.3162
truth,all_50000,2,0.01,400,0.4256
truth,all_50000,2,0.05,400,0.3326
truth,all_50000,3,0.01,400,0.473
truth,all_50000,3,0.05,400,0.3326
truth,all_50000,4,0.01,400,0.4849
truth,all_50000,4,0.05,400,0.3025
truth,mass_10000,0,0.01,400,0.0026
truth,mass_10000,0,0.05,400,0.0014
truth,mass_10000,1,0.01,400,0.0026
truth,mass_10000,1,0.05,400,0.0014
truth,mass_10000,2,0.01,400,0.003
truth,mass_10000,2,0.05,400,0.0012
truth,mass_10000,3,0.01,400,0.0024
truth,mass_10000,3,0.05,400,0.001
truth,mass_10000,4,0.01,400,0.0021
truth,mass_10000,4,0.05,400,0.0009
truth,mass_20000,0,0.01,400,0.0197
truth,mass_20000,0,0.05,400,0.0068
truth,mass_20000,1,0.01,400,0.0166
truth,mass_20000,1,0.05,400,0.0066
truth,mass_20000,2,0.01,400,0.0169
truth,mass_20000,2,0.05,400,0.0076
truth,mass_20000,3,0.01,400,0.02
truth,mass_20000,3,0.05,400,0.0056
truth,mass_20000,4,0.01,400,0.0187
truth,mass_20000,4,0.05,400,0.0049
truth,mass_30000,0,0.01,400,0.0481
truth,mass_30000,0,0.05,400,0.0189
truth,mass_30000,1,0.01,400,0.0392
truth,mass_30000,1,0.05,400,0.0168
truth,mass_30000,2,0.01,400,0.0421
truth,mass_30000,2,0.05,400,0.0144
truth,mass_30000,3,0.01,400,0.0415
truth,mass_30000,3,0.05,400,0.0095
truth,mass_30000,4,0.01,400,0.0403
truth,mass_30000,4,0.05,400,0.01
truth,mass_40000,0,0.01,400,0.0892
truth,mass_40000,0,0.05,400,0.0248
truth,mass_40000,1,0.01,400,0.0794
truth,mass_40000,1,0.05,400,0.0261
truth,mass_40000,2,0.01,400,0.0703
truth,mass_40000,2,0.05,400,0.0238
truth,mass_40000,3,0.01,400,0.0697
truth,mass_40000,3,0.05,400,0.014
truth,mass_40000,4,0.01,400,0.0684
truth,mass_40000,4,0.05,400,0.0144
truth,mass_5000,0,0.01,400,0.001
truth,mass_5000,0,0.05,400,0.0006
truth,mass_5000,1,0.01,400,0.0011
truth,mass_5000,1,0.05,400,0.0005
truth,mass_5000,2,0.01,400,0.0011
truth,mass_5000,2,0.05,400,0.0005
truth,mass_5000,3,0.01,400,0.001
truth,mass_5000,3,0.05,400,0.0004
truth,mass_5000,4,0.01,400,0.0008
truth,mass_5000,4,0.05,400,0.0004
truth,mass_50000,0,0.01,400,0.0981
truth,mass_50000,0,0.05,400,0.0332
truth,mass_50000,1,0.01,400,0.0892
truth,mass_50000,1,0.05,400,0.0328
truth,mass_50000,2,0.01,400,0.0957
truth,mass_50000,2,0.05,400,0.0267
truth,mass_50000,3,0.01,400,0.0852
truth,mass_50000,3,0.05,400,0.0175
truth,mass_50000,4,0.01,400,0.0981
truth,mass_50000,4,0.05,400,0.016
