arm_id	mode	estimator	threshold_years	n	truth_mean	decoded_mean	bias	rmse	pearson_r
chb_nea_selection	neutral	gamma_smc_frac	1000.0	100	0.0002	0.0005	0.00030000000000000003	0.0017320508075688774	0.6226998490772396
chb_nea_selection	neutral	gamma_smc_frac	4500.0	100	0.0013	0.0053	0.004	0.0074833147735478825	0.5853810381346174
chb_nea_selection	neutral	gamma_smc_frac	10000.0	100	0.0041	0.052399999999999995	0.048299999999999996	0.05855766388782941	0.13318303915466953
chb_nea_selection	neutral	gamma_smc_frac	20000.0	100	0.022699999999999994	0.19240000000000002	0.16970000000000002	0.19295336224072385	0.10127351692607939
chb_nea_selection	neutral	gamma_smc_frac	30000.0	100	0.07930000000000001	0.29369999999999996	0.21439999999999995	0.24677520134729908	0.0905215061224965
chb_nea_selection	neutral	gamma_smc_frac	40000.0	100	0.20680000000000004	0.3594	0.15259999999999996	0.20188610650562364	0.3262777555527715
chb_nea_selection	neutral	gamma_smc_frac	50000.0	100	0.28940000000000005	0.4047	0.11529999999999996	0.17113445006777564	0.5320750256893991
chb_nea_selection	selected	gamma_smc_frac	1000.0	100	0.0004	0.0005	9.999999999999999e-05	0.001	0.8897565210026095
chb_nea_selection	selected	gamma_smc_frac	4500.0	100	0.0018	0.013199999999999998	0.011399999999999999	0.017088007490635063	0.2807940739256268
chb_nea_selection	selected	gamma_smc_frac	10000.0	100	0.006999999999999999	0.13160000000000002	0.12460000000000002	0.14979319076646977	0.08738690738259111
chb_nea_selection	selected	gamma_smc_frac	20000.0	100	0.0644	0.3381	0.2737	0.3362216530802262	-0.17452161892499196
chb_nea_selection	selected	gamma_smc_frac	30000.0	100	0.3060999999999999	0.4303	0.12420000000000009	0.2588744869623115	0.385702849807542
chb_nea_selection	selected	gamma_smc_frac	40000.0	100	0.4705	0.47659999999999997	0.006099999999999994	0.09478923989567592	0.9261446189985331
chb_nea_selection	selected	gamma_smc_frac	50000.0	100	0.507	0.5052	-0.0018000000000000238	0.05551576352712804	0.9778405360297121
chb_nea_selection	neutral	gamma_smc_meanp	1000.0	100	0.0002	0.013048236015749998	0.012848236015749998	0.013791526475269598	0.3518278414225051
chb_nea_selection	neutral	gamma_smc_meanp	4500.0	100	0.0013	0.06106407098049999	0.05976407098049999	0.06341397928155448	0.295499481420435
chb_nea_selection	neutral	gamma_smc_meanp	10000.0	100	0.0041	0.1310951245662	0.12699512456620002	0.13429428983418132	0.20724936959639703
chb_nea_selection	neutral	gamma_smc_meanp	20000.0	100	0.022699999999999994	0.23446655504399996	0.21176655504399997	0.22466674639019718	0.09761916095469823
chb_nea_selection	neutral	gamma_smc_meanp	30000.0	100	0.07930000000000001	0.312632493654	0.23333249365399997	0.2534753110296942	0.05793769555434426
chb_nea_selection	neutral	gamma_smc_meanp	40000.0	100	0.20680000000000004	0.3734018187810001	0.16660181878100006	0.2011605020176202	0.2447908070315666
chb_nea_selection	neutral	gamma_smc_meanp	50000.0	100	0.28940000000000005	0.422260393286	0.13286039328599997	0.17381579099938424	0.459363429172254
chb_nea_selection	selected	gamma_smc_meanp	1000.0	100	0.0004	0.02095449813168	0.020554498131679998	0.023011030410029547	0.2893700418893078
chb_nea_selection	selected	gamma_smc_meanp	4500.0	100	0.0018	0.09422200917650002	0.09242200917650002	0.10321730849591453	0.1977787705143202
chb_nea_selection	selected	gamma_smc_meanp	10000.0	100	0.006999999999999999	0.19093076109270002	0.1839307610927	0.20617680947486886	0.009283034080033252
chb_nea_selection	selected	gamma_smc_meanp	20000.0	100	0.0644	0.31296247571019997	0.24856247571019996	0.29551555636818927	-0.2211759116751285
chb_nea_selection	selected	gamma_smc_meanp	30000.0	100	0.3060999999999999	0.389444637524	0.08334463752400006	0.21913173004751207	0.37009957213371947
chb_nea_selection	selected	gamma_smc_meanp	40000.0	100	0.4705	0.43979851414599996	-0.03070148585400001	0.1055516555342516	0.9279545457043515
chb_nea_selection	selected	gamma_smc_meanp	50000.0	100	0.507	0.474844208581	-0.03215579141899999	0.08389415434842311	0.9679355953737591
