# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	46
0	1
2	3
4	5
8	9
12	13
14	15
16	17
18	19
20	21
24	25
28	29
30	31
42	43
48	49
50	51
56	57
58	59
60	61
68	69
70	71
72	73
84	85
92	93
94	95
98	99
100	101
108	109
110	111
112	113
116	117
118	119
122	123
146	147
150	151
156	157
158	159
162	163
164	165
170	171
172	173
174	175
176	177
180	181
192	193
194	195
198	199
