arm_id	estimator	genotype_class	conditioned_on_presence	threshold_years	n_selected	n_significant	power	median_p_value	median_observed	n_null	arm_label
chb_ooa_archaic	gamma_smc_meanp	overall	True	40000.0	42	0	0.0	0.631578947368421	0.3078253159	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	gamma_smc_meanp	overall	True	50000.0	42	0	0.0	0.631578947368421	0.3375232368499999	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	gamma_smc_meanp	overall	True	75000.0	42	0	0.0	0.6578947368421053	0.40864430545	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	gamma_smc_meanp	overall	True	100000.0	42	0	0.0	0.6842105263157895	0.4681216973	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	gamma_smc_meanp	overall	True	150000.0	42	0	0.0	0.6842105263157895	0.53587662	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	gamma_smc_meanp	overall	True	200000.0	42	0	0.0	0.736842105263158	0.5959008610500001	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	1000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	4500.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	10000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	20000.0	42	0	0.0	0.1052631578947368	0.063508064516129	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	30000.0	42	0	0.0	0.0526315789473684	0.1418821839080459	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	40000.0	42	0	0.0	0.0526315789473684	0.1464460784313725	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	50000.0	42	0	0.0	0.0526315789473684	0.1490036231884058	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	75000.0	42	0	0.0	0.0526315789473684	0.1490036231884058	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	100000.0	42	0	0.0	0.0526315789473684	0.1571680376028202	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	150000.0	42	0	0.0	0.0526315789473684	0.1571680376028202	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	False	200000.0	42	0	0.0	0.0526315789473684	0.1571680376028202	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	1000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	4500.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	10000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	20000.0	42	0	0.0	0.1052631578947368	0.063508064516129	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	30000.0	42	0	0.0	0.0526315789473684	0.1418821839080459	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	40000.0	42	0	0.0	0.0526315789473684	0.1464460784313725	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	50000.0	42	0	0.0	0.0526315789473684	0.1490036231884058	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	75000.0	42	0	0.0	0.0526315789473684	0.1490036231884058	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	100000.0	42	0	0.0	0.0526315789473684	0.1571680376028202	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	150000.0	42	0	0.0	0.0526315789473684	0.1571680376028202	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	any_carrier	True	200000.0	42	0	0.0	0.0526315789473684	0.1571680376028202	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	1000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	4500.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	10000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	20000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	30000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	40000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	50000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	75000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	100000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	150000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	False	200000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	1000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	4500.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	10000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	20000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	30000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	40000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	50000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	75000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	100000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	150000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	het	True	200000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	1000.0	33	0	0.0	1.0	0.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	4500.0	33	0	0.0	1.0	0.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	10000.0	33	0	0.0	0.5	0.0114942528735632	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	20000.0	33	0	0.0	0.5	0.4285714285714285	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	30000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	40000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	50000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	75000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	100000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	150000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	False	200000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	1000.0	33	0	0.0	1.0	0.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	4500.0	33	0	0.0	1.0	0.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	10000.0	33	0	0.0	0.5	0.0114942528735632	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	20000.0	33	0	0.0	0.5	0.4285714285714285	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	30000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	40000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	50000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	75000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	100000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	150000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_carrier	True	200000.0	33	0	0.0	0.75	1.0	3	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	1000.0	98	2	0.0204081632653061	1.0	0.0	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	4500.0	98	4	0.0408163265306122	1.0	0.0	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	10000.0	98	4	0.0408163265306122	1.0	0.0	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	20000.0	98	4	0.0408163265306122	0.7029702970297029	0.02	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	30000.0	98	4	0.0408163265306122	0.6237623762376238	0.07	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	40000.0	98	12	0.1224489795918367	0.4603960396039604	0.2043956043956044	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	50000.0	98	10	0.1020408163265306	0.4257425742574257	0.2928898208158597	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	75000.0	98	7	0.0714285714285714	0.4653465346534653	0.37	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	100000.0	98	8	0.0816326530612244	0.4356435643564356	0.3979166666666667	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	150000.0	98	12	0.1224489795918367	0.4653465346534653	0.43875	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	False	200000.0	98	14	0.1428571428571428	0.4752475247524752	0.47	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	1000.0	40	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	4500.0	40	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	10000.0	40	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	20000.0	40	0	0.0	0.6842105263157895	0.0167410714285714	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	30000.0	40	0	0.0	0.5263157894736842	0.0787450396825396	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	40000.0	40	0	0.0	0.631578947368421	0.1559027777777777	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	50000.0	40	0	0.0	0.4736842105263157	0.2928898208158597	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	75000.0	40	0	0.0	0.4473684210526315	0.3545454545454545	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	100000.0	40	0	0.0	0.5263157894736842	0.3782894736842105	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	150000.0	40	0	0.0	0.6842105263157895	0.3979166666666667	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	hom_noncarrier	True	200000.0	40	0	0.0	0.7105263157894737	0.403125	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	1000.0	100	2	0.02	1.0	0.0	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	4500.0	100	0	0.0	1.0	0.0	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	10000.0	100	3	0.03	1.0	0.0	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	20000.0	100	15	0.15	0.7128712871287128	0.02	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	30000.0	100	19	0.19	0.4851485148514851	0.08	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	40000.0	100	20	0.2	0.4455445544554455	0.21	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	50000.0	100	13	0.13	0.4059405940594059	0.3	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	75000.0	100	8	0.08	0.4653465346534653	0.36	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	100000.0	100	9	0.09	0.4356435643564356	0.39	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	150000.0	100	9	0.09	0.4653465346534653	0.43	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	False	200000.0	100	13	0.13	0.4653465346534653	0.46	100	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	1000.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	4500.0	42	0	0.0	1.0	0.0	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	10000.0	42	0	0.0	0.3684210526315789	0.01	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	20000.0	42	0	0.0	0.1578947368421052	0.04	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	30000.0	42	0	0.0	0.2105263157894736	0.11	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	40000.0	42	0	0.0	0.5263157894736842	0.2	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	50000.0	42	0	0.0	0.3421052631578947	0.305	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	75000.0	42	0	0.0	0.4736842105263157	0.34	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	100000.0	42	0	0.0	0.4736842105263157	0.36	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	150000.0	42	0	0.0	0.5	0.395	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
chb_ooa_archaic	tree_truth	overall	True	200000.0	42	0	0.0	0.6052631578947368	0.395	18	CHB (OutOfAfricaArchaicAdmixture_5R19)
eas_phlash	gamma_smc_frac	overall	False	1000.0	100	0	0.0	1.0	0.0	100	EAS (PHLASH median, custom demography)
eas_phlash	gamma_smc_frac	overall	False	4500.0	100	10	0.1	0.6831683168316832	0.01	100	EAS (PHLASH median, custom demography)
