haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,mean,maximum_frac_recent,30000,1,0.7,0.3559,400,400,80,10000
400,mean,maximum_frac_recent,40000,1,0.7,0.5046,400,400,80,10000
400,mean,maximum_frac_recent,50000,1,0.7,0.5994,400,400,80,10000
400,mean,maximum_standardized_frac_recent,5000,1,0.7,2.7258449302504983,400,400,80,10000
400,mean,maximum_standardized_frac_recent,10000,1,0.7,3.71861436322027,400,400,80,10000
400,mean,maximum_standardized_frac_recent,20000,1,0.7,4.281587281032855,400,400,80,10000
400,mean,maximum_standardized_frac_recent,30000,1,0.7,4.7283883481828015,400,400,80,10000
400,mean,maximum_standardized_frac_recent,40000,1,0.7,4.881641890677772,400,400,80,10000
400,mean,maximum_standardized_frac_recent,50000,1,0.7,4.662461749288818,400,400,80,10000
400,mean,maximum_frac_recent,5000,2,0.7,0.0072,400,400,80,10000
400,mean,maximum_frac_recent,10000,2,0.7,0.04,400,400,80,10000
400,mean,maximum_frac_recent,20000,2,0.7,0.1831,400,400,80,10000
400,mean,maximum_frac_recent,30000,2,0.7,0.3442,400,400,80,10000
400,mean,maximum_frac_recent,40000,2,0.7,0.4762,400,400,80,10000
400,mean,maximum_frac_recent,50000,2,0.7,0.582,400,400,80,10000
400,mean,maximum_standardized_frac_recent,5000,2,0.7,2.6160352565355494,400,400,80,10000
400,mean,maximum_standardized_frac_recent,10000,2,0.7,3.113504917799614,400,400,80,10000
400,mean,maximum_standardized_frac_recent,20000,2,0.7,4.0443513327407254,400,400,80,10000
400,mean,maximum_standardized_frac_recent,30000,2,0.7,4.393439679976186,400,400,80,10000
400,mean,maximum_standardized_frac_recent,40000,2,0.7,4.51725581585047,400,400,80,10000
400,mean,maximum_standardized_frac_recent,50000,2,0.7,4.549750720866238,400,400,80,10000
400,mean,maximum_frac_recent,5000,3,0.7,0.0072,400,400,80,10000
400,mean,maximum_frac_recent,10000,3,0.7,0.0404,400,400,80,10000
400,mean,maximum_frac_recent,20000,3,0.7,0.1869,400,400,80,10000
400,mean,maximum_frac_recent,30000,3,0.7,0.3483,400,400,80,10000
400,mean,maximum_frac_recent,40000,3,0.7,0.4858,400,400,80,10000
400,mean,maximum_frac_recent,50000,3,0.7,0.5878,400,400,80,10000
400,mean,maximum_standardized_frac_recent,5000,3,0.7,2.6397610768466166,400,400,80,10000
400,mean,maximum_standardized_frac_recent,10000,3,0.7,3.306993364981917,400,400,80,10000
