source,onset_years,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,n,called,region_call_rate
median,50000,30000,0.05,10000,0,5,neutral,1000,955,0.955
median,50000,30000,0.05,10000,0,5,selected,100,96,0.96
median,50000,30000,0.05,10000,0,10,neutral,1000,507,0.507
median,50000,30000,0.05,10000,0,10,selected,100,60,0.6
median,50000,30000,0.05,10000,0,20,neutral,1000,62,0.062
median,50000,30000,0.05,10000,0,20,selected,100,18,0.18
median,50000,30000,0.05,10000,1,1,neutral,1000,1000,1.0
median,50000,30000,0.05,10000,1,1,selected,100,100,1.0
median,50000,30000,0.05,10000,1,3,neutral,1000,999,0.999
median,50000,30000,0.05,10000,1,3,selected,100,100,1.0
median,50000,30000,0.05,10000,1,5,neutral,1000,962,0.962
median,50000,30000,0.05,10000,1,5,selected,100,96,0.96
median,50000,30000,0.05,10000,1,10,neutral,1000,583,0.583
median,50000,30000,0.05,10000,1,10,selected,100,64,0.64
median,50000,30000,0.05,10000,1,20,neutral,1000,85,0.085
median,50000,30000,0.05,10000,1,20,selected,100,22,0.22
median,50000,30000,0.05,20000,0,1,neutral,1000,1000,1.0
median,50000,30000,0.05,20000,0,1,selected,100,100,1.0
median,50000,30000,0.05,20000,0,3,neutral,1000,940,0.94
median,50000,30000,0.05,20000,0,3,selected,100,96,0.96
median,50000,30000,0.05,20000,0,5,neutral,1000,615,0.615
median,50000,30000,0.05,20000,0,5,selected,100,68,0.68
median,50000,30000,0.05,20000,0,10,neutral,1000,89,0.089
median,50000,30000,0.05,20000,0,10,selected,100,22,0.22
median,50000,30000,0.05,20000,0,20,neutral,1000,0,0.0
median,50000,30000,0.05,20000,0,20,selected,100,0,0.0
median,50000,30000,0.05,20000,1,1,neutral,1000,1000,1.0
median,50000,30000,0.05,20000,1,1,selected,100,100,1.0
median,50000,30000,0.05,20000,1,3,neutral,1000,953,0.953
median,50000,30000,0.05,20000,1,3,selected,100,97,0.97
median,50000,30000,0.05,20000,1,5,neutral,1000,693,0.693
median,50000,30000,0.05,20000,1,5,selected,100,72,0.72
median,50000,30000,0.05,20000,1,10,neutral,1000,118,0.118
median,50000,30000,0.05,20000,1,10,selected,100,27,0.27
median,50000,30000,0.05,20000,1,20,neutral,1000,4,0.004
median,50000,30000,0.05,20000,1,20,selected,100,2,0.02
median,50000,30000,0.05,50000,0,1,neutral,1000,1000,1.0
median,50000,30000,0.05,50000,0,1,selected,100,100,1.0
median,50000,30000,0.05,50000,0,3,neutral,1000,443,0.443
median,50000,30000,0.05,50000,0,3,selected,100,50,0.5
median,50000,30000,0.05,50000,0,5,neutral,1000,61,0.061
median,50000,30000,0.05,50000,0,5,selected,100,15,0.15
median,50000,30000,0.05,50000,0,10,neutral,1000,1,0.001
median,50000,30000,0.05,50000,0,10,selected,100,0,0.0
median,50000,30000,0.05,50000,0,20,neutral,1000,0,0.0
median,50000,30000,0.05,50000,0,20,selected,100,0,0.0
median,50000,30000,0.05,50000,1,1,neutral,1000,1000,1.0
median,50000,30000,0.05,50000,1,1,selected,100,100,1.0
median,50000,30000,0.05,50000,1,3,neutral,1000,532,0.532
median,50000,30000,0.05,50000,1,3,selected,100,56,0.56
median,50000,30000,0.05,50000,1,5,neutral,1000,104,0.104
median,50000,30000,0.05,50000,1,5,selected,100,23,0.23
median,50000,30000,0.05,50000,1,10,neutral,1000,4,0.004
median,50000,30000,0.05,50000,1,10,selected,100,1,0.01
median,50000,30000,0.05,50000,1,20,neutral,1000,0,0.0
median,50000,30000,0.05,50000,1,20,selected,100,0,0.0
median,50000,30000,0.01,10000,0,1,neutral,1000,946,0.946
median,50000,30000,0.01,10000,0,1,selected,100,95,0.95
median,50000,30000,0.01,10000,0,3,neutral,1000,748,0.748
median,50000,30000,0.01,10000,0,3,selected,100,83,0.83
median,50000,30000,0.01,10000,0,5,neutral,1000,393,0.393
median,50000,30000,0.01,10000,0,5,selected,100,51,0.51
median,50000,30000,0.01,10000,0,10,neutral,1000,80,0.08
median,50000,30000,0.01,10000,0,10,selected,100,20,0.2
median,50000,30000,0.01,10000,0,20,neutral,1000,5,0.005
median,50000,30000,0.01,10000,0,20,selected,100,0,0.0
median,50000,30000,0.01,10000,1,1,neutral,1000,946,0.946
median,50000,30000,0.01,10000,1,1,selected,100,95,0.95
median,50000,30000,0.01,10000,1,3,neutral,1000,762,0.762
median,50000,30000,0.01,10000,1,3,selected,100,84,0.84
median,50000,30000,0.01,10000,1,5,neutral,1000,446,0.446
median,50000,30000,0.01,10000,1,5,selected,100,56,0.56
median,50000,30000,0.01,10000,1,10,neutral,1000,90,0.09
median,50000,30000,0.01,10000,1,10,selected,100,23,0.23
median,50000,30000,0.01,10000,1,20,neutral,1000,5,0.005
median,50000,30000,0.01,10000,1,20,selected,100,1,0.01
median,50000,30000,0.01,20000,0,1,neutral,1000,926,0.926
median,50000,30000,0.01,20000,0,1,selected,100,95,0.95
median,50000,30000,0.01,20000,0,3,neutral,1000,377,0.377
median,50000,30000,0.01,20000,0,3,selected,100,52,0.52
median,50000,30000,0.01,20000,0,5,neutral,1000,103,0.103
median,50000,30000,0.01,20000,0,5,selected,100,22,0.22
median,50000,30000,0.01,20000,0,10,neutral,1000,5,0.005
median,50000,30000,0.01,20000,0,10,selected,100,1,0.01
median,50000,30000,0.01,20000,0,20,neutral,1000,0,0.0
median,50000,30000,0.01,20000,0,20,selected,100,0,0.0
median,50000,30000,0.01,20000,1,1,neutral,1000,926,0.926
median,50000,30000,0.01,20000,1,1,selected,100,95,0.95
median,50000,30000,0.01,20000,1,3,neutral,1000,413,0.413
median,50000,30000,0.01,20000,1,3,selected,100,60,0.6
median,50000,30000,0.01,20000,1,5,neutral,1000,116,0.116
median,50000,30000,0.01,20000,1,5,selected,100,26,0.26
median,50000,30000,0.01,20000,1,10,neutral,1000,8,0.008
median,50000,30000,0.01,20000,1,10,selected,100,2,0.02
median,50000,30000,0.01,20000,1,20,neutral,1000,0,0.0
median,50000,30000,0.01,20000,1,20,selected,100,0,0.0
median,50000,30000,0.01,50000,0,1,neutral,1000,795,0.795
median,50000,30000,0.01,50000,0,1,selected,100,84,0.84
median,50000,30000,0.01,50000,0,3,neutral,1000,59,0.059
median,50000,30000,0.01,50000,0,3,selected,100,15,0.15
median,50000,30000,0.01,50000,0,5,neutral,1000,4,0.004
median,50000,30000,0.01,50000,0,5,selected,100,0,0.0
median,50000,30000,0.01,50000,0,10,neutral,1000,0,0.0
median,50000,30000,0.01,50000,0,10,selected,100,0,0.0
median,50000,30000,0.01,50000,0,20,neutral,1000,0,0.0
median,50000,30000,0.01,50000,0,20,selected,100,0,0.0
median,50000,30000,0.01,50000,1,1,neutral,1000,795,0.795
median,50000,30000,0.01,50000,1,1,selected,100,84,0.84
median,50000,30000,0.01,50000,1,3,neutral,1000,70,0.07
median,50000,30000,0.01,50000,1,3,selected,100,22,0.22
median,50000,30000,0.01,50000,1,5,neutral,1000,7,0.007
median,50000,30000,0.01,50000,1,5,selected,100,1,0.01
median,50000,30000,0.01,50000,1,10,neutral,1000,0,0.0
median,50000,30000,0.01,50000,1,10,selected,100,0,0.0
median,50000,30000,0.01,50000,1,20,neutral,1000,0,0.0
median,50000,30000,0.01,50000,1,20,selected,100,0,0.0
median,50000,30000,0.001,10000,0,1,neutral,1000,326,0.326
median,50000,30000,0.001,10000,0,1,selected,100,57,0.57
median,50000,30000,0.001,10000,0,3,neutral,1000,115,0.115
median,50000,30000,0.001,10000,0,3,selected,100,35,0.35
median,50000,30000,0.001,10000,0,5,neutral,1000,28,0.028
median,50000,30000,0.001,10000,0,5,selected,100,16,0.16
median,50000,30000,0.001,10000,0,10,neutral,1000,2,0.002
median,50000,30000,0.001,10000,0,10,selected,100,3,0.03
median,50000,30000,0.001,10000,0,20,neutral,1000,0,0.0
median,50000,30000,0.001,10000,0,20,selected,100,0,0.0
median,50000,30000,0.001,10000,1,1,neutral,1000,326,0.326
median,50000,30000,0.001,10000,1,1,selected,100,57,0.57
median,50000,30000,0.001,10000,1,3,neutral,1000,117,0.117
median,50000,30000,0.001,10000,1,3,selected,100,37,0.37
median,50000,30000,0.001,10000,1,5,neutral,1000,36,0.036
median,50000,30000,0.001,10000,1,5,selected,100,17,0.17
median,50000,30000,0.001,10000,1,10,neutral,1000,3,0.003
median,50000,30000,0.001,10000,1,10,selected,100,4,0.04
median,50000,30000,0.001,10000,1,20,neutral,1000,0,0.0
median,50000,30000,0.001,10000,1,20,selected,100,0,0.0
median,50000,30000,0.001,20000,0,1,neutral,1000,262,0.262
median,50000,30000,0.001,20000,0,1,selected,100,52,0.52
median,50000,30000,0.001,20000,0,3,neutral,1000,27,0.027
median,50000,30000,0.001,20000,0,3,selected,100,15,0.15
median,50000,30000,0.001,20000,0,5,neutral,1000,3,0.003
median,50000,30000,0.001,20000,0,5,selected,100,4,0.04
median,50000,30000,0.001,20000,0,10,neutral,1000,0,0.0
median,50000,30000,0.001,20000,0,10,selected,100,0,0.0
median,50000,30000,0.001,20000,0,20,neutral,1000,0,0.0
median,50000,30000,0.001,20000,0,20,selected,100,0,0.0
median,50000,30000,0.001,20000,1,1,neutral,1000,262,0.262
median,50000,30000,0.001,20000,1,1,selected,100,52,0.52
median,50000,30000,0.001,20000,1,3,neutral,1000,35,0.035
median,50000,30000,0.001,20000,1,3,selected,100,16,0.16
median,50000,30000,0.001,20000,1,5,neutral,1000,6,0.006
median,50000,30000,0.001,20000,1,5,selected,100,4,0.04
median,50000,30000,0.001,20000,1,10,neutral,1000,1,0.001
median,50000,30000,0.001,20000,1,10,selected,100,0,0.0
median,50000,30000,0.001,20000,1,20,neutral,1000,0,0.0
median,50000,30000,0.001,20000,1,20,selected,100,0,0.0
median,50000,30000,0.001,50000,0,1,neutral,1000,156,0.156
median,50000,30000,0.001,50000,0,1,selected,100,44,0.44
median,50000,30000,0.001,50000,0,3,neutral,1000,1,0.001
median,50000,30000,0.001,50000,0,3,selected,100,1,0.01
median,50000,30000,0.001,50000,0,5,neutral,1000,0,0.0
median,50000,30000,0.001,50000,0,5,selected,100,0,0.0
median,50000,30000,0.001,50000,0,10,neutral,1000,0,0.0
median,50000,30000,0.001,50000,0,10,selected,100,0,0.0
median,50000,30000,0.001,50000,0,20,neutral,1000,0,0.0
median,50000,30000,0.001,50000,0,20,selected,100,0,0.0
median,50000,30000,0.001,50000,1,1,neutral,1000,156,0.156
median,50000,30000,0.001,50000,1,1,selected,100,44,0.44
median,50000,30000,0.001,50000,1,3,neutral,1000,1,0.001
median,50000,30000,0.001,50000,1,3,selected,100,1,0.01
median,50000,30000,0.001,50000,1,5,neutral,1000,0,0.0
median,50000,30000,0.001,50000,1,5,selected,100,0,0.0
median,50000,30000,0.001,50000,1,10,neutral,1000,0,0.0
median,50000,30000,0.001,50000,1,10,selected,100,0,0.0
median,50000,30000,0.001,50000,1,20,neutral,1000,0,0.0
median,50000,30000,0.001,50000,1,20,selected,100,0,0.0
median,50000,40000,0.05,10000,0,1,neutral,1000,1000,1.0
median,50000,40000,0.05,10000,0,1,selected,100,100,1.0
median,50000,40000,0.05,10000,0,3,neutral,1000,999,0.999
median,50000,40000,0.05,10000,0,3,selected,100,99,0.99
median,50000,40000,0.05,10000,0,5,neutral,1000,956,0.956
median,50000,40000,0.05,10000,0,5,selected,100,96,0.96
median,50000,40000,0.05,10000,0,10,neutral,1000,457,0.457
median,50000,40000,0.05,10000,0,10,selected,100,56,0.56
median,50000,40000,0.05,10000,0,20,neutral,1000,38,0.038
median,50000,40000,0.05,10000,0,20,selected,100,13,0.13
median,50000,40000,0.05,10000,1,1,neutral,1000,1000,1.0
median,50000,40000,0.05,10000,1,1,selected,100,100,1.0
median,50000,40000,0.05,10000,1,3,neutral,1000,999,0.999
median,50000,40000,0.05,10000,1,3,selected,100,100,1.0
median,50000,40000,0.05,10000,1,5,neutral,1000,963,0.963
median,50000,40000,0.05,10000,1,5,selected,100,98,0.98
median,50000,40000,0.05,10000,1,10,neutral,1000,533,0.533
median,50000,40000,0.05,10000,1,10,selected,100,60,0.6
median,50000,40000,0.05,10000,1,20,neutral,1000,53,0.053
median,50000,40000,0.05,10000,1,20,selected,100,21,0.21
median,50000,40000,0.05,20000,0,1,neutral,1000,1000,1.0
median,50000,40000,0.05,20000,0,1,selected,100,100,1.0
median,50000,40000,0.05,20000,0,3,neutral,1000,934,0.934
median,50000,40000,0.05,20000,0,3,selected,100,98,0.98
median,50000,40000,0.05,20000,0,5,neutral,1000,551,0.551
median,50000,40000,0.05,20000,0,5,selected,100,64,0.64
median,50000,40000,0.05,20000,0,10,neutral,1000,59,0.059
median,50000,40000,0.05,20000,0,10,selected,100,19,0.19
median,50000,40000,0.05,20000,0,20,neutral,1000,0,0.0
median,50000,40000,0.05,20000,0,20,selected,100,0,0.0
median,50000,40000,0.05,20000,1,1,neutral,1000,1000,1.0
median,50000,40000,0.05,20000,1,1,selected,100,100,1.0
median,50000,40000,0.05,20000,1,3,neutral,1000,948,0.948
median,50000,40000,0.05,20000,1,3,selected,100,98,0.98
median,50000,40000,0.05,20000,1,5,neutral,1000,638,0.638
median,50000,40000,0.05,20000,1,5,selected,100,69,0.69
median,50000,40000,0.05,20000,1,10,neutral,1000,85,0.085
median,50000,40000,0.05,20000,1,10,selected,100,25,0.25
median,50000,40000,0.05,20000,1,20,neutral,1000,2,0.002
median,50000,40000,0.05,20000,1,20,selected,100,1,0.01
median,50000,40000,0.05,50000,0,1,neutral,1000,1000,1.0
median,50000,40000,0.05,50000,0,1,selected,100,100,1.0
median,50000,40000,0.05,50000,0,3,neutral,1000,395,0.395
median,50000,40000,0.05,50000,0,3,selected,100,47,0.47
median,50000,40000,0.05,50000,0,5,neutral,1000,49,0.049
median,50000,40000,0.05,50000,0,5,selected,100,11,0.11
median,50000,40000,0.05,50000,0,10,neutral,1000,1,0.001
median,50000,40000,0.05,50000,0,10,selected,100,0,0.0
median,50000,40000,0.05,50000,0,20,neutral,1000,0,0.0
median,50000,40000,0.05,50000,0,20,selected,100,0,0.0
median,50000,40000,0.05,50000,1,1,neutral,1000,1000,1.0
median,50000,40000,0.05,50000,1,1,selected,100,100,1.0
median,50000,40000,0.05,50000,1,3,neutral,1000,496,0.496
median,50000,40000,0.05,50000,1,3,selected,100,52,0.52
median,50000,40000,0.05,50000,1,5,neutral,1000,90,0.09
median,50000,40000,0.05,50000,1,5,selected,100,21,0.21
median,50000,40000,0.05,50000,1,10,neutral,1000,1,0.001
median,50000,40000,0.05,50000,1,10,selected,100,1,0.01
median,50000,40000,0.05,50000,1,20,neutral,1000,0,0.0
median,50000,40000,0.05,50000,1,20,selected,100,0,0.0
median,50000,40000,0.01,10000,0,1,neutral,1000,966,0.966
median,50000,40000,0.01,10000,0,1,selected,100,98,0.98
median,50000,40000,0.01,10000,0,3,neutral,1000,713,0.713
median,50000,40000,0.01,10000,0,3,selected,100,75,0.75
median,50000,40000,0.01,10000,0,5,neutral,1000,362,0.362
median,50000,40000,0.01,10000,0,5,selected,100,47,0.47
median,50000,40000,0.01,10000,0,10,neutral,1000,50,0.05
median,50000,40000,0.01,10000,0,10,selected,100,16,0.16
median,50000,40000,0.01,10000,0,20,neutral,1000,3,0.003
median,50000,40000,0.01,10000,0,20,selected,100,0,0.0
median,50000,40000,0.01,10000,1,1,neutral,1000,966,0.966
median,50000,40000,0.01,10000,1,1,selected,100,98,0.98
median,50000,40000,0.01,10000,1,3,neutral,1000,734,0.734
median,50000,40000,0.01,10000,1,3,selected,100,77,0.77
median,50000,40000,0.01,10000,1,5,neutral,1000,406,0.406
median,50000,40000,0.01,10000,1,5,selected,100,50,0.5
median,50000,40000,0.01,10000,1,10,neutral,1000,60,0.06
median,50000,40000,0.01,10000,1,10,selected,100,18,0.18
median,50000,40000,0.01,10000,1,20,neutral,1000,4,0.004
median,50000,40000,0.01,10000,1,20,selected,100,0,0.0
median,50000,40000,0.01,20000,0,1,neutral,1000,934,0.934
median,50000,40000,0.01,20000,0,1,selected,100,95,0.95
median,50000,40000,0.01,20000,0,3,neutral,1000,342,0.342
median,50000,40000,0.01,20000,0,3,selected,100,47,0.47
median,50000,40000,0.01,20000,0,5,neutral,1000,66,0.066
median,50000,40000,0.01,20000,0,5,selected,100,18,0.18
median,50000,40000,0.01,20000,0,10,neutral,1000,5,0.005
median,50000,40000,0.01,20000,0,10,selected,100,0,0.0
median,50000,40000,0.01,20000,0,20,neutral,1000,0,0.0
median,50000,40000,0.01,20000,0,20,selected,100,0,0.0
median,50000,40000,0.01,20000,1,1,neutral,1000,934,0.934
median,50000,40000,0.01,20000,1,1,selected,100,95,0.95
median,50000,40000,0.01,20000,1,3,neutral,1000,373,0.373
median,50000,40000,0.01,20000,1,3,selected,100,54,0.54
median,50000,40000,0.01,20000,1,5,neutral,1000,88,0.088
median,50000,40000,0.01,20000,1,5,selected,100,24,0.24
median,50000,40000,0.01,20000,1,10,neutral,1000,5,0.005
median,50000,40000,0.01,20000,1,10,selected,100,0,0.0
median,50000,40000,0.01,20000,1,20,neutral,1000,0,0.0
median,50000,40000,0.01,20000,1,20,selected,100,0,0.0
median,50000,40000,0.01,50000,0,1,neutral,1000,805,0.805
median,50000,40000,0.01,50000,0,1,selected,100,82,0.82
median,50000,40000,0.01,50000,0,3,neutral,1000,40,0.04
median,50000,40000,0.01,50000,0,3,selected,100,14,0.14
median,50000,40000,0.01,50000,0,5,neutral,1000,3,0.003
median,50000,40000,0.01,50000,0,5,selected,100,1,0.01
median,50000,40000,0.01,50000,0,10,neutral,1000,0,0.0
median,50000,40000,0.01,50000,0,10,selected,100,0,0.0
median,50000,40000,0.01,50000,0,20,neutral,1000,0,0.0
median,50000,40000,0.01,50000,0,20,selected,100,0,0.0
median,50000,40000,0.01,50000,1,1,neutral,1000,805,0.805
median,50000,40000,0.01,50000,1,1,selected,100,82,0.82
median,50000,40000,0.01,50000,1,3,neutral,1000,52,0.052
median,50000,40000,0.01,50000,1,3,selected,100,18,0.18
median,50000,40000,0.01,50000,1,5,neutral,1000,4,0.004
median,50000,40000,0.01,50000,1,5,selected,100,1,0.01
median,50000,40000,0.01,50000,1,10,neutral,1000,0,0.0
median,50000,40000,0.01,50000,1,10,selected,100,0,0.0
median,50000,40000,0.01,50000,1,20,neutral,1000,0,0.0
median,50000,40000,0.01,50000,1,20,selected,100,0,0.0
median,50000,40000,0.001,10000,0,1,neutral,1000,387,0.387
median,50000,40000,0.001,10000,0,1,selected,100,63,0.63
median,50000,40000,0.001,10000,0,3,neutral,1000,88,0.088
median,50000,40000,0.001,10000,0,3,selected,100,33,0.33
median,50000,40000,0.001,10000,0,5,neutral,1000,20,0.02
median,50000,40000,0.001,10000,0,5,selected,100,13,0.13
median,50000,40000,0.001,10000,0,10,neutral,1000,2,0.002
median,50000,40000,0.001,10000,0,10,selected,100,1,0.01
median,50000,40000,0.001,10000,0,20,neutral,1000,0,0.0
median,50000,40000,0.001,10000,0,20,selected,100,0,0.0
median,50000,40000,0.001,10000,1,1,neutral,1000,387,0.387
median,50000,40000,0.001,10000,1,1,selected,100,63,0.63
median,50000,40000,0.001,10000,1,3,neutral,1000,95,0.095
median,50000,40000,0.001,10000,1,3,selected,100,34,0.34
median,50000,40000,0.001,10000,1,5,neutral,1000,25,0.025
median,50000,40000,0.001,10000,1,5,selected,100,15,0.15
median,50000,40000,0.001,10000,1,10,neutral,1000,2,0.002
median,50000,40000,0.001,10000,1,10,selected,100,2,0.02
median,50000,40000,0.001,10000,1,20,neutral,1000,0,0.0
median,50000,40000,0.001,10000,1,20,selected,100,0,0.0
median,50000,40000,0.001,20000,0,1,neutral,1000,291,0.291
median,50000,40000,0.001,20000,0,1,selected,100,54,0.54
median,50000,40000,0.001,20000,0,3,neutral,1000,23,0.023
median,50000,40000,0.001,20000,0,3,selected,100,10,0.1
median,50000,40000,0.001,20000,0,5,neutral,1000,3,0.003
median,50000,40000,0.001,20000,0,5,selected,100,1,0.01
median,50000,40000,0.001,20000,0,10,neutral,1000,0,0.0
median,50000,40000,0.001,20000,0,10,selected,100,0,0.0
median,50000,40000,0.001,20000,0,20,neutral,1000,0,0.0
median,50000,40000,0.001,20000,0,20,selected,100,0,0.0
median,50000,40000,0.001,20000,1,1,neutral,1000,291,0.291
median,50000,40000,0.001,20000,1,1,selected,100,54,0.54
median,50000,40000,0.001,20000,1,3,neutral,1000,29,0.029
median,50000,40000,0.001,20000,1,3,selected,100,11,0.11
median,50000,40000,0.001,20000,1,5,neutral,1000,3,0.003
median,50000,40000,0.001,20000,1,5,selected,100,2,0.02
median,50000,40000,0.001,20000,1,10,neutral,1000,0,0.0
median,50000,40000,0.001,20000,1,10,selected,100,0,0.0
median,50000,40000,0.001,20000,1,20,neutral,1000,0,0.0
median,50000,40000,0.001,20000,1,20,selected,100,0,0.0
median,50000,40000,0.001,50000,0,1,neutral,1000,168,0.168
median,50000,40000,0.001,50000,0,1,selected,100,37,0.37
median,50000,40000,0.001,50000,0,3,neutral,1000,1,0.001
median,50000,40000,0.001,50000,0,3,selected,100,0,0.0
median,50000,40000,0.001,50000,0,5,neutral,1000,0,0.0
median,50000,40000,0.001,50000,0,5,selected,100,0,0.0
median,50000,40000,0.001,50000,0,10,neutral,1000,0,0.0
median,50000,40000,0.001,50000,0,10,selected,100,0,0.0
median,50000,40000,0.001,50000,0,20,neutral,1000,0,0.0
median,50000,40000,0.001,50000,0,20,selected,100,0,0.0
median,50000,40000,0.001,50000,1,1,neutral,1000,168,0.168
median,50000,40000,0.001,50000,1,1,selected,100,37,0.37
median,50000,40000,0.001,50000,1,3,neutral,1000,1,0.001
median,50000,40000,0.001,50000,1,3,selected,100,0,0.0
median,50000,40000,0.001,50000,1,5,neutral,1000,0,0.0
median,50000,40000,0.001,50000,1,5,selected,100,0,0.0
median,50000,40000,0.001,50000,1,10,neutral,1000,0,0.0
median,50000,40000,0.001,50000,1,10,selected,100,0,0.0
median,50000,40000,0.001,50000,1,20,neutral,1000,0,0.0
median,50000,40000,0.001,50000,1,20,selected,100,0,0.0
median,50000,50000,0.05,10000,0,1,neutral,1000,1000,1.0
median,50000,50000,0.05,10000,0,1,selected,100,100,1.0
median,50000,50000,0.05,10000,0,3,neutral,1000,1000,1.0
median,50000,50000,0.05,10000,0,3,selected,100,100,1.0
median,50000,50000,0.05,10000,0,5,neutral,1000,945,0.945
median,50000,50000,0.05,10000,0,5,selected,100,96,0.96
median,50000,50000,0.05,10000,0,10,neutral,1000,410,0.41
median,50000,50000,0.05,10000,0,10,selected,100,52,0.52
median,50000,50000,0.05,10000,0,20,neutral,1000,32,0.032
median,50000,50000,0.05,10000,0,20,selected,100,8,0.08
median,50000,50000,0.05,10000,1,1,neutral,1000,1000,1.0
median,50000,50000,0.05,10000,1,1,selected,100,100,1.0
median,50000,50000,0.05,10000,1,3,neutral,1000,1000,1.0
median,50000,50000,0.05,10000,1,3,selected,100,100,1.0
median,50000,50000,0.05,10000,1,5,neutral,1000,960,0.96
median,50000,50000,0.05,10000,1,5,selected,100,98,0.98
median,50000,50000,0.05,10000,1,10,neutral,1000,488,0.488
median,50000,50000,0.05,10000,1,10,selected,100,58,0.58
median,50000,50000,0.05,10000,1,20,neutral,1000,45,0.045
median,50000,50000,0.05,10000,1,20,selected,100,17,0.17
median,50000,50000,0.05,20000,0,1,neutral,1000,1000,1.0
median,50000,50000,0.05,20000,0,1,selected,100,100,1.0
median,50000,50000,0.05,20000,0,3,neutral,1000,921,0.921
median,50000,50000,0.05,20000,0,3,selected,100,95,0.95
median,50000,50000,0.05,20000,0,5,neutral,1000,526,0.526
median,50000,50000,0.05,20000,0,5,selected,100,60,0.6
median,50000,50000,0.05,20000,0,10,neutral,1000,46,0.046
median,50000,50000,0.05,20000,0,10,selected,100,16,0.16
median,50000,50000,0.05,20000,0,20,neutral,1000,0,0.0
median,50000,50000,0.05,20000,0,20,selected,100,0,0.0
median,50000,50000,0.05,20000,1,1,neutral,1000,1000,1.0
median,50000,50000,0.05,20000,1,1,selected,100,100,1.0
median,50000,50000,0.05,20000,1,3,neutral,1000,938,0.938
median,50000,50000,0.05,20000,1,3,selected,100,97,0.97
median,50000,50000,0.05,20000,1,5,neutral,1000,597,0.597
median,50000,50000,0.05,20000,1,5,selected,100,62,0.62
median,50000,50000,0.05,20000,1,10,neutral,1000,70,0.07
median,50000,50000,0.05,20000,1,10,selected,100,20,0.2
median,50000,50000,0.05,20000,1,20,neutral,1000,1,0.001
median,50000,50000,0.05,20000,1,20,selected,100,0,0.0
median,50000,50000,0.05,50000,0,1,neutral,1000,1000,1.0
median,50000,50000,0.05,50000,0,1,selected,100,100,1.0
median,50000,50000,0.05,50000,0,3,neutral,1000,355,0.355
median,50000,50000,0.05,50000,0,3,selected,100,43,0.43
median,50000,50000,0.05,50000,0,5,neutral,1000,41,0.041
median,50000,50000,0.05,50000,0,5,selected,100,9,0.09
median,50000,50000,0.05,50000,0,10,neutral,1000,1,0.001
median,50000,50000,0.05,50000,0,10,selected,100,0,0.0
median,50000,50000,0.05,50000,0,20,neutral,1000,0,0.0
median,50000,50000,0.05,50000,0,20,selected,100,0,0.0
median,50000,50000,0.05,50000,1,1,neutral,1000,1000,1.0
median,50000,50000,0.05,50000,1,1,selected,100,100,1.0
median,50000,50000,0.05,50000,1,3,neutral,1000,440,0.44
median,50000,50000,0.05,50000,1,3,selected,100,49,0.49
median,50000,50000,0.05,50000,1,5,neutral,1000,74,0.074
median,50000,50000,0.05,50000,1,5,selected,100,18,0.18
median,50000,50000,0.05,50000,1,10,neutral,1000,1,0.001
median,50000,50000,0.05,50000,1,10,selected,100,1,0.01
median,50000,50000,0.05,50000,1,20,neutral,1000,0,0.0
median,50000,50000,0.05,50000,1,20,selected,100,0,0.0
median,50000,50000,0.01,10000,0,1,neutral,1000,972,0.972
median,50000,50000,0.01,10000,0,1,selected,100,96,0.96
median,50000,50000,0.01,10000,0,3,neutral,1000,710,0.71
median,50000,50000,0.01,10000,0,3,selected,100,72,0.72
median,50000,50000,0.01,10000,0,5,neutral,1000,340,0.34
median,50000,50000,0.01,10000,0,5,selected,100,49,0.49
median,50000,50000,0.01,10000,0,10,neutral,1000,39,0.039
median,50000,50000,0.01,10000,0,10,selected,100,11,0.11
median,50000,50000,0.01,10000,0,20,neutral,1000,3,0.003
median,50000,50000,0.01,10000,0,20,selected,100,0,0.0
median,50000,50000,0.01,10000,1,1,neutral,1000,972,0.972
median,50000,50000,0.01,10000,1,1,selected,100,96,0.96
median,50000,50000,0.01,10000,1,3,neutral,1000,734,0.734
median,50000,50000,0.01,10000,1,3,selected,100,72,0.72
median,50000,50000,0.01,10000,1,5,neutral,1000,373,0.373
median,50000,50000,0.01,10000,1,5,selected,100,50,0.5
median,50000,50000,0.01,10000,1,10,neutral,1000,45,0.045
median,50000,50000,0.01,10000,1,10,selected,100,15,0.15
median,50000,50000,0.01,10000,1,20,neutral,1000,4,0.004
median,50000,50000,0.01,10000,1,20,selected,100,0,0.0
median,50000,50000,0.01,20000,0,1,neutral,1000,946,0.946
median,50000,50000,0.01,20000,0,1,selected,100,93,0.93
median,50000,50000,0.01,20000,0,3,neutral,1000,312,0.312
median,50000,50000,0.01,20000,0,3,selected,100,46,0.46
median,50000,50000,0.01,20000,0,5,neutral,1000,57,0.057
median,50000,50000,0.01,20000,0,5,selected,100,13,0.13
median,50000,50000,0.01,20000,0,10,neutral,1000,4,0.004
median,50000,50000,0.01,20000,0,10,selected,100,0,0.0
median,50000,50000,0.01,20000,0,20,neutral,1000,0,0.0
median,50000,50000,0.01,20000,0,20,selected,100,0,0.0
median,50000,50000,0.01,20000,1,1,neutral,1000,946,0.946
median,50000,50000,0.01,20000,1,1,selected,100,93,0.93
median,50000,50000,0.01,20000,1,3,neutral,1000,344,0.344
