source,onset_years,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,n,called,region_call_rate
mean,50000,5000,0.01,10000,0,3,selected,100,62,0.62
mean,50000,5000,0.01,10000,0,5,neutral,1000,378,0.378
mean,50000,5000,0.01,10000,0,5,selected,100,56,0.56
mean,50000,5000,0.01,10000,0,10,neutral,1000,253,0.253
mean,50000,5000,0.01,10000,0,10,selected,100,38,0.38
mean,50000,5000,0.01,10000,0,20,neutral,1000,107,0.107
mean,50000,5000,0.01,10000,0,20,selected,100,23,0.23
mean,50000,5000,0.01,10000,1,1,neutral,1000,569,0.569
mean,50000,5000,0.01,10000,1,1,selected,100,72,0.72
mean,50000,5000,0.01,10000,1,3,neutral,1000,463,0.463
mean,50000,5000,0.01,10000,1,3,selected,100,62,0.62
mean,50000,5000,0.01,10000,1,5,neutral,1000,395,0.395
mean,50000,5000,0.01,10000,1,5,selected,100,58,0.58
mean,50000,5000,0.01,10000,1,10,neutral,1000,271,0.271
mean,50000,5000,0.01,10000,1,10,selected,100,41,0.41
mean,50000,5000,0.01,10000,1,20,neutral,1000,116,0.116
mean,50000,5000,0.01,10000,1,20,selected,100,25,0.25
mean,50000,5000,0.01,20000,0,1,neutral,1000,532,0.532
mean,50000,5000,0.01,20000,0,1,selected,100,69,0.69
mean,50000,5000,0.01,20000,0,3,neutral,1000,371,0.371
mean,50000,5000,0.01,20000,0,3,selected,100,55,0.55
mean,50000,5000,0.01,20000,0,5,neutral,1000,276,0.276
mean,50000,5000,0.01,20000,0,5,selected,100,39,0.39
mean,50000,5000,0.01,20000,0,10,neutral,1000,120,0.12
mean,50000,5000,0.01,20000,0,10,selected,100,27,0.27
mean,50000,5000,0.01,20000,0,20,neutral,1000,7,0.007
mean,50000,5000,0.01,20000,0,20,selected,100,3,0.03
mean,50000,5000,0.01,20000,1,1,neutral,1000,532,0.532
mean,50000,5000,0.01,20000,1,1,selected,100,69,0.69
mean,50000,5000,0.01,20000,1,3,neutral,1000,380,0.38
mean,50000,5000,0.01,20000,1,3,selected,100,56,0.56
mean,50000,5000,0.01,20000,1,5,neutral,1000,291,0.291
mean,50000,5000,0.01,20000,1,5,selected,100,43,0.43
mean,50000,5000,0.01,20000,1,10,neutral,1000,130,0.13
mean,50000,5000,0.01,20000,1,10,selected,100,29,0.29
mean,50000,5000,0.01,20000,1,20,neutral,1000,11,0.011
mean,50000,5000,0.01,20000,1,20,selected,100,3,0.03
mean,50000,5000,0.01,50000,0,1,neutral,1000,471,0.471
mean,50000,5000,0.01,50000,0,1,selected,100,65,0.65
mean,50000,5000,0.01,50000,0,3,neutral,1000,229,0.229
mean,50000,5000,0.01,50000,0,3,selected,100,38,0.38
mean,50000,5000,0.01,50000,0,5,neutral,1000,93,0.093
mean,50000,5000,0.01,50000,0,5,selected,100,19,0.19
mean,50000,5000,0.01,50000,0,10,neutral,1000,4,0.004
mean,50000,5000,0.01,50000,0,10,selected,100,1,0.01
mean,50000,5000,0.01,50000,0,20,neutral,1000,0,0.0
mean,50000,5000,0.01,50000,0,20,selected,100,0,0.0
mean,50000,5000,0.01,50000,1,1,neutral,1000,471,0.471
mean,50000,5000,0.01,50000,1,1,selected,100,65,0.65
mean,50000,5000,0.01,50000,1,3,neutral,1000,247,0.247
mean,50000,5000,0.01,50000,1,3,selected,100,40,0.4
mean,50000,5000,0.01,50000,1,5,neutral,1000,98,0.098
mean,50000,5000,0.01,50000,1,5,selected,100,20,0.2
mean,50000,5000,0.01,50000,1,10,neutral,1000,5,0.005
mean,50000,5000,0.01,50000,1,10,selected,100,1,0.01
mean,50000,5000,0.01,50000,1,20,neutral,1000,1,0.001
mean,50000,5000,0.01,50000,1,20,selected,100,0,0.0
mean,50000,5000,0.001,10000,0,1,neutral,1000,139,0.139
mean,50000,5000,0.001,10000,0,1,selected,100,23,0.23
mean,50000,5000,0.001,10000,0,3,neutral,1000,81,0.081
mean,50000,5000,0.001,10000,0,3,selected,100,13,0.13
mean,50000,5000,0.001,10000,0,5,neutral,1000,57,0.057
mean,50000,5000,0.001,10000,0,5,selected,100,10,0.1
mean,50000,5000,0.001,10000,0,10,neutral,1000,32,0.032
mean,50000,5000,0.001,10000,0,10,selected,100,7,0.07
mean,50000,5000,0.001,10000,0,20,neutral,1000,5,0.005
mean,50000,5000,0.001,10000,0,20,selected,100,3,0.03
mean,50000,5000,0.001,10000,1,1,neutral,1000,139,0.139
mean,50000,5000,0.001,10000,1,1,selected,100,23,0.23
mean,50000,5000,0.001,10000,1,3,neutral,1000,85,0.085
mean,50000,5000,0.001,10000,1,3,selected,100,14,0.14
mean,50000,5000,0.001,10000,1,5,neutral,1000,60,0.06
mean,50000,5000,0.001,10000,1,5,selected,100,10,0.1
mean,50000,5000,0.001,10000,1,10,neutral,1000,32,0.032
mean,50000,5000,0.001,10000,1,10,selected,100,7,0.07
mean,50000,5000,0.001,10000,1,20,neutral,1000,6,0.006
mean,50000,5000,0.001,10000,1,20,selected,100,3,0.03
mean,50000,5000,0.001,20000,0,1,neutral,1000,127,0.127
mean,50000,5000,0.001,20000,0,1,selected,100,20,0.2
mean,50000,5000,0.001,20000,0,3,neutral,1000,53,0.053
mean,50000,5000,0.001,20000,0,3,selected,100,8,0.08
mean,50000,5000,0.001,20000,0,5,neutral,1000,32,0.032
mean,50000,5000,0.001,20000,0,5,selected,100,7,0.07
mean,50000,5000,0.001,20000,0,10,neutral,1000,6,0.006
mean,50000,5000,0.001,20000,0,10,selected,100,3,0.03
mean,50000,5000,0.001,20000,0,20,neutral,1000,0,0.0
mean,50000,5000,0.001,20000,0,20,selected,100,0,0.0
mean,50000,5000,0.001,20000,1,1,neutral,1000,127,0.127
