task_id,mode,s,replicate,onset_years,sample_af,fixed
neutral/rep0000,neutral,0.0,0,0,0.0125,False
onset50000/rep0000,selected,0.005,0,50000,0.4675,False
neutral/rep0001,neutral,0.0,1,0,0.155,False
onset50000/rep0001,selected,0.005,1,50000,0.745,False
neutral/rep0002,neutral,0.0,2,0,0.0025,False
onset50000/rep0002,selected,0.005,2,50000,0.955,False
neutral/rep0003,neutral,0.0,3,0,0.0025,False
onset50000/rep0003,selected,0.005,3,50000,0.6825,False
neutral/rep0004,neutral,0.0,4,0,0.07,False
onset50000/rep0004,selected,0.005,4,50000,0.7225,False
neutral/rep0005,neutral,0.0,5,0,0.3175,False
onset50000/rep0005,selected,0.005,5,50000,0.7925,False
neutral/rep0006,neutral,0.0,6,0,0.915,False
onset50000/rep0006,selected,0.005,6,50000,0.48,False
neutral/rep0007,neutral,0.0,7,0,0.0025,False
onset50000/rep0007,selected,0.005,7,50000,0.55,False
neutral/rep0008,neutral,0.0,8,0,0.0075,False
onset50000/rep0008,selected,0.005,8,50000,0.99,False
neutral/rep0009,neutral,0.0,9,0,0.005,False
onset50000/rep0009,selected,0.005,9,50000,0.9225,False
neutral/rep0010,neutral,0.0,10,0,0.07,False
onset50000/rep0010,selected,0.005,10,50000,0.9875,False
neutral/rep0011,neutral,0.0,11,0,0.475,False
onset50000/rep0011,selected,0.005,11,50000,0.6925,False
neutral/rep0012,neutral,0.0,12,0,0.0025,False
onset50000/rep0012,selected,0.005,12,50000,0.7525,False
neutral/rep0013,neutral,0.0,13,0,0.0025,False
onset50000/rep0013,selected,0.005,13,50000,0.91,False
neutral/rep0014,neutral,0.0,14,0,0.0025,False
onset50000/rep0014,selected,0.005,14,50000,0.8225,False
neutral/rep0015,neutral,0.0,15,0,0.0025,False
onset50000/rep0015,selected,0.005,15,50000,0.8325,False
neutral/rep0016,neutral,0.0,16,0,0.005,False
onset50000/rep0016,selected,0.005,16,50000,0.755,False
neutral/rep0017,neutral,0.0,17,0,0.005,False
onset50000/rep0017,selected,0.005,17,50000,0.9025,False
neutral/rep0018,neutral,0.0,18,0,0.0025,False
onset50000/rep0018,selected,0.005,18,50000,0.9325,False
neutral/rep0019,neutral,0.0,19,0,0.24,False
onset50000/rep0019,selected,0.005,19,50000,0.795,False
neutral/rep0020,neutral,0.0,20,0,0.575,False
onset50000/rep0020,selected,0.005,20,50000,0.2575,False
neutral/rep0021,neutral,0.0,21,0,0.01,False
onset50000/rep0021,selected,0.005,21,50000,0.9675,False
neutral/rep0022,neutral,0.0,22,0,0.0025,False
onset50000/rep0022,selected,0.005,22,50000,0.935,False
neutral/rep0023,neutral,0.0,23,0,0.0025,False
onset50000/rep0023,selected,0.005,23,50000,0.755,False
neutral/rep0024,neutral,0.0,24,0,0.005,False
onset50000/rep0024,selected,0.005,24,50000,0.49,False
neutral/rep0025,neutral,0.0,25,0,0.9,False
onset50000/rep0025,selected,0.005,25,50000,0.885,False
neutral/rep0026,neutral,0.0,26,0,0.005,False
onset50000/rep0026,selected,0.005,26,50000,0.81,False
neutral/rep0027,neutral,0.0,27,0,0.0025,False
onset50000/rep0027,selected,0.005,27,50000,0.865,False
neutral/rep0028,neutral,0.0,28,0,0.0025,False
onset50000/rep0028,selected,0.005,28,50000,0.5425,False
neutral/rep0029,neutral,0.0,29,0,0.02,False
onset50000/rep0029,selected,0.005,29,50000,0.9475,False
neutral/rep0030,neutral,0.0,30,0,0.005,False
onset50000/rep0030,selected,0.005,30,50000,0.925,False
neutral/rep0031,neutral,0.0,31,0,0.135,False
onset50000/rep0031,selected,0.005,31,50000,0.855,False
neutral/rep0032,neutral,0.0,32,0,0.0025,False
onset50000/rep0032,selected,0.005,32,50000,0.9225,False
neutral/rep0033,neutral,0.0,33,0,0.02,False
onset50000/rep0033,selected,0.005,33,50000,0.4875,False
neutral/rep0034,neutral,0.0,34,0,0.02,False
onset50000/rep0034,selected,0.005,34,50000,0.815,False
neutral/rep0035,neutral,0.0,35,0,0.0025,False
onset50000/rep0035,selected,0.005,35,50000,0.9475,False
neutral/rep0036,neutral,0.0,36,0,0.0025,False
onset50000/rep0036,selected,0.005,36,50000,0.6125,False
neutral/rep0037,neutral,0.0,37,0,0.0025,False
onset50000/rep0037,selected,0.005,37,50000,0.9325,False
neutral/rep0038,neutral,0.0,38,0,0.9625,False
onset50000/rep0038,selected,0.005,38,50000,0.82,False
neutral/rep0039,neutral,0.0,39,0,0.0025,False
onset50000/rep0039,selected,0.005,39,50000,0.89,False
neutral/rep0040,neutral,0.0,40,0,0.4925,False
onset50000/rep0040,selected,0.005,40,50000,0.585,False
neutral/rep0041,neutral,0.0,41,0,0.8075,False
onset50000/rep0041,selected,0.005,41,50000,0.9925,False
neutral/rep0042,neutral,0.0,42,0,0.0025,False
onset50000/rep0042,selected,0.005,42,50000,0.37,False
neutral/rep0043,neutral,0.0,43,0,0.0025,False
onset50000/rep0043,selected,0.005,43,50000,0.8875,False
neutral/rep0044,neutral,0.0,44,0,0.7675,False
onset50000/rep0044,selected,0.005,44,50000,0.82,False
neutral/rep0045,neutral,0.0,45,0,0.0325,False
onset50000/rep0045,selected,0.005,45,50000,0.84,False
neutral/rep0046,neutral,0.0,46,0,0.0025,False
onset50000/rep0046,selected,0.005,46,50000,0.94,False
neutral/rep0047,neutral,0.0,47,0,0.2575,False
onset50000/rep0047,selected,0.005,47,50000,0.7775,False
neutral/rep0048,neutral,0.0,48,0,0.0025,False
onset50000/rep0048,selected,0.005,48,50000,0.5375,False
neutral/rep0049,neutral,0.0,49,0,0.0025,False
onset50000/rep0049,selected,0.005,49,50000,0.6875,False
neutral/rep0050,neutral,0.0,50,0,0.21,False
onset50000/rep0050,selected,0.005,50,50000,0.87,False
neutral/rep0051,neutral,0.0,51,0,0.2225,False
onset50000/rep0051,selected,0.005,51,50000,0.6725,False
neutral/rep0052,neutral,0.0,52,0,0.06,False
onset50000/rep0052,selected,0.005,52,50000,0.93,False
neutral/rep0053,neutral,0.0,53,0,0.0025,False
onset50000/rep0053,selected,0.005,53,50000,0.605,False
neutral/rep0054,neutral,0.0,54,0,0.71,False
onset50000/rep0054,selected,0.005,54,50000,0.475,False
neutral/rep0055,neutral,0.0,55,0,0.01,False
onset50000/rep0055,selected,0.005,55,50000,0.6975,False
neutral/rep0056,neutral,0.0,56,0,0.0025,False
onset50000/rep0056,selected,0.005,56,50000,0.9925,False
neutral/rep0057,neutral,0.0,57,0,0.0025,False
onset50000/rep0057,selected,0.005,57,50000,0.8825,False
neutral/rep0058,neutral,0.0,58,0,0.38,False
onset50000/rep0058,selected,0.005,58,50000,0.6875,False
neutral/rep0059,neutral,0.0,59,0,0.7925,False
onset50000/rep0059,selected,0.005,59,50000,0.5475,False
neutral/rep0060,neutral,0.0,60,0,0.6025,False
onset50000/rep0060,selected,0.005,60,50000,0.87,False
