schema	attempt_zero_based	simulation_seed	supervisor_started_unix_ns	supervisor_pid	supervisor_process_identity	timeout_seconds	term_grace_seconds	temp_directory	temp_tree_created	temp_tree_loaded	temp_tree_removed	execution_id	child_pid	child_process_identity	child_identity_observed	child_pgid	child_sid	parent_death_watchdog_armed	engine_wrapper_pid	engine_wrapper_process_identity	sigterm_sent	sigkill_sent	direct_child_reaped	adopted_children_reaped	process_group_gone	supervisor_status	supervisor_elapsed_seconds	lifecycle_phase
gamma-smc.han-direct-production-v3-process-supervisor/v1	0	1190480747	1786658228568675794	426	{'pid': 426, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312731}	300.0	5.0	.han_v3_attempt_000_seed_1190480747_ea5osn85	True	True	True	b1ec79092425d0f66f447cbce0f7edfd0a6c719c1bcdd0d98d3aa40f921c78a5	657	{'pid': 657, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 333140}	True	657	657	True	658	{'pid': 658, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 333150}	False	False	True	0	True	complete	184.35322901300015	engine_returned_pending_base_attempt_commit
gamma-smc.han-direct-production-v3-process-supervisor/v1	1	1529932045	1786658415010265710	426	{'pid': 426, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312731}	300.0	5.0	.han_v3_attempt_001_seed_1529932045_ok7zgnzi	True	True	True	98a9e07fefcdc2386fd696d111323d1f5b9c2b20874caa8c3bbecd3b7caad8c8	804	{'pid': 804, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 351781}	True	804	804	True	805	{'pid': 805, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 351787}	False	False	True	0	True	complete	185.1882244379999	engine_returned_pending_base_attempt_commit
gamma-smc.han-direct-production-v3-process-supervisor/v1	2	744968737	1786658602206195123	426	{'pid': 426, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312731}	300.0	5.0	.han_v3_attempt_002_seed_744968737_pom5iioh	True	True	True	31dcbebf9bf3f77e42e08e6efe2425fd9ba9b94ddfcfe3f7a4577bd4311614e5	994	{'pid': 994, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 370503}	True	994	994	True	995	{'pid': 995, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 370513}	False	False	True	0	True	complete	262.6452058630002	engine_returned_pending_base_attempt_commit
