attempt	accepted	focal_allele_outcome	population_allele_frequency	sample_allele_frequency	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	ancestry_seconds	slim_seconds	used_for_rejection_decision
0	False	lost	0.0	0.0	2000	0	0	0.0065	13	17251.88644062426	28.153081999975257	6.45473930001026	True
1	False	lost	0.0	0.0	2000	0	0	0.007	14	12870.672577988507	28.78360520000569	6.846852599992417	True
2	False	lost	0.0	0.0	2000	0	0	0.0065	13	22346.98692232646	25.81641710002441	5.167515799985267	True
3	False	lost	0.0	0.0	2000	0	0	0.0035	7	18512.81622963833	28.497811800043564	6.39243239996722	True
4	False	lost	0.0	0.0	2000	0	0	0.0045	9	18119.02580321288	29.74794239999028	6.531772299960721	True
5	False	lost	0.0	0.0	2000	0	0	0.0065	13	18914.694179501643	27.98092070000712	7.037398899963591	True
6	False	lost	0.0	0.0	2000	0	0	0.009	18	21878.53412383196	30.47123450000072	6.666162799985614	True
7	False	lost	0.0	0.0	2000	0	0	0.006	12	27547.605819992565	31.76346879999619	6.461196999996901	True
8	True	segregating	0.102125	0.10275	1610	369	21	0.0185	37	28686.08640001034	29.24113690003287	7.622562900010962	True
9	False	lost	0.0	0.0	2000	0	0	0.0055	11	20447.570885958245	31.77236780000385	7.1949508000398055	False
10	False	lost	0.0	0.0	2000	0	0	0.0045	9	16574.57612138031	31.7118627000018	6.479105899983551	False
11	False	lost	0.0	0.0	2000	0	0	0.0095	19	21902.130032027184	28.851160900027025	7.664795400050934	False
12	False	lost	0.0	0.0	2000	0	0	0.0055	11	17603.028477523076	30.877719000040088	6.448847500025295	False
13	False	lost	0.0	0.0	2000	0	0	0.005	10	14722.598686326754	30.303872999968007	6.598074799985625	False
14	False	lost	0.0	0.0	2000	0	0	0.007	14	18626.583276610385	30.055430000007615	6.972467000014149	False
15	False	lost	0.0	0.0	2000	0	0	0.009	18	18531.15679509909	31.396897999977227	6.536076899967156	False
16	False	lost	0.0	0.0	2000	0	0	0.009	18	18507.66523088129	31.73146169999381	7.075156700040679	False
17	False	lost	0.0	0.0	2000	0	0	0.006	12	18386.35299842278	31.55757949996041	6.919237199996132	False
18	False	lost	0.0	0.0	2000	0	0	0.0085	17	14192.607908834458	31.13139750005212	7.064349799999036	False
19	False	lost	0.0	0.0	2000	0	0	0.0075	15	34915.032648388806	31.706658100010827	6.8487324000452645	False
