calibration_id	phase	processing_mode	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	candidate_pool_diploids	sample_diploids	exact_sample_alt_count	draw_index	seed	panel_seed	slim_scaling_factor	slim_burn_in	sequence_length_bp	focal_position_bp	origin_age_generations	origin_contract_sha256	event_contract_sha256	cell_contract_sha256	slim_sha256	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	pool_band_and_panel_hit	sample_alt_count	sample_af	n_hom_ref	n_heterozygous	n_hom_alt	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	elapsed_seconds	trajectory_sha256	panel_tree_sha256	panel_manifest_sha256	error
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw010	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	10	123990897	1645730876	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	104	0.104	True	True	True	20.0	0.1	83.0	14.0	3.0	True	True	685.1874030800002	849df0556e34d6ed0b5c1ebd83433e5a99cea88990afa8d427c58fd3234ed402	26adac158c81b35b39c98add5c5bc7b5da8698c97598b47dcee832428f574c38	4845622a5ffb8c758e4f26911c25135b9ae6b95e1c5444d5d4e9dba6a9145575	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw011	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	11	1281884453	371854161	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	99	0.099	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	386.9936584190002	6326cd2ce6d519af3a8a7c8fed97b8aad186fb1427aab506c991ad83141e7cea	138b29d38f5d30b6c3555b9f2c8e5136b2a84bfe971a9706a3010469798c1e5a	4d12289c18bb6fa93e97c6c6c86ae982d64abd1f1bd4fba208a7fec8fcb47463	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw012	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	12	1747053785	460100925	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	86	0.086	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	104.2369279720001	7462ec23dbad98b5d6b9ec051ee1fc8a6b577682789a7587cbf6f0bee2d2c39a	a63ecb6bbed684ca017b5488b9a4821d5946369ae3309f50eb7a27e8b22635fd	246c31265e17ce8a11b2bce43796d9d98ccfc95f3f27e9c9544762a35e632ecf	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw013	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	13	1774919025	1200957895	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	86	0.086	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	85.8341589690001	a17b8e1897074fd0ba7c3aa34bec3aa684f4ce42c0bcb9f7d4f0217172163d81	2b68ea8c9603e5a3284de8dd38ebdcd7b3d470253cf4480150475fd19b2be1a4	a60313295346df3768c93a1632f666b40bf44f42bb9ee950c18f76e5bb47119e	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw014	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	14	835877400	1565784572	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	85	0.085	True	True	True	20.0	0.1	83.0	14.0	3.0	True	True	112.17882134700017	dedbfe4d01e2ccff0310071926d8503c613faa4086b2134746844c2ab53c4d64	23c0ba781a5299bd2415fcf0d2bae70ecd8deadd42ae47652c6d1432328a5d98	13b0aa279908ed87737367bbef4f7fe6f42ea1be1b9b0c113d08f8672fd57396	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw015	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	15	1254150426	679240760	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	80	0.08	True	False	False						True	True	132.64312054399988	12d2fad68d201dba2d7e1a45548d1bdf3a65725fd2d846dcead8da3741a5b158			
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw016	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	16	1491109283	1624144781	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	112	0.112	True	True	True	20.0	0.1	83.0	14.0	3.0	True	True	74.62660396699994	44c97adda94aa71b016b328fcdd6607070b6c7a92b028bddfe012015529c7c8e	1d3bee3ef2b5942473afc93f07d15cf33bc8500c6f4f42005a194eaf63c5f878	ef68ba6126da46ead02327a1cc9eecd6e19f93b53c57f7b37958bba9711e5133	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw017	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	17	1378665865	767700289	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	86	0.086	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	842.8968593889999	e46fe5b56901ac48f8523d960892f3b0b7a9e609b96a4063f06ac82681d7692d	14bb074767b1b370eb043e2938aedec85861ba746365bd9c60271f1f96f76c70	408ed760115d297977bea107f6a27865a25ba9328a075ea6b0757e737607e4aa	
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw018	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	18	889660698	855211638	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	92	0.092	True	False	False						True	True	350.18039539500023	22eb8863d74a558d15fe55b49542069f3193792d4843fb8004a5d2c364371495			
eas_selected__sensitivity10mb20__s0.005000__af0.100000__q5__draw019	sensitivity10mb20	full_10mb_normal_stdpopsim_processing_exact_panel	0.005	0.1	0.075	0.125	500	100	20	19	992938576	1211798771	5.0	0.1	10000000	5000000	2038.0	0c428837bc8d1f349067c6dd5a4c3c09125e96875485b44ae851b95343bc2feb	1675660457129bcf37325eb1e8a2adccdea1644cefb0b68e792389375e226225	ba87e582a0f5e3344341e04e9da204fbc0e4db85b2616e759ce7daae055caec5	67409ff190808c2967c949cae6697bf235010dbe832389cb4976d9089b5f5e1d	complete	True	segregating	125	0.125	True	True	True	20.0	0.1	82.0	16.0	2.0	True	True	290.1340929899998	de30edb6af36c0fbe4e99484d710187037d3c612d5e1d0a6ef103213e9131ecf	0401065a345ef152604381c87736c867ac0f949a8ab816374591ae15639e74d3	897323926329a54056c3bb58cc75e88504968eddd97ae42f8b060a6a83c7209c	
