position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	3.55290291e-05	5.76182441387e-05	5.432848196e-05	1.786603276225e-05	0.00011038540060749998	74	100	0.7425742574257426	0.9775948892248583
10000.0	2000	3.094891364e-05	6.385260779259999e-05	5.3388687955e-05	1.400278156525e-05	0.00015012378306999996	81	100	0.8118811881188119	0.9775948892248583
20000.0	2000	3.893448852e-05	6.79335877993e-05	5.3713887885e-05	1.419921803775e-05	0.00017044122881249975	70	100	0.7029702970297029	0.9775948892248583
30000.0	2000	7.185048281e-05	6.265872647670999e-05	5.0478769000000004e-05	1.60449077435e-05	0.00016318997699499993	28	100	0.2871287128712871	0.9675967596759676
40000.0	2000	6.298856012e-05	5.9316997408299994e-05	5.321984853e-05	1.54084442765e-05	0.00014130648719499987	36	100	0.36633663366336633	0.9675967596759676
50000.0	2000	0.0001076594378	5.95633329471e-05	5.261994627e-05	1.6002975128e-05	0.00015021409260999993	11	100	0.1188118811881188	0.9675967596759676
60000.0	2000	0.0001238508965	6.233047564679999e-05	5.311460678e-05	1.700131382625e-05	0.00018608610888999993	8	100	0.0891089108910891	0.9675967596759676
70000.0	2000	0.0001443279887	7.22634307988e-05	6.429286151e-05	1.60665891655e-05	0.00016870578532499994	8	100	0.0891089108910891	0.9675967596759676
80000.0	2000	8.789282062e-05	7.18523113945e-05	6.855720566e-05	1.9871768992e-05	0.00014716183316749995	30	100	0.3069306930693069	0.9675967596759676
90000.0	2000	0.0001021800245	7.20493042943e-05	5.7456045075e-05	2.120311544275e-05	0.00017404776376249984	22	100	0.22772277227722773	0.9675967596759676
100000.0	2000	9.634666555e-05	6.92599034463e-05	5.9530675920000005e-05	2.241773157775e-05	0.0001854536343524999	24	100	0.24752475247524752	0.9675967596759676
110000.0	2000	4.302360295e-05	7.210408702390002e-05	5.979986525e-05	2.3356462993e-05	0.00016875500478249998	69	100	0.693069306930693	0.9775948892248583
120000.0	2000	1.584690171e-05	7.10054001815e-05	6.0604080365000005e-05	1.772854277925e-05	0.00016145417168999995	98	100	0.9801980198019802	0.9900990099009901
130000.0	2000	2.516953556e-05	7.34410524349e-05	6.2355826505e-05	2.047582028975e-05	0.00016632038735999997	93	100	0.9306930693069307	0.9848603908009849
140000.0	2000	2.873086818e-05	7.12303938327e-05	6.059066183e-05	1.738020335975e-05	0.00017650757547499988	85	100	0.8514851485148515	0.9775948892248583
150000.0	2000	3.658075196e-05	6.53888857536e-05	5.598315626e-05	2.055179529675e-05	0.00016285611064999997	76	100	0.7623762376237624	0.9775948892248583
160000.0	2000	2.687331868e-05	6.427653016209999e-05	5.1025558605000005e-05	1.6968947969999998e-05	0.00016925081688499993	87	100	0.8712871287128713	0.9789743019245745
170000.0	2000	3.523712542e-05	6.862864503459999e-05	5.79626281e-05	2.018904597825e-05	0.000170734977205	70	100	0.7029702970297029	0.9775948892248583
180000.0	2000	6.273764407e-05	6.721099585388e-05	6.0340870140000006e-05	1.5439372482250002e-05	0.00017549959295749988	47	100	0.4752475247524752	0.972151595824235
190000.0	2000	2.158759438e-05	7.09192939414e-05	5.5906915325e-05	1.52851825905e-05	0.0002188097509999998	93	100	0.9306930693069307	0.9848603908009849
200000.0	2000	3.623345282e-05	6.65290711783e-05	5.5106049475e-05	1.79523555885e-05	0.00017979402534499983	76	100	0.7623762376237624	0.9775948892248583
210000.0	2000	3.621924781e-05	6.80981444442e-05	5.96346658e-05	1.81805089485e-05	0.00015376041821749996	76	100	0.7623762376237624	0.9775948892248583
220000.0	2000	4.663082295e-05	6.913669965251999e-05	5.394922397e-05	1.7052073795e-05	0.00017249236634499994	61	100	0.6138613861386139	0.972151595824235
230000.0	2000	6.653885954e-05	6.832126962435001e-05	5.9043609875e-05	2.4106076003249998e-05	0.00018273479780499992	40	100	0.40594059405940597	0.9675967596759676
240000.0	2000	6.031913093e-05	6.1909448927e-05	5.041023685e-05	1.933608857825e-05	0.00016841225780999983	42	100	0.42574257425742573	0.9675967596759676
250000.0	2000	0.0001060931911	5.7531520020899994e-05	4.3737790769999996e-05	2.1397084868e-05	0.00015298886082499972	11	100	0.1188118811881188	0.9675967596759676
260000.0	2000	0.0001000819539	5.8530553233700005e-05	4.5517914610000005e-05	1.702250502375e-05	0.00015264310628999975	13	100	0.13861386138613863	0.9675967596759676
270000.0	2000	0.0002034175727	6.21705405487e-05	5.087417505e-05	1.9159801747e-05	0.00018130229030249997	2	100	0.0297029702970297	0.9581603321622484
280000.0	2000	0.0001758689885	6.816683678750001e-05	5.5005509065e-05	1.9460285982e-05	0.00018882432982249997	4	100	0.04950495049504951	0.9675967596759676
290000.0	2000	0.0003328770955	7.034851046419999e-05	5.898457688e-05	1.8839698013e-05	0.00017324481355749969	0	100	0.009900990099009901	0.9000900090009001
300000.0	2000	0.0001142912065	6.4276147242e-05	5.38118961e-05	2.332104015175e-05	0.00016887974043249988	9	100	0.09900990099009901	0.9675967596759676
310000.0	2000	0.000101566162	6.57997579132e-05	5.7606011029999997e-05	1.67554134185e-05	0.0001475595762625	14	100	0.1485148514851485	0.9675967596759676
320000.0	2000	0.0001530074304	7.07493887357e-05	6.13391757e-05	1.81547519015e-05	0.00018243774919999984	7	100	0.07920792079207921	0.9675967596759676
330000.0	2000	0.0001399558718	6.39727310412e-05	5.533712381e-05	1.7516676782e-05	0.00016700836340249997	8	100	0.0891089108910891	0.9675967596759676
340000.0	2000	0.0001069932562	7.29938692412e-05	5.6053316e-05	1.7120539433e-05	0.0001906198323799997	21	100	0.21782178217821782	0.9675967596759676
350000.0	2000	0.0002227252892	6.658151620181001e-05	5.71306388e-05	1.446268147075e-05	0.0001681105063599998	0	100	0.009900990099009901	0.9000900090009001
360000.0	2000	0.0002220200433	5.9841811681200014e-05	5.330021031e-05	2.0572804426e-05	0.00013999049725249997	0	100	0.009900990099009901	0.9000900090009001
370000.0	2000	0.0001213828408	6.393400250069999e-05	5.8647348285e-05	1.996496048475e-05	0.00013277785896749996	7	100	0.07920792079207921	0.9675967596759676
380000.0	2000	5.28137799e-05	6.88582535846e-05	6.456405661499999e-05	2.3023116914e-05	0.00013718316075749998	60	100	0.6039603960396039	0.972151595824235
390000.0	2000	8.208103441e-05	7.329128190310001e-05	6.08038994e-05	2.0268076162750002e-05	0.0001989419705125	31	100	0.31683168316831684	0.9675967596759676
400000.0	2000	2.547394246e-05	7.02558692893e-05	5.6932317585e-05	1.9155653644e-05	0.0001809245935825	96	100	0.9603960396039604	0.9890793404778171
410000.0	2000	2.74682116e-05	6.64069684262e-05	5.499547392e-05	2.026825700175e-05	0.00017730555078249998	88	100	0.8811881188118812	0.9825410021918222
420000.0	2000	3.54218098e-05	6.205090089780001e-05	5.299309387e-05	1.976909470325e-05	0.00016095469506499999	71	100	0.7128712871287128	0.9775948892248583
430000.0	2000	2.481695743e-05	6.140217142550001e-05	5.597428555e-05	1.87733770505e-05	0.00015686263206499986	92	100	0.9207920792079208	0.9827023257288375
440000.0	2000	3.2690899e-05	6.64031441137e-05	5.8390127575000004e-05	1.72025012925e-05	0.0001882683133475	80	100	0.801980198019802	0.9775948892248583
450000.0	2000	6.606552635e-05	6.29344337609e-05	5.2222450235e-05	2.0920820137500003e-05	0.00015543616152749982	34	100	0.3465346534653465	0.9675967596759676
460000.0	2000	6.705763212e-05	6.55693436628e-05	5.1394990325e-05	1.899663217225e-05	0.00020637903040999995	34	100	0.3465346534653465	0.9675967596759676
470000.0	2000	8.037385705e-05	7.014763626399999e-05	5.647015188e-05	2.5778063816e-05	0.00017160846688749998	34	100	0.3465346534653465	0.9675967596759676
480000.0	2000	8.740397838e-05	7.03947721677e-05	6.4131527005e-05	2.0185841931e-05	0.00014567240720749994	24	100	0.24752475247524752	0.9675967596759676
490000.0	2000	6.098805257e-05	7.32021439671e-05	6.307363064999999e-05	1.7695093994e-05	0.0001741885005074998	54	100	0.5445544554455446	0.972151595824235
500000.0	2000	0.0001264511931	7.13908227756e-05	6.2074442775e-05	1.689305318025e-05	0.0001982161006725	5	100	0.0594059405940594	0.9675967596759676
510000.0	2000	7.368529606e-05	6.85510148848e-05	5.4579773969999995e-05	1.76750477305e-05	0.00017916250203499982	31	100	0.31683168316831684	0.9675967596759676
520000.0	2000	0.0001191494355	7.00075316421e-05	6.100874209e-05	1.664238731375e-05	0.00017073115686499997	13	100	0.13861386138613863	0.9675967596759676
530000.0	2000	3.914761581e-05	6.615964256369999e-05	6.436637301e-05	1.883527599675e-05	0.00016170875660999993	73	100	0.7326732673267327	0.9775948892248583
540000.0	2000	2.83923664e-05	6.57672416274e-05	5.9245053675e-05	1.755925707975e-05	0.00014394430846499998	87	100	0.8712871287128713	0.9789743019245745
550000.0	2000	4.227595051e-05	6.841144150860002e-05	5.490252616e-05	1.87613658085e-05	0.00015520499980499998	70	100	0.7029702970297029	0.9775948892248583
560000.0	2000	5.97960003e-05	6.843481902476999e-05	5.7141515365e-05	1.715066911975e-05	0.0001602337930625	47	100	0.4752475247524752	0.972151595824235
570000.0	2000	5.166881579e-05	7.23428146194e-05	6.4089134225e-05	1.73079136205e-05	0.00016505530871	60	100	0.6039603960396039	0.972151595824235
580000.0	2000	4.541400641e-05	6.76976097304e-05	5.7116915545e-05	1.72906534805e-05	0.00018919216691999977	65	100	0.6534653465346535	0.9738678785911378
590000.0	2000	3.092820952e-05	6.31438019492e-05	5.133887786e-05	1.803790294875e-05	0.00017248929557499968	84	100	0.8415841584158416	0.9775948892248583
600000.0	2000	4.541932796e-05	6.24010965488e-05	5.2463372045e-05	1.86965266505e-05	0.0001284039562525	61	100	0.6138613861386139	0.972151595824235
610000.0	2000	5.88425256e-05	6.55441004614e-05	6.12491346e-05	2.464237608775e-05	0.00015312169980749997	53	100	0.5346534653465347	0.972151595824235
620000.0	2000	0.0001444416579	6.819700859207e-05	6.072100254e-05	1.922487268725e-05	0.00018650917732249999	5	100	0.0594059405940594	0.9675967596759676
630000.0	2000	0.0001223528535	7.07695905897e-05	5.7256376544999996e-05	1.92977834815e-05	0.00017520974861499997	12	100	0.12871287128712872	0.9675967596759676
640000.0	2000	6.657075528e-05	7.05320366979e-05	5.644425795e-05	2.261751540325e-05	0.00018579472441499972	39	100	0.39603960396039606	0.9675967596759676
650000.0	2000	7.958865613e-05	7.22884864574e-05	5.7324664855e-05	1.834316672575e-05	0.00022318409935499986	28	100	0.2871287128712871	0.9675967596759676
660000.0	2000	0.0001155665571	7.32814999755e-05	6.0544684215e-05	2.0746734298500003e-05	0.000211619674065	15	100	0.15841584158415842	0.9675967596759676
670000.0	2000	9.695690771e-05	7.13922463692e-05	6.384884719e-05	1.9829464811e-05	0.00017908702675749984	18	100	0.18811881188118812	0.9675967596759676
680000.0	2000	6.363440122e-05	6.42831803975e-05	5.3891387864999995e-05	1.8203225198e-05	0.00014279041480749993	42	100	0.42574257425742573	0.9675967596759676
690000.0	2000	8.04192347e-05	6.806605809099e-05	5.792957586e-05	1.552883557425e-05	0.00017300072707499958	29	100	0.297029702970297	0.9675967596759676
700000.0	2000	5.556936445e-05	6.440640246669999e-05	5.379217072e-05	1.70017777785e-05	0.00015238317764999998	48	100	0.48514851485148514	0.972151595824235
710000.0	2000	6.807849398e-05	6.65587253899e-05	5.712633016e-05	1.97771659205e-05	0.0001663107710025	39	100	0.39603960396039606	0.9675967596759676
720000.0	2000	6.064483888e-05	6.80949788642e-05	5.9978603495e-05	1.969559698875e-05	0.00015858542514249989	49	100	0.49504950495049505	0.972151595824235
730000.0	2000	9.541891297e-05	6.755169263050001e-05	6.0367851635e-05	2.132433458225e-05	0.00016323941692749996	20	100	0.2079207920792079	0.9675967596759676
740000.0	2000	9.070151669e-05	6.47915133836e-05	5.4044545085e-05	1.93573124445e-05	0.000161113544285	21	100	0.21782178217821782	0.9675967596759676
750000.0	2000	7.70456723e-05	6.58822185634e-05	5.429949858e-05	1.9320775908750002e-05	0.00015991076256749998	26	100	0.26732673267326734	0.9675967596759676
760000.0	2000	0.000121463873	6.376674909710001e-05	5.3433236505e-05	1.5319840299e-05	0.00015779399486249996	9	100	0.09900990099009901	0.9675967596759676
770000.0	2000	4.55586846e-05	6.411475460170002e-05	5.6283407104999996e-05	2.019461853675e-05	0.0001402297632825	65	100	0.6534653465346535	0.9738678785911378
780000.0	2000	3.606886427e-05	6.828162752160001e-05	5.477377891e-05	1.694823396625e-05	0.0001941855607949996	76	100	0.7623762376237624	0.9775948892248583
790000.0	2000	6.969780697e-05	6.92668364787e-05	5.756780346e-05	1.983015544675e-05	0.0001730398090649999	34	100	0.3465346534653465	0.9675967596759676
800000.0	2000	6.871454823e-05	6.96393089271e-05	5.993710859e-05	1.77008975625e-05	0.00020600318907499984	39	100	0.39603960396039606	0.9675967596759676
