# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	27
4	5
28	29
30	31
32	33
36	37
38	39
48	49
56	57
58	59
60	61
64	65
72	73
76	77
88	89
94	95
96	97
102	103
112	113
114	115
116	117
118	119
134	135
146	147
148	149
154	155
158	159
174	175
