# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	56
0	1
4	5
6	7
10	11
12	13
14	15
18	19
20	21
22	23
24	25
30	31
32	33
34	35
36	37
38	39
42	43
44	45
46	47
48	49
52	53
54	55
58	59
62	63
64	65
66	67
68	69
70	71
74	75
76	77
80	81
82	83
86	87
88	89
90	91
96	97
104	105
110	111
116	117
130	131
134	135
138	139
140	141
142	143
146	147
150	151
156	157
158	159
164	165
168	169
174	175
176	177
184	185
188	189
190	191
194	195
196	197
