# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	59
4	5
8	9
10	11
14	15
16	17
18	19
20	21
24	25
26	27
30	31
32	33
34	35
38	39
40	41
42	43
50	51
58	59
60	61
66	67
68	69
72	73
76	77
78	79
80	81
90	91
92	93
94	95
96	97
98	99
100	101
102	103
106	107
108	109
110	111
114	115
116	117
118	119
120	121
122	123
128	129
136	137
144	145
146	147
148	149
150	151
152	153
154	155
158	159
162	163
164	165
166	167
168	169
170	171
178	179
180	181
182	183
184	185
192	193
194	195
