position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	3.324099113e-05	5.216220249459999e-05	5.039285153e-05	1.5211372976e-05	0.000103522265065	70	100	0.7029702970297029	0.988260385927172
1000.0	2000	2.615908033e-05	4.80134492808e-05	4.5075757214999997e-05	1.1765807725e-05	0.00010273776760774995	78	100	0.7821782178217822	0.988260385927172
2000.0	2000	2.349679817e-05	4.8392030455199994e-05	4.232199757e-05	1.139943514375e-05	0.00010635760343499994	84	100	0.8415841584158416	0.988260385927172
3000.0	2000	2.358896279e-05	5.0943421568400004e-05	4.4558750045e-05	1.373056688e-05	0.0001164440079749999	83	100	0.8316831683168316	0.988260385927172
4000.0	2000	2.538907604e-05	5.3190093482799996e-05	4.81153211e-05	1.304406771225e-05	0.00012767395299999996	80	100	0.801980198019802	0.988260385927172
5000.0	2000	2.862673831e-05	5.5105197326799996e-05	4.7836062970000004e-05	1.14225780295e-05	0.00014491557031749992	77	100	0.7722772277227723	0.988260385927172
6000.0	2000	3.932516529e-05	5.6264160211579994e-05	4.965535099e-05	1.064454850025e-05	0.00015341533029249996	64	100	0.6435643564356436	0.988260385927172
7000.0	2000	4.276760443e-05	5.820878857340999e-05	5.2295413745e-05	1.0529742422475001e-05	0.0001557198472524999	56	100	0.5643564356435643	0.988260385927172
8000.0	2000	3.858799444e-05	5.8726283504779995e-05	4.9952235575000003e-05	1.2135555968249999e-05	0.0001565055793475	64	100	0.6435643564356436	0.988260385927172
9000.0	2000	2.745701624e-05	6.016468271441e-05	5.2613930995e-05	1.0195287555725e-05	0.00014856259022249995	82	100	0.8217821782178217	0.988260385927172
10000.0	2000	2.935485761e-05	6.0643072480799996e-05	5.286482141e-05	1.181185375e-05	0.00014647162249999997	77	100	0.7722772277227723	0.988260385927172
11000.0	2000	3.687888806e-05	6.036402079318e-05	4.961761422e-05	1.09195615985e-05	0.00015167868771499992	67	100	0.6732673267326733	0.988260385927172
12000.0	2000	3.403034823e-05	6.087366837519002e-05	5.383200081e-05	1.0866996193e-05	0.00015775258714499993	72	100	0.7227722772277227	0.988260385927172
13000.0	2000	2.573532598e-05	6.270740899319999e-05	5.503876954e-05	1.3359115015750002e-05	0.0001453983965324998	83	100	0.8316831683168316	0.988260385927172
14000.0	2000	2.227578349e-05	6.59721546515e-05	6.0507096394999996e-05	1.3600112927e-05	0.0001543354166374999	90	100	0.900990099009901	0.9891207586012745
15000.0	2000	3.070993363e-05	6.80137652203e-05	5.9176141225e-05	1.39574708425e-05	0.00015729384320249993	81	100	0.8118811881188119	0.988260385927172
16000.0	2000	3.042953126e-05	7.011889583979e-05	6.220650246e-05	1.232458657625e-05	0.0001659489287099999	78	100	0.7821782178217822	0.988260385927172
17000.0	2000	3.010192855e-05	6.95343268205e-05	5.9620879324999996e-05	1.528723069375e-05	0.000173726002405	82	100	0.8217821782178217	0.988260385927172
18000.0	2000	3.083169381e-05	6.879723146840001e-05	5.820776806e-05	1.350376506825e-05	0.00017400192403249992	81	100	0.8118811881188119	0.988260385927172
19000.0	2000	2.578285337e-05	6.691396279009e-05	5.544667486e-05	1.36821048575e-05	0.00017723290058249995	85	100	0.8514851485148515	0.988260385927172
20000.0	2000	3.364227505e-05	6.64674226395e-05	5.236963028e-05	1.24583794005e-05	0.0001744039229574999	71	100	0.7128712871287128	0.988260385927172
21000.0	2000	4.693369067e-05	6.626109445742999e-05	5.0866570065e-05	1.60836425395e-05	0.00016966229710249972	55	100	0.5544554455445545	0.988260385927172
22000.0	2000	5.222652786e-05	6.473628833680002e-05	5.135165278e-05	1.5918317047249998e-05	0.00016411782044499967	49	100	0.49504950495049505	0.988260385927172
23000.0	2000	4.696011992e-05	6.4436965962e-05	5.2229499875e-05	1.63510676355e-05	0.00016787275525999998	59	100	0.594059405940594	0.988260385927172
24000.0	2000	5.290459295e-05	6.322479916651999e-05	5.020329307e-05	1.36506025775e-05	0.00017960446403499986	44	100	0.44554455445544555	0.988260385927172
25000.0	2000	4.994779469e-05	6.199325283031e-05	4.809810129e-05	1.477225195125e-05	0.00019272108004	47	100	0.4752475247524752	0.988260385927172
26000.0	2000	4.910329604e-05	6.0702739840239984e-05	4.5241023055e-05	1.55944088145e-05	0.00018058978765749998	45	100	0.45544554455445546	0.988260385927172
27000.0	2000	3.97626696e-05	6.019453820707999e-05	4.8671692525e-05	1.5360002656750002e-05	0.00016861532559499977	62	100	0.6237623762376238	0.988260385927172
28000.0	2000	3.540674451e-05	6.029536746639999e-05	4.9148807065000006e-05	1.67585943735e-05	0.00015631131418249994	69	100	0.693069306930693	0.988260385927172
29000.0	2000	5.596295077e-05	6.00560851002e-05	4.6780939615e-05	1.56140761015e-05	0.00015908922304999992	41	100	0.4158415841584158	0.988260385927172
30000.0	2000	7.912973196e-05	5.8956904656740005e-05	4.6516656424999995e-05	1.38380476525e-05	0.00015072439407749967	21	100	0.21782178217821782	0.9829502805876256
