arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	15000.0	0.01	0.02339975	0.209875	0.904288696391295
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	20000.0	0.02	0.045883375000000004	0.11776249999999999	0.9382132723340958
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	30000.0	0.07	0.10039962499999999	0.21540625	0.8303146210672366
recent 5 kya, s=0.05	recent5k_s0p05	4	0.0	50000.0	0.12	0.203113625	0.1013375	0.9166135423307209
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	2000.0	0.0	0.000993375	0.45258125	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	3000.0	0.0	0.001476625	0.43190625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	5000.0	0.0	0.002681	0.38610625	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	7500.0	0.0	0.004046	0.3381	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
recent 5 kya, s=0.05	recent5k_s0p05	5	0.0	15000.0	0.01	0.02339975	0.209875	0.904288696391295
