position_0based	origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_statistic	auc_vs_neutral
620000.0	introgressed	0.002	unconditional	20000.0	80	0.04399999999999998	0.45690976562500046
630000.0	introgressed	0.002	unconditional	20000.0	80	0.043499999999999976	0.4667528906250002
640000.0	introgressed	0.002	unconditional	20000.0	80	0.04274999999999997	0.4553899218750003
650000.0	introgressed	0.002	unconditional	20000.0	80	0.04087499999999998	0.4370442187500004
660000.0	introgressed	0.002	unconditional	20000.0	80	0.04174999999999998	0.4456627343750001
670000.0	introgressed	0.002	unconditional	20000.0	80	0.042749999999999996	0.46379320312499983
680000.0	introgressed	0.002	unconditional	20000.0	80	0.04424999999999998	0.47903703125000013
690000.0	introgressed	0.002	unconditional	20000.0	80	0.046624999999999986	0.5116283593749998
700000.0	introgressed	0.002	unconditional	20000.0	80	0.04662499999999999	0.5158372656250001
710000.0	introgressed	0.002	unconditional	20000.0	80	0.046999999999999965	0.5143921875000004
720000.0	introgressed	0.002	unconditional	20000.0	80	0.048499999999999974	0.53202953125
730000.0	introgressed	0.002	unconditional	20000.0	80	0.05037499999999996	0.5529823437499999
740000.0	introgressed	0.002	unconditional	20000.0	80	0.04999999999999996	0.5490685937499998
750000.0	introgressed	0.002	unconditional	20000.0	80	0.04937499999999996	0.538313515625
760000.0	introgressed	0.002	unconditional	20000.0	80	0.04787499999999999	0.5228280468750001
770000.0	introgressed	0.002	unconditional	20000.0	80	0.04662499999999998	0.5100528125
780000.0	introgressed	0.002	unconditional	20000.0	80	0.04912499999999997	0.5387521093750001
790000.0	introgressed	0.002	unconditional	20000.0	80	0.04712499999999998	0.5236734375000001
800000.0	introgressed	0.002	unconditional	20000.0	80	0.046874999999999986	0.5137915625
810000.0	introgressed	0.002	unconditional	20000.0	80	0.04762499999999999	0.5181832031250001
820000.0	introgressed	0.002	unconditional	20000.0	80	0.047499999999999994	0.5184250781249999
830000.0	introgressed	0.002	unconditional	20000.0	80	0.04762499999999999	0.5168257812499999
840000.0	introgressed	0.002	unconditional	20000.0	80	0.046999999999999986	0.5147446093749999
850000.0	introgressed	0.002	unconditional	20000.0	80	0.046	0.5037357031249999
860000.0	introgressed	0.002	unconditional	20000.0	80	0.04362499999999998	0.47364421875000023
870000.0	introgressed	0.002	unconditional	20000.0	80	0.045124999999999985	0.4973702343750002
880000.0	introgressed	0.002	unconditional	20000.0	80	0.044125000000000004	0.4831154687500002
890000.0	introgressed	0.002	unconditional	20000.0	80	0.045250000000000005	0.5013320312499998
900000.0	introgressed	0.002	unconditional	20000.0	80	0.045249999999999985	0.5016990625000002
910000.0	introgressed	0.002	unconditional	20000.0	80	0.04499999999999997	0.4921346875
920000.0	introgressed	0.002	unconditional	20000.0	80	0.045124999999999985	0.49481414062499984
930000.0	introgressed	0.002	unconditional	20000.0	80	0.04574999999999999	0.5027283593749998
940000.0	introgressed	0.002	unconditional	20000.0	80	0.04549999999999997	0.5007641406250002
950000.0	introgressed	0.002	unconditional	20000.0	80	0.04424999999999998	0.4729823437500003
960000.0	introgressed	0.002	unconditional	20000.0	80	0.04487499999999999	0.48913906250000033
970000.0	introgressed	0.002	unconditional	20000.0	80	0.045875	0.4904522656250001
980000.0	introgressed	0.002	unconditional	20000.0	80	0.04499999999999998	0.4868255468750001
990000.0	introgressed	0.002	unconditional	20000.0	80	0.046874999999999986	0.5066021875000001
1000000.0	introgressed	0.002	unconditional	20000.0	80	0.04687499999999999	0.5074792968750004
1010000.0	introgressed	0.002	unconditional	20000.0	80	0.04437499999999999	0.4842631250000002
1020000.0	introgressed	0.002	unconditional	20000.0	80	0.046624999999999986	0.5130685156250001
1030000.0	introgressed	0.002	unconditional	20000.0	80	0.046375	0.5063190625
1040000.0	introgressed	0.002	unconditional	20000.0	80	0.04724999999999999	0.517606796875
1050000.0	introgressed	0.002	unconditional	20000.0	80	0.04649999999999998	0.5070528906250001
1060000.0	introgressed	0.002	unconditional	20000.0	80	0.044999999999999984	0.4797956250000003
1070000.0	introgressed	0.002	unconditional	20000.0	80	0.045374999999999985	0.4775895312500003
1080000.0	introgressed	0.002	unconditional	20000.0	80	0.04349999999999999	0.46811156249999997
1090000.0	introgressed	0.002	unconditional	20000.0	80	0.04312499999999999	0.47001773437500016
1100000.0	introgressed	0.002	unconditional	20000.0	80	0.04474999999999998	0.48369007812500026
1110000.0	introgressed	0.002	unconditional	20000.0	80	0.04649999999999998	0.502548203125
1120000.0	introgressed	0.002	unconditional	20000.0	80	0.044749999999999984	0.48281515625000004
1130000.0	introgressed	0.002	unconditional	20000.0	80	0.04687499999999998	0.5134450781250004
1140000.0	introgressed	0.002	unconditional	20000.0	80	0.04737499999999997	0.521426796875
1150000.0	introgressed	0.002	unconditional	20000.0	80	0.04799999999999999	0.533886796875
1160000.0	introgressed	0.002	unconditional	20000.0	80	0.04762499999999999	0.5244038281250001
1170000.0	introgressed	0.002	unconditional	20000.0	80	0.04749999999999998	0.5144712500000003
1180000.0	introgressed	0.002	unconditional	20000.0	80	0.046999999999999986	0.506039453125
1190000.0	introgressed	0.002	unconditional	20000.0	80	0.047124999999999966	0.5074315625000001
1200000.0	introgressed	0.002	unconditional	20000.0	80	0.04825	0.5192350781250001
1210000.0	introgressed	0.002	unconditional	20000.0	80	0.048749999999999995	0.5224006250000002
1220000.0	introgressed	0.002	unconditional	20000.0	80	0.04762499999999998	0.5235008593749999
1230000.0	introgressed	0.002	unconditional	20000.0	80	0.04862499999999996	0.5315735156250002
1240000.0	introgressed	0.002	unconditional	20000.0	80	0.050249999999999975	0.5404189062500002
1250000.0	introgressed	0.002	unconditional	20000.0	80	0.04949999999999999	0.5388411718749999
1260000.0	introgressed	0.002	unconditional	20000.0	80	0.04937499999999996	0.5355937500000001
1270000.0	introgressed	0.002	unconditional	20000.0	80	0.047874999999999966	0.5198974218749999
1280000.0	introgressed	0.002	unconditional	20000.0	80	0.046749999999999965	0.5115344531250001
1290000.0	introgressed	0.002	unconditional	20000.0	80	0.04774999999999997	0.523496171875
1300000.0	introgressed	0.002	unconditional	20000.0	80	0.047375	0.5245797656249999
1310000.0	introgressed	0.002	unconditional	20000.0	80	0.048124999999999966	0.5355289062499999
