origin	arm_id	selection_coefficient	replicate_index	sample_af	hom_carrier_diploids	genotype_class	n_pairs	threshold_years	statistic	null_mean	p_value	percentile
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	unconditional	100	40000.0	0.17	0.15611	0.380595242559468	0.65143125
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	unconditional	100	50000.0	0.37	0.203113625	0.032887088911388605	0.96965625
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	unconditional	100	100000.0	0.37	0.34436500000000003	0.3533830827114661	0.66040625
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	1000.0	0.0	0.00033409090909090915	1.0	0.49265
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	4500.0	0.0	0.0024244318181818186	1.0	0.45029375
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	10000.0	0.022727272727272728	0.007357386363636365	0.27559655504306196	0.8407125
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	20000.0	0.11363636363636363	0.045821875	0.05454931813352333	0.96395625
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	30000.0	0.11363636363636363	0.10026363636363636	0.4410694866314171	0.6378625
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	40000.0	0.36363636363636365	0.1561494318181818	0.010974862814214822	0.99085
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	50000.0	0.7954545454545454	0.20312244318181819	6.24992187597655e-05	0.99996875
introgressed	eas_introgressed_s0p002	0.002	5	0.68	44	hom_carrier	44	100000.0	0.7954545454545454	0.34455142045454545	0.01112486093923826	0.98999375
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	10000.0	0.02	0.007332625000000001	0.16704791190110124	0.8952187500000001
introgressed	eas_introgressed_s0p002	0.002	6	0.32	13	unconditional	100	20000.0	0.05	0.045883375000000004	0.48129398382520217	0.60215
