origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_sample_af	mean_statistic	mean_null	auc	power	median_p
de_novo	0.02	unconditional	30000.0	20	1.0	0.0915	0.10039962499999999	0.4499103125	0.0	0.51865601679979
de_novo	0.02	unconditional	40000.0	20	1.0	0.2045	0.15611	0.59852375	0.15	0.3485768927888402
de_novo	0.02	unconditional	50000.0	20	1.0	0.46900000000000003	0.203113625	0.819575	0.55	0.008887388907638655
de_novo	0.02	unconditional	100000.0	20	1.0	1.0	0.34436500000000003	0.9996124999999999	1.0	0.0007874901563730453
de_novo	0.05	hom_carrier	1000.0	20	1.0	0.0	0.00034862500000000003	0.48256875	0.0	1.0
de_novo	0.05	hom_carrier	4500.0	20	1.0	0.003	0.00241125	0.522933125	0.05	1.0
de_novo	0.05	hom_carrier	10000.0	20	1.0	0.007000000000000001	0.007332625000000001	0.49038343749999996	0.05	0.7572342845714428
de_novo	0.05	hom_carrier	20000.0	20	1.0	0.0445	0.045883375000000004	0.47414093749999997	0.05	0.7435282058974263
de_novo	0.05	hom_carrier	30000.0	20	1.0	0.094	0.10039962499999999	0.45302718749999993	0.05	0.6320420994737566
de_novo	0.05	hom_carrier	40000.0	20	1.0	0.159	0.15611	0.502439375	0.1	0.48965637929525885
de_novo	0.05	hom_carrier	50000.0	20	1.0	0.22000000000000003	0.203113625	0.5456496875	0.15	0.45239434507068665
de_novo	0.05	hom_carrier	100000.0	20	1.0	1.0	0.34436500000000003	0.9996124999999999	1.0	0.0007874901563730453
de_novo	0.05	unconditional	1000.0	20	1.0	0.0	0.00034862500000000003	0.48256875	0.0	1.0
de_novo	0.05	unconditional	4500.0	20	1.0	0.003	0.00241125	0.522933125	0.05	1.0
de_novo	0.05	unconditional	10000.0	20	1.0	0.007000000000000001	0.007332625000000001	0.49038343749999996	0.05	0.7572342845714428
de_novo	0.05	unconditional	20000.0	20	1.0	0.0445	0.045883375000000004	0.47414093749999997	0.05	0.7435282058974263
