position_0based	arm	threshold_years	genotype_class	method	n_replicates	mean_statistic
1010000.0	neutral	1000.0	overall	truth	100	0.00044900000000000007
1020000.0	neutral	1000.0	overall	truth	100	0.00044500000000000014
1030000.0	neutral	1000.0	overall	truth	100	0.00044300000000000003
1040000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1050000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1060000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1070000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1080000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1090000.0	neutral	1000.0	overall	truth	100	0.000447
1100000.0	neutral	1000.0	overall	truth	100	0.00045300000000000006
1110000.0	neutral	1000.0	overall	truth	100	0.00045200000000000004
1120000.0	neutral	1000.0	overall	truth	100	0.000453
1130000.0	neutral	1000.0	overall	truth	100	0.00045000000000000004
1140000.0	neutral	1000.0	overall	truth	100	0.000449
1150000.0	neutral	1000.0	overall	truth	100	0.000452
1160000.0	neutral	1000.0	overall	truth	100	0.00045200000000000004
1170000.0	neutral	1000.0	overall	truth	100	0.000451
1180000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1190000.0	neutral	1000.0	overall	truth	100	0.00044700000000000013
1200000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1210000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1220000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1230000.0	neutral	1000.0	overall	truth	100	0.00044500000000000014
1240000.0	neutral	1000.0	overall	truth	100	0.00044600000000000005
1250000.0	neutral	1000.0	overall	truth	100	0.00044900000000000007
1260000.0	neutral	1000.0	overall	truth	100	0.0004440000000000001
1270000.0	neutral	1000.0	overall	truth	100	0.00044300000000000003
1280000.0	neutral	1000.0	overall	truth	100	0.000443
1290000.0	neutral	1000.0	overall	truth	100	0.00044199999999999996
1300000.0	neutral	1000.0	overall	truth	100	0.000445
1310000.0	neutral	1000.0	overall	truth	100	0.00044500000000000003
1320000.0	neutral	1000.0	overall	truth	100	0.0004410000000000001
1330000.0	neutral	1000.0	overall	truth	100	0.0004400000000000001
1340000.0	neutral	1000.0	overall	truth	100	0.0004370000000000001
1350000.0	neutral	1000.0	overall	truth	100	0.0004370000000000001
1360000.0	neutral	1000.0	overall	truth	100	0.0004330000000000001
1370000.0	neutral	1000.0	overall	truth	100	0.00043500000000000017
1380000.0	neutral	1000.0	overall	truth	100	0.00043500000000000017
1390000.0	neutral	1000.0	overall	truth	100	0.00043500000000000017
1400000.0	neutral	1000.0	overall	truth	100	0.0004340000000000002
1410000.0	neutral	1000.0	overall	truth	100	0.0004350000000000003
1420000.0	neutral	1000.0	overall	truth	100	0.00043500000000000017
1430000.0	neutral	1000.0	overall	truth	100	0.0004360000000000002
1440000.0	neutral	1000.0	overall	truth	100	0.0004380000000000002
1450000.0	neutral	1000.0	overall	truth	100	0.0004390000000000002
1460000.0	neutral	1000.0	overall	truth	100	0.0004370000000000002
1470000.0	neutral	1000.0	overall	truth	100	0.00044000000000000034
1480000.0	neutral	1000.0	overall	truth	100	0.00043800000000000035
1490000.0	neutral	1000.0	overall	truth	100	0.00043500000000000033
1500000.0	neutral	1000.0	overall	truth	100	0.0004340000000000003
1510000.0	neutral	1000.0	overall	truth	100	0.0004320000000000003
1520000.0	neutral	1000.0	overall	truth	100	0.00043100000000000034
1530000.0	neutral	1000.0	overall	truth	100	0.00043000000000000037
1540000.0	neutral	1000.0	overall	truth	100	0.0004320000000000003
1550000.0	neutral	1000.0	overall	truth	100	0.00043300000000000033
1560000.0	neutral	1000.0	overall	truth	100	0.0004310000000000003
1570000.0	neutral	1000.0	overall	truth	100	0.00043000000000000026
1580000.0	neutral	1000.0	overall	truth	100	0.00043000000000000026
1590000.0	neutral	1000.0	overall	truth	100	0.0004310000000000002
1600000.0	neutral	1000.0	overall	truth	100	0.0004310000000000002
1610000.0	neutral	1000.0	overall	truth	100	0.00043300000000000017
1620000.0	neutral	1000.0	overall	truth	100	0.0004340000000000002
1630000.0	neutral	1000.0	overall	truth	100	0.0004340000000000003
1640000.0	neutral	1000.0	overall	truth	100	0.0004340000000000003
1650000.0	neutral	1000.0	overall	truth	100	0.0004360000000000003
1660000.0	neutral	1000.0	overall	truth	100	0.0004390000000000002
1670000.0	neutral	1000.0	overall	truth	100	0.00044100000000000015
1680000.0	neutral	1000.0	overall	truth	100	0.0004420000000000001
1690000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1700000.0	neutral	1000.0	overall	truth	100	0.00044600000000000016
1710000.0	neutral	1000.0	overall	truth	100	0.00044400000000000017
1720000.0	neutral	1000.0	overall	truth	100	0.00044500000000000014
1730000.0	neutral	1000.0	overall	truth	100	0.0004470000000000002
1740000.0	neutral	1000.0	overall	truth	100	0.0004460000000000002
1750000.0	neutral	1000.0	overall	truth	100	0.00044700000000000024
1760000.0	neutral	1000.0	overall	truth	100	0.0004480000000000002
1770000.0	neutral	1000.0	overall	truth	100	0.0004450000000000003
1780000.0	neutral	1000.0	overall	truth	100	0.0004440000000000004
1790000.0	neutral	1000.0	overall	truth	100	0.0004460000000000004
1800000.0	neutral	1000.0	overall	truth	100	0.0004470000000000004
1810000.0	neutral	1000.0	overall	truth	100	0.0004470000000000003
1820000.0	neutral	1000.0	overall	truth	100	0.0004490000000000004
1830000.0	neutral	1000.0	overall	truth	100	0.0004460000000000004
1840000.0	neutral	1000.0	overall	truth	100	0.00044500000000000025
1850000.0	neutral	1000.0	overall	truth	100	0.0004440000000000002
1860000.0	neutral	1000.0	overall	truth	100	0.00044600000000000027
1870000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
1880000.0	neutral	1000.0	overall	truth	100	0.00044900000000000023
1890000.0	neutral	1000.0	overall	truth	100	0.0004490000000000003
1900000.0	neutral	1000.0	overall	truth	100	0.0004490000000000003
1910000.0	neutral	1000.0	overall	truth	100	0.0004470000000000003
1920000.0	neutral	1000.0	overall	truth	100	0.0004470000000000003
1930000.0	neutral	1000.0	overall	truth	100	0.00044600000000000027
1940000.0	neutral	1000.0	overall	truth	100	0.0004500000000000002
1950000.0	neutral	1000.0	overall	truth	100	0.00045000000000000026
1960000.0	neutral	1000.0	overall	truth	100	0.00045200000000000025
1970000.0	neutral	1000.0	overall	truth	100	0.0004550000000000002
1980000.0	neutral	1000.0	overall	truth	100	0.00045600000000000024
1990000.0	neutral	1000.0	overall	truth	100	0.00045500000000000027
2000000.0	neutral	1000.0	overall	truth	100	0.00045600000000000035
2010000.0	neutral	1000.0	overall	truth	100	0.00045400000000000036
2020000.0	neutral	1000.0	overall	truth	100	0.0004540000000000003
2030000.0	neutral	1000.0	overall	truth	100	0.00045300000000000033
