arm	replicate_index	sample_af	method	threshold_years	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
recent_denovo	17	0.5	truth	1000.0	0.0004	0.0004700000000000001	69	0.693069306930693	False
recent_denovo	17	0.5	truth	5000.0	0.2451	0.0026969999999999993	0	0.009900990099009901	True
recent_denovo	17	0.5	truth	10000.0	0.2516	0.007489000000000001	0	0.009900990099009901	True
recent_denovo	17	0.5	truth	20000.0	0.2795	0.045559	0	0.009900990099009901	True
recent_denovo	17	0.5	truth	30000.0	0.3613	0.101847	0	0.009900990099009901	True
recent_denovo	17	0.5	truth	40000.0	0.3665	0.16109500000000002	1	0.019801980198019802	True
recent_denovo	17	0.5	truth	50000.0	0.3665	0.21340399999999998	4	0.04950495049504951	False
recent_denovo	17	0.5	decode	1000.0	0.0027	0.000578	0	0.009900990099009901	True
recent_denovo	17	0.5	decode	5000.0	0.1774	0.004886000000000001	0	0.009900990099009901	True
recent_denovo	17	0.5	decode	10000.0	0.2498	0.022060999999999997	0	0.009900990099009901	True
recent_denovo	17	0.5	decode	20000.0	0.2783	0.07708699999999999	0	0.009900990099009901	True
recent_denovo	17	0.5	decode	30000.0	0.3004	0.131466	3	0.039603960396039604	False
recent_denovo	17	0.5	decode	40000.0	0.3121	0.178043	8	0.0891089108910891	False
recent_denovo	17	0.5	decode	50000.0	0.3245	0.218271	13	0.13861386138613863	False
postintro_denovo	11	0.28	truth	1000.0	0.0003	0.0004700000000000001	86	0.8613861386138614	False
postintro_denovo	11	0.28	truth	5000.0	0.0024	0.0026969999999999993	68	0.6831683168316832	False
postintro_denovo	11	0.28	truth	10000.0	0.0078	0.007489000000000001	38	0.38613861386138615	False
postintro_denovo	11	0.28	truth	20000.0	0.0483	0.045559	31	0.31683168316831684	False
postintro_denovo	11	0.28	truth	30000.0	0.118	0.101847	24	0.24752475247524752	False
postintro_denovo	11	0.28	truth	40000.0	0.1461	0.16109500000000002	54	0.5445544554455446	False
postintro_denovo	11	0.28	truth	50000.0	0.1907	0.21340399999999998	53	0.5346534653465347	False
postintro_denovo	11	0.28	decode	1000.0	0.0002	0.000578	100	1.0	False
postintro_denovo	11	0.28	decode	5000.0	0.0032	0.004886000000000001	97	0.9702970297029703	False
postintro_denovo	11	0.28	decode	10000.0	0.0203	0.022060999999999997	56	0.5643564356435643	False
postintro_denovo	11	0.28	decode	20000.0	0.0751	0.07708699999999999	37	0.37623762376237624	False
postintro_denovo	11	0.28	decode	30000.0	0.1096	0.131466	56	0.5643564356435643	False
postintro_denovo	11	0.28	decode	40000.0	0.1468	0.178043	55	0.5544554455445545	False
postintro_denovo	11	0.28	decode	50000.0	0.1741	0.218271	56	0.5643564356435643	False
introgressed_pulse	38	0.365	truth	1000.0	0.0004	0.0004700000000000001	69	0.693069306930693	False
introgressed_pulse	38	0.365	truth	5000.0	0.0036	0.0026969999999999993	9	0.09900990099009901	False
introgressed_pulse	38	0.365	truth	10000.0	0.0097	0.007489000000000001	4	0.04950495049504951	False
introgressed_pulse	38	0.365	truth	20000.0	0.0404	0.045559	72	0.7227722772277227	False
introgressed_pulse	38	0.365	truth	30000.0	0.0987	0.101847	43	0.43564356435643564	False
introgressed_pulse	38	0.365	truth	40000.0	0.1133	0.16109500000000002	88	0.8811881188118812	False
introgressed_pulse	38	0.365	truth	50000.0	0.1905	0.21340399999999998	54	0.5445544554455446	False
introgressed_pulse	38	0.365	decode	1000.0	0.0006	0.000578	53	0.5346534653465347	False
introgressed_pulse	38	0.365	decode	5000.0	0.0068	0.004886000000000001	7	0.07920792079207921	False
introgressed_pulse	38	0.365	decode	10000.0	0.0201	0.022060999999999997	57	0.5742574257425742	False
introgressed_pulse	38	0.365	decode	20000.0	0.0556	0.07708699999999999	84	0.8415841584158416	False
introgressed_pulse	38	0.365	decode	30000.0	0.0814	0.131466	93	0.9306930693069307	False
introgressed_pulse	38	0.365	decode	40000.0	0.1083	0.178043	93	0.9306930693069307	False
introgressed_pulse	38	0.365	decode	50000.0	0.1314	0.218271	92	0.9207920792079208	False
introgressed_pulse_weak	13	0.19	truth	1000.0	0.0005	0.0004700000000000001	48	0.48514851485148514	False
introgressed_pulse_weak	13	0.19	truth	5000.0	0.0033	0.0026969999999999993	17	0.1782178217821782	False
introgressed_pulse_weak	13	0.19	truth	10000.0	0.0081	0.007489000000000001	34	0.3465346534653465	False
introgressed_pulse_weak	13	0.19	truth	20000.0	0.044	0.045559	50	0.504950495049505	False
introgressed_pulse_weak	13	0.19	truth	30000.0	0.1208	0.101847	18	0.18811881188118812	False
introgressed_pulse_weak	13	0.19	truth	40000.0	0.1246	0.16109500000000002	77	0.7722772277227723	False
introgressed_pulse_weak	13	0.19	truth	50000.0	0.1722	0.21340399999999998	68	0.6831683168316832	False
introgressed_pulse_weak	13	0.19	decode	1000.0	0.0006	0.000578	53	0.5346534653465347	False
introgressed_pulse_weak	13	0.19	decode	5000.0	0.0065	0.004886000000000001	10	0.10891089108910891	False
introgressed_pulse_weak	13	0.19	decode	10000.0	0.0176	0.022060999999999997	76	0.7623762376237624	False
introgressed_pulse_weak	13	0.19	decode	20000.0	0.0645	0.07708699999999999	57	0.5742574257425742	False
introgressed_pulse_weak	13	0.19	decode	30000.0	0.1105	0.131466	55	0.5544554455445545	False
introgressed_pulse_weak	13	0.19	decode	40000.0	0.1349	0.178043	63	0.6336633663366337	False
introgressed_pulse_weak	13	0.19	decode	50000.0	0.1608	0.218271	66	0.6633663366336634	False
