onset_years,source,pair_class,position_0based,mean_tmrca_years,mean_tmrca_years_n_regions,mean_tmrca_years_lower95,mean_tmrca_years_upper95,frac_recent_5000,frac_recent_5000_n_regions,frac_recent_5000_lower95,frac_recent_5000_upper95,frac_recent_10000,frac_recent_10000_n_regions,frac_recent_10000_lower95,frac_recent_10000_upper95,frac_recent_20000,frac_recent_20000_n_regions,frac_recent_20000_lower95,frac_recent_20000_upper95,frac_recent_30000,frac_recent_30000_n_regions,frac_recent_30000_lower95,frac_recent_30000_upper95,frac_recent_40000,frac_recent_40000_n_regions,frac_recent_40000_lower95,frac_recent_40000_upper95,frac_recent_50000,frac_recent_50000_n_regions,frac_recent_50000_lower95,frac_recent_50000_upper95
10000,truth,ref/ref,8130000,473089.102,100,414416.945,531761.258,0.00265883801,100,0.00252259356,0.00279508245,0.00766154972,100,0.00740480135,0.0079182981,0.0465462569,100,0.0447086719,0.048383842,0.102739755,100,0.0974870587,0.107992452,0.162796674,100,0.151729919,0.17386343,0.215924548,100,0.199522419,0.232326678
10000,truth,ref/ref,8140000,463359.353,100,406868.577,519850.129,0.00266571412,100,0.00252628022,0.00280514802,0.0076342239,100,0.00738820949,0.00788023831,0.0462938132,100,0.0446432938,0.0479443325,0.102157086,100,0.0970715711,0.1072426,0.157922542,100,0.148606392,0.167238691,0.210867204,100,0.194172782,0.227561626
10000,truth,ref/ref,8150000,537773.176,100,465991.713,609554.64,0.00267813003,100,0.00253849773,0.00281776234,0.00763403453,100,0.00739814685,0.00786992222,0.0458976242,100,0.0442271625,0.0475680858,0.101216311,100,0.096290631,0.10614199,0.155582403,100,0.146245465,0.164919342,0.209109727,100,0.191909406,0.226310047
10000,truth,ref/ref,8160000,512491.549,100,449706.467,575276.632,0.00269441896,100,0.00255602322,0.0028328147,0.0076772117,100,0.00743554867,0.00791887472,0.0458344365,100,0.0441806038,0.0474882692,0.101200129,100,0.0960439521,0.106356306,0.156692919,100,0.14693704,0.166448798,0.212332557,100,0.194398915,0.230266199
10000,truth,ref/ref,8170000,502199.4,100,438249.555,566149.244,0.00268042922,100,0.00254499471,0.00281586374,0.00761155236,100,0.00736277607,0.00786032866,0.0461072333,100,0.0444830343,0.0477314324,0.101312353,100,0.0961543278,0.106470378,0.158067257,100,0.148218855,0.167915659,0.210419345,100,0.192682446,0.228156244
10000,truth,ref/ref,8180000,509081.375,100,441090.77,577071.979,0.00270541274,100,0.00257149406,0.00283933143,0.00760310294,100,0.00736279465,0.00784341123,0.0463604513,100,0.0446348262,0.0480860765,0.103088868,100,0.0978647375,0.108312998,0.158836776,100,0.149284288,0.168389263,0.209899584,100,0.19229334,0.227505828
10000,truth,ref/ref,8190000,493651.74,100,436371.678,550931.801,0.00269556328,100,0.00256247271,0.00282865386,0.00762722623,100,0.00737763151,0.00787682096,0.0467455454,100,0.0449858404,0.0485052503,0.10378861,100,0.0986388107,0.108938409,0.159433971,100,0.149976196,0.168891746,0.213742063,100,0.196068596,0.23141553
10000,truth,ref/ref,8200000,476748.897,100,419851.489,533646.304,0.0027070588,100,0.00257187038,0.00284224723,0.00761399176,100,0.00735871908,0.00786926444,0.0464234769,100,0.044610938,0.0482360158,0.1038641,100,0.0985357837,0.109192416,0.15841106,100,0.149215594,0.167606525,0.21110035,100,0.195073912,0.227126788
10000,truth,ref/ref,8210000,462359.875,100,398643.943,526075.807,0.0026972477,100,0.00256900637,0.00282548903,0.00756837058,100,0.00731405743,0.00782268374,0.0464421732,100,0.0446319482,0.0482523981,0.103632083,100,0.0985912985,0.108672867,0.15602186,100,0.147690157,0.164353564,0.207998693,100,0.191438738,0.224558649
10000,truth,ref/ref,8220000,466734.365,100,412299.189,521169.541,0.00271163379,100,0.00257792437,0.00284534321,0.00756249283,100,0.00731263135,0.0078123543,0.0461207438,100,0.0444029201,0.0478385675,0.103562662,100,0.0988217283,0.108303596,0.154227777,100,0.147185143,0.161270412,0.204284337,100,0.188255344,0.220313329
