onset_years,source,pair_class,position_0based,mean_tmrca_years,mean_tmrca_years_n_regions,mean_tmrca_years_lower95,mean_tmrca_years_upper95,frac_recent_5000,frac_recent_5000_n_regions,frac_recent_5000_lower95,frac_recent_5000_upper95,frac_recent_10000,frac_recent_10000_n_regions,frac_recent_10000_lower95,frac_recent_10000_upper95,frac_recent_20000,frac_recent_20000_n_regions,frac_recent_20000_lower95,frac_recent_20000_upper95,frac_recent_30000,frac_recent_30000_n_regions,frac_recent_30000_lower95,frac_recent_30000_upper95,frac_recent_40000,frac_recent_40000_n_regions,frac_recent_40000_lower95,frac_recent_40000_upper95,frac_recent_50000,frac_recent_50000_n_regions,frac_recent_50000_lower95,frac_recent_50000_upper95
10000,decoded,all pairs,5000000,632214.893,100,594866.098,669563.687,0.005143,100,0.00491948341,0.00536651659,0.022775,100,0.0214309673,0.0241190327,0.075909,100,0.0707290416,0.0810889584,0.124478,100,0.116070735,0.132885265,0.16227,100,0.151573924,0.172966076,0.192663,100,0.180336521,0.204989479
10000,decoded,alt/alt,5000000,46585.8358,98,36485.6274,56686.0442,0.0722348399,98,0.0487183292,0.0957513507,0.251065136,98,0.204175263,0.297955008,0.490238586,98,0.439361308,0.541115864,0.633051194,98,0.58554709,0.680555298,0.733327777,98,0.690758479,0.775897075,0.788801836,98,0.750378844,0.827224827
10000,decoded,alt/ref,5000000,1210009.1,100,1150728.5,1269289.7,2.36910685e-06,100,0,7.06992881e-06,2.95093849e-05,100,2.25578399e-06,5.67629859e-05,7.99746309e-05,100,3.49792404e-05,0.000124970021,0.000181382583,100,7.76098217e-05,0.000285155345,0.000397987878,100,0.000193016079,0.000602959676,0.000747267105,100,0.000359754331,0.00113477988
10000,decoded,ref/ref,5000000,421868.059,100,380205.143,463530.974,0.0057985864,100,0.00550455492,0.00609261789,0.0244145388,100,0.0228742156,0.025954862,0.0822943222,100,0.0759053536,0.0886832907,0.137708343,100,0.127079297,0.148337389,0.183356865,100,0.169761404,0.196952326,0.221771779,100,0.205485601,0.238057957
10000,truth,all pairs,5000000,710382.009,100,651657.78,769106.238,0.002624,100,0.00251734707,0.00273065293,0.008132,100,0.0078876315,0.0083763685,0.049857,100,0.0476240988,0.0520899012,0.108263,100,0.101150799,0.115375201,0.158241,100,0.148867631,0.167614369,0.206591,100,0.194436546,0.218745454
10000,truth,alt/alt,5000000,22174.8378,98,20469.6335,23880.0422,0.0327734353,98,0.0206070765,0.044939794,0.127376763,98,0.0986931524,0.156060375,0.539681291,98,0.474245185,0.605117398,0.741736503,98,0.68351444,0.799958566,0.888022442,98,0.8457526,0.930292284,0.972016589,98,0.951826143,0.992207034
10000,truth,alt/ref,5000000,1403754.26,100,1286651.87,1520856.66,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0
10000,truth,ref/ref,5000000,464063.688,100,405108.985,523018.391,0.00333435116,100,0.00310457246,0.00356412987,0.00897948244,100,0.0085122924,0.00944667248,0.0505617115,100,0.0482528633,0.0528705597,0.113138785,100,0.106807992,0.119469578,0.168702478,100,0.158495778,0.178909177,0.223317123,100,0.209532878,0.237101368
50000,decoded,all pairs,5000000,418429.253,100,368866.041,467992.465,0.005852,100,0.00552090682,0.00618309318,0.037319,100,0.0338126906,0.0408253094,0.163905,100,0.147511286,0.180298714,0.288508,100,0.261867305,0.315148695,0.384741,100,0.352551899,0.416930101,0.452071,100,0.416779649,0.487362351
50000,decoded,alt/alt,5000000,56349.6744,100,50208.6392,62490.7096,0.00942840257,100,0.00836938137,0.0104874238,0.0600547197,100,0.0533203948,0.0667890446,0.257072406,100,0.233761544,0.280383269,0.443987668,100,0.41163545,0.476339885,0.583657673,100,0.550241614,0.617073732,0.680216703,100,0.647584509,0.712848897
50000,decoded,alt/ref,5000000,1217290.24,100,1163492.59,1271087.89,0,100,0,0,2.38549618e-06,100,0,7.11883815e-06,2.23426772e-05,100,5.46955787e-06,3.92157966e-05,0.000147311032,100,1.33052007e-05,0.000281316864,0.000288417692,100,0.000125613368,0.000451222015,0.000463046902,100,0.000260087107,0.000666006696
50000,decoded,ref/ref,5000000,405327.645,97,357378.458,453276.831,0.0258011051,97,0.0165506177,0.0350515925,0.0613612808,97,0.0480122142,0.0747103474,0.14240988,97,0.111956432,0.172863328,0.20150415,97,0.169723566,0.233284733,0.241323666,97,0.209154795,0.273492536,0.277832683,97,0.245088842,0.310576525
50000,truth,all pairs,5000000,430696.021,100,374655.751,486736.291,0.00261,100,0.00250277511,0.00271722489,0.007923,100,0.00772340218,0.00812259782,0.063552,100,0.0585097093,0.0685942907,0.180764,100,0.164780891,0.196747109,0.345383,100,0.314767792,0.375998208,0.594833,100,0.550794606,0.638871394
50000,truth,alt/alt,5000000,35787.9007,100,34792.1227,36783.6788,0.00377280683,100,0.0034142069,0.00413140675,0.0124430237,100,0.0112058452,0.0136802021,0.110968156,100,0.0959392892,0.125997023,0.311511434,100,0.272805931,0.350216938,0.569287893,100,0.517911745,0.620664042,0.91196737,100,0.876790989,0.947143751
50000,truth,alt/ref,5000000,1301422.78,100,1209557.3,1393288.26,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0
50000,truth,ref/ref,5000000,409443.541,97,345437.39,473449.692,0.0212123999,97,0.0123496634,0.0300751364,0.0553828988,97,0.0308569942,0.0799088034,0.13840827,97,0.105515481,0.171301059,0.214874954,97,0.180450745,0.249299162,0.262377042,97,0.229006568,0.295747515,0.302252649,97,0.268484128,0.336021171
