source,pair_class,position_0based,n_pairs,mean_tmrca_years,count_recent_5000,frac_recent_5000,count_recent_10000,frac_recent_10000,count_recent_20000,frac_recent_20000,count_recent_30000,frac_recent_30000,count_recent_40000,frac_recent_40000,count_recent_50000,frac_recent_50000,replicate,onset_years,sample_af
truth,alt/alt,5000000,4646,36379.00882479552,18,0.0038743004735256,64,0.0137752905725355,471,0.1013775290572535,1644,0.353852776582006,2362,0.5083943176926389,4646,1.0,3,50000,0.6825
truth,all pairs,5000000,10000,894889.7788845274,29,0.0029,82,0.0082,544,0.0544,1785,0.1785,2554,0.2554,4862,0.4862,3,50000,0.6825
decoded,ref/ref,5000000,769,461782.9086043606,13,0.0169050715214564,22,0.0286085825747724,54,0.0702210663198959,101,0.1313394018205461,121,0.1573472041612483,159,0.2067620286085826,4,50000,0.7225
decoded,alt/ref,5000000,4065,1248611.8713792404,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0004920049200492,2,0.0004920049200492,4,50000,0.7225
decoded,alt/alt,5000000,5166,51306.56099322403,40,0.0077429345722028,199,0.0385210994967092,772,0.1494386372435153,1455,0.2816492450638792,2040,0.3948896631823461,3129,0.6056910569105691,4,50000,0.7225
decoded,all pairs,5000000,10000,569576.8007964361,53,0.0053,221,0.0221,826,0.0826,1556,0.1556,2163,0.2163,3290,0.329,4,50000,0.7225
truth,ref/ref,5000000,769,633657.7609739437,8,0.0104031209362808,15,0.0195058517555266,82,0.106631989596879,109,0.141742522756827,130,0.1690507152145643,173,0.2249674902470741,4,50000,0.7225
truth,alt/ref,5000000,4065,1161954.1626564695,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,50000,0.7225
truth,alt/alt,5000000,5166,35886.37243515292,17,0.0032907471931862,51,0.0098722415795586,413,0.0799457994579945,1571,0.3041037553232675,2078,0.4022454510259388,5166,1.0,4,50000,0.7225
truth,all pairs,5000000,10000,539601.5489387511,25,0.0025,66,0.0066,495,0.0495,1680,0.168,2208,0.2208,5339,0.5339,4,50000,0.7225
decoded,ref/ref,5000000,420,312758.00444442336,2,0.0047619047619047,25,0.0595238095238095,73,0.1738095238095238,117,0.2785714285714286,131,0.3119047619047619,136,0.3238095238095238,5,50000,0.7925
decoded,alt/ref,5000000,3289,1113973.1241120768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,50000,0.7925
decoded,alt/alt,5000000,6291,44729.14285090869,61,0.0096963916706405,441,0.0701001430615164,2041,0.3244317278652042,3038,0.4829120966460022,3633,0.5774916547448736,4143,0.6585598474010491,5,50000,0.7925
decoded,all pairs,5000000,10000,407660.7004746345,63,0.0063,466,0.0466,2114,0.2114,3155,0.3155,3764,0.3764,4279,0.4279,5,50000,0.7925
truth,ref/ref,5000000,420,350402.8977852844,2,0.0047619047619047,4,0.0095238095238095,49,0.1166666666666666,139,0.3309523809523809,139,0.3309523809523809,140,0.3333333333333333,5,50000,0.7925
truth,alt/ref,5000000,3289,821104.9453415845,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,50000,0.7925
truth,alt/alt,5000000,6291,32656.533142584645,25,0.0039739310125576,88,0.0139882371642028,658,0.1045938642505166,2157,0.3428707677634716,6291,1.0,6291,1.0,5,50000,0.7925
truth,all pairs,5000000,10000,305322.5632298291,27,0.0027,92,0.0092,707,0.0707,2296,0.2296,6430,0.643,6431,0.6431,5,50000,0.7925
decoded,ref/ref,5000000,2672,105850.54003213903,18,0.0067365269461077,77,0.028817365269461,319,0.1193862275449101,533,0.1994760479041916,760,0.2844311377245509,947,0.3544161676646706,6,50000,0.48
decoded,alt/ref,5000000,5020,1471061.65830496,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,50000,0.48
decoded,alt/alt,5000000,2308,56857.20061171144,32,0.0138648180242634,133,0.0576256499133448,433,0.1876083188908145,816,0.3535528596187175,1065,0.4614384748700173,1354,0.5866551126516465,6,50000,0.48
decoded,all pairs,5000000,10000,779878.8586668605,50,0.005,210,0.021,752,0.0752,1349,0.1349,1825,0.1825,2301,0.2301,6,50000,0.48
