# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	32
0	1
8	9
10	11
18	19
20	21
32	33
38	39
50	51
52	53
56	57
58	59
72	73
74	75
78	79
80	81
96	97
100	101
102	103
120	121
134	135
136	137
142	143
150	151
154	155
164	165
170	171
172	173
174	175
182	183
192	193
194	195
196	197
