# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	41
2	3
4	5
6	7
10	11
22	23
28	29
36	37
38	39
46	47
52	53
56	57
62	63
64	65
68	69
72	73
74	75
78	79
86	87
88	89
90	91
98	99
100	101
106	107
110	111
112	113
116	117
118	119
122	123
126	127
128	129
156	157
158	159
160	161
168	169
170	171
172	173
174	175
178	179
180	181
186	187
192	193
