replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	66	3
1	61	2
2	29	0
3	49	10
4	41	5
5	21	1
6	45	19
7	13	0
8	23	0
9	52	0
10	73	11
11	62	9
12	26	2
13	52	0
14	46	1
15	61	21
16	73	10
17	44	0
18	23	2
19	72	0
20	22	9
21	42	1
22	34	2
23	31	0
24	24	2
25	48	10
26	17	2
27	25	3
28	39	6
29	29	5
30	54	10
31	28	0
32	43	4
33	29	0
34	52	7
35	39	13
36	36	1
37	34	2
38	34	5
39	16	1
40	50	11
41	31	6
42	66	3
43	32	6
44	40	1
45	31	1
46	51	0
47	37	11
48	23	10
49	25	3
50	24	0
51	38	2
52	44	2
53	60	0
54	19	0
55	22	0
56	14	0
57	39	16
58	33	1
59	44	15
60	39	2
61	53	0
62	54	2
63	22	0
64	89	2
65	64	0
66	51	4
67	26	7
68	42	2
69	64	11
70	29	0
71	30	1
72	42	5
73	19	0
74	21	2
75	32	0
76	36	0
77	73	8
78	29	1
79	30	0
80	53	30
81	49	5
82	60	9
83	39	0
84	48	0
85	46	0
86	24	0
87	9	0
88	25	5
89	21	0
90	69	0
91	71	13
92	60	0
93	27	0
94	27	0
95	27	0
96	46	9
97	62	15
98	28	0
99	33	4
