# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	22
0	1
4	5
8	9
10	11
12	13
24	25
28	29
60	61
64	65
92	93
96	97
118	119
124	125
130	131
134	135
144	145
156	157
164	165
166	167
170	171
180	181
194	195
