arm_id	mode	replicate_index	unit_id	seed	allele_present	estimator	genotype_class	n_pairs	threshold_years	value
eas_sweep_structured	neutral	49	eas_sweep_structured__neutral__rep049	51260871	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	50	eas_sweep_structured__neutral__rep050	51260872	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	51	eas_sweep_structured__neutral__rep051	51260873	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	52	eas_sweep_structured__neutral__rep052	51260874	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	53	eas_sweep_structured__neutral__rep053	51260875	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	54	eas_sweep_structured__neutral__rep054	51260876	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	55	eas_sweep_structured__neutral__rep055	51260877	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	56	eas_sweep_structured__neutral__rep056	51260878	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	57	eas_sweep_structured__neutral__rep057	51260879	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	58	eas_sweep_structured__neutral__rep058	51260880	False	gamma_smc_frac	overall	100	1000.0	0.02
eas_sweep_structured	neutral	59	eas_sweep_structured__neutral__rep059	51260881	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	60	eas_sweep_structured__neutral__rep060	51260882	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	61	eas_sweep_structured__neutral__rep061	51260883	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	62	eas_sweep_structured__neutral__rep062	51260884	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	63	eas_sweep_structured__neutral__rep063	51260885	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	64	eas_sweep_structured__neutral__rep064	51260886	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	65	eas_sweep_structured__neutral__rep065	51260887	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	66	eas_sweep_structured__neutral__rep066	51260888	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	67	eas_sweep_structured__neutral__rep067	51260889	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	68	eas_sweep_structured__neutral__rep068	51260890	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	69	eas_sweep_structured__neutral__rep069	51260891	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	70	eas_sweep_structured__neutral__rep070	51260892	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	71	eas_sweep_structured__neutral__rep071	51260893	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	72	eas_sweep_structured__neutral__rep072	51260894	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	73	eas_sweep_structured__neutral__rep073	51260895	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	74	eas_sweep_structured__neutral__rep074	51260896	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	75	eas_sweep_structured__neutral__rep075	51260897	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	76	eas_sweep_structured__neutral__rep076	51260898	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	77	eas_sweep_structured__neutral__rep077	51260899	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	78	eas_sweep_structured__neutral__rep078	51260900	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	79	eas_sweep_structured__neutral__rep079	51260901	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	80	eas_sweep_structured__neutral__rep080	51260902	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	81	eas_sweep_structured__neutral__rep081	51260903	False	gamma_smc_frac	overall	100	1000.0	0.02
eas_sweep_structured	neutral	82	eas_sweep_structured__neutral__rep082	51260904	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	83	eas_sweep_structured__neutral__rep083	51260905	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	84	eas_sweep_structured__neutral__rep084	51260906	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	85	eas_sweep_structured__neutral__rep085	51260907	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	86	eas_sweep_structured__neutral__rep086	51260908	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	87	eas_sweep_structured__neutral__rep087	51260909	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	88	eas_sweep_structured__neutral__rep088	51260910	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	89	eas_sweep_structured__neutral__rep089	51260911	False	gamma_smc_frac	overall	100	1000.0	0.0
eas_sweep_structured	neutral	90	eas_sweep_structured__neutral__rep090	51260912	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	91	eas_sweep_structured__neutral__rep091	51260913	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	92	eas_sweep_structured__neutral__rep092	51260914	False	gamma_smc_frac	overall	100	1000.0	0.02
eas_sweep_structured	neutral	93	eas_sweep_structured__neutral__rep093	51260915	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	94	eas_sweep_structured__neutral__rep094	51260916	False	gamma_smc_frac	overall	100	1000.0	0.01
eas_sweep_structured	neutral	95	eas_sweep_structured__neutral__rep095	51260917	False	gamma_smc_frac	overall	100	1000.0	0.01
