# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	22
0	1
4	5
16	17
18	19
20	21
30	31
34	35
50	51
52	53
68	69
76	77
90	91
98	99
102	103
104	105
110	111
120	121
136	137
142	143
146	147
160	161
170	171
