attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
29	931067	False	lost	0.0	5.440000677481294e-05	0.5019391000387259	True
30	931077	False	lost	0.0	8.220004383474588e-05	0.5013410999672487	True
31	931087	False	lost	0.0	4.870002157986164e-05	0.4928341000340879	True
32	931097	False	lost	0.0	4.88999648950994e-05	0.5093973000184633	True
33	931107	False	lost	0.0	8.610001532360911e-05	0.5221419000299647	True
34	931117	False	lost	0.0	4.859996261075139e-05	0.4738499000086449	True
35	931127	False	lost	0.0	5.169998621568084e-05	0.7216939000063576	True
36	931137	False	lost	0.0	6.2700011767447e-05	0.5123874000273645	True
37	931147	False	lost	0.0	4.960002843290568e-05	0.5169122000224888	True
38	931157	False	lost	0.0	6.78999931551516e-05	0.506334199977573	True
39	931167	False	lost	0.0	4.539999645203352e-05	0.5252699000411667	True
40	931177	False	lost	0.0	4.910002462565899e-05	0.5386736000073142	True
41	931187	False	lost	0.0	9.980000322684646e-05	0.5030108999926597	True
42	931197	False	lost	0.0	4.040001658722758e-05	0.5028406000346877	True
43	931207	False	lost	0.0	5.129998316988349e-05	0.5627521999995224	True
44	931217	False	lost	0.0	5.400000372901559e-05	0.4915329000214115	True
45	931227	False	lost	0.0	5.329999839887023e-05	0.4941058999975212	True
