subset,s,method,years,alpha,selected_regions,selected_site_called,regional_power_lower_bound,wilson_low,wilson_high
all_saved,0.004,mass_g0_r1_T50000,50000,0.05,94,45,0.4787234042553192,0.3805716814684006,0.5785458536929418
all_saved,0.005,af_r1,0,0.01,100,61,0.61,0.5120301704584073,0.6998312599360558
all_saved,0.005,af_r1,0,0.05,100,79,0.79,0.7002003116591013,0.858343459380847
all_saved,0.005,all_r1_T10000,10000,0.01,100,0,0.0,3.469446951953614e-18,0.03699349820698568
all_saved,0.005,all_r1_T10000,10000,0.05,100,0,0.0,3.469446951953614e-18,0.03699349820698568
all_saved,0.005,all_r1_T20000,20000,0.01,100,4,0.04,0.01566330399154762,0.0983707143588792
all_saved,0.005,all_r1_T20000,20000,0.05,100,5,0.05,0.02154367915436796,0.11175046923191913
all_saved,0.005,all_r1_T30000,30000,0.01,100,3,0.03,0.010254524024038925,0.0845193642905276
all_saved,0.005,all_r1_T30000,30000,0.05,100,6,0.06,0.027786123963188192,0.1247681544589592
all_saved,0.005,all_r1_T40000,40000,0.01,100,8,0.08,0.041093461484380624,0.14998107700948735
all_saved,0.005,all_r1_T40000,40000,0.05,100,16,0.16,0.10095288488804782,0.24420269389270244
all_saved,0.005,all_r1_T5000,5000,0.01,100,0,0.0,3.469446951953614e-18,0.03699349820698568
all_saved,0.005,all_r1_T5000,5000,0.05,100,0,0.0,3.469446951953614e-18,0.03699349820698568
all_saved,0.005,all_r1_T50000,50000,0.01,100,21,0.21,0.141656540619153,0.29979968834089865
all_saved,0.005,all_r1_T50000,50000,0.05,100,33,0.33,0.24563122734128034,0.4269465620490947
all_saved,0.005,mass_g0_r1_T10000,10000,0.01,100,39,0.39,0.3001687400639441,0.4879698295415926
all_saved,0.005,mass_g0_r1_T10000,10000,0.05,100,77,0.77,0.6784561697712622,0.8415673411969654
all_saved,0.005,mass_g0_r1_T20000,20000,0.01,100,31,0.31,0.22779697212376038,0.40626055719489407
