# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	27
0	1
14	15
22	23
34	35
46	47
50	51
52	53
68	69
74	75
76	77
82	83
84	85
86	87
88	89
98	99
104	105
106	107
112	113
118	119
138	139
146	147
148	149
184	185
186	187
188	189
194	195
196	197
