invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T10:47:25.302327+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	timed_out	300.3338772000279	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T12:27:41.075915+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	timed_out	300.0290773999877	300.0	300.0	0	2	SpecificationTimeout	legacy_unknown	legacy_unknown
3	2026-08-12T21:07:34.213117+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	timed_out	300.1759908999993	300.0	300.0	0	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:42:08.581545+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	timed_out	300.9005541000006	300.0	300.0	1	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:16:36.630680+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	timed_out	300.02449660000275	300.0	300.0	1	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:49:39.695089+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	timed_out	298.6237276999964	300.0	298.5360037999817	1	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T22:56:09.638339+00:00	9e12313fe9be288f9b41e30e41f4dc753584eebc9cb2d7ff27ff75e4c8e45718	exhausted	0.0	300.0	0.0	1	6	CumulativeSpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
