invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T09:59:48.373517+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	timed_out	300.2114942999906	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T11:51:31.960878+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	timed_out	301.0261112000444	300.0	300.0	0	2	SpecificationTimeout	legacy_unknown	legacy_unknown
3	2026-08-12T20:51:26.397162+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	timed_out	303.0441785999974	300.0	300.0	1	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:26:35.937038+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	timed_out	300.1914875000002	300.0	300.0	1	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:01:08.602201+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	timed_out	300.6146393999952	300.0	300.0	1	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:35:12.871545+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	timed_out	295.841897899998	300.0	294.9120889999722	1	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T22:56:04.152639+00:00	61ec005e6ca09edd532e306a2bf767ce236b72f1c47cf40132bc3ed11ebdccb9	exhausted	0.0	300.0	0.0	1	6	CumulativeSpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
