# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	15
6	7
16	17
20	21
22	23
26	27
36	37
72	73
90	91
98	99
108	109
126	127
154	155
160	161
172	173
186	187
