base_specification_id	replicate_index	replicate_id	specification_id	study_type	scenario	selection_coefficient	target_allele_frequency	lower_allele_frequency	upper_allele_frequency	demography_curve	origin_age_generations	origin_age_years	source_minimum_frequency	pulse_proportion	pulse_generations_ago	han_split_generations_ago	requested_han_split_generations_ago	realized_han_split_generations_ago	slim_scaled_origin_generations_ago	slim_scaled_source_check_generations_ago	slim_scaled_pulse_generations_ago	slim_scaled_han_split_generations_ago	slim_demographic_han_split_generations_ago	slim_selection_transition_generations_ago	slim_demographic_time_rule	deterministic_required_pulse_frequency	deterministic_feasible_from_fixed_archaic_source	feasibility_interpretation	eligible_for_simulation	eligibility_reason	present_ne	theta_for_gamma_smc
intro_s0p005_af20	1	intro_s0p005_af20__rep001	intro_s0p005_af20__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.2	0.2	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0008526619579923407	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af30	1	intro_s0p005_af30__rep001	intro_s0p005_af30__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.3	0.3	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0014608165117960023	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af40	1	intro_s0p005_af40__rep001	intro_s0p005_af40__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.4	0.4	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0022705385515677805	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af50	1	intro_s0p005_af50__rep001	intro_s0p005_af50__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.5	0.5	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.0034019457029172643	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af60	1	intro_s0p005_af60__rep001	intro_s0p005_af60__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.6	0.6	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.00509425336769899	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af70	1	intro_s0p005_af70__rep001	intro_s0p005_af70__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.7	0.7	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.007902030269580388	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af80	1	intro_s0p005_af80__rep001	intro_s0p005_af80__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.8	0.8	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.013470307052090553	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
intro_s0p005_af90	1	intro_s0p005_af90__rep001	intro_s0p005_af90__rep001	introgression	neanderthal_introgression_standing_variation	0.005	0.9	0.9	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.02980631558837017	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
intro_s0p001_af10	1	intro_s0p001_af10__rep001	intro_s0p001_af10__rep001	introgression	neanderthal_introgression_standing_variation	0.001	0.1	0.1	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.03444881293506567	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
intro_s0p001_af20	1	intro_s0p001_af20__rep001	intro_s0p001_af20__rep001	introgression	neanderthal_introgression_standing_variation	0.001	0.2	0.2	0.95		2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.07430996643762192	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
